x,y
340,0
341.771,79
343.542,0
345.312,198
347.083,210
348.854,0
350.625,129
352.396,23
354.167,234
355.938,151
357.708,133
359.479,190
361.25,146
363.021,53
364.792,232
366.562,68
368.333,251
370.104,71
371.875,121
373.646,180
375.417,40
377.188,141
378.958,189
380.729,151
382.5,239
384.271,327
386.042,503
387.812,806
389.583,802
391.354,709
393.125,475
394.896,362
396.667,222
398.438,220
400.208,349
401.979,431
403.75,500
405.521,591
407.292,644
409.062,781
410.833,911
412.604,1093
414.375,1436
416.146,1627
417.917,2207
419.688,2483
421.458,2539
423.229,3007
425,3047
426.771,3193
428.542,3548
430.312,3753
432.083,3953
433.854,4204
435.625,4560
437.396,4755
439.167,4887
440.938,4736
442.708,4961
444.479,4848
446.25,4766
448.021,4576
449.792,4504
451.562,4470
453.333,4453
455.104,4429
456.875,4431
458.646,4164
460.417,3907
462.188,3575
463.958,3519
465.729,3099
467.5,2872
469.271,2745
471.042,2471
472.812,2286
474.583,1983
476.354,2073
478.125,1678
479.896,1670
481.667,1612
483.438,1450
485.208,1232
486.979,1194
488.75,1240
490.521,1009
492.292,1151
494.062,1079
495.833,919
497.604,959
499.375,899
501.146,933
502.917,825
504.688,887
506.458,690
508.229,708
510,710
511.771,622
513.542,678
515.312,649
517.083,733
518.854,606
520.625,579
522.396,548
524.167,436
525.938,525
527.708,340
529.479,365
531.25,413
533.021,431
534.792,269
536.562,361
538.333,397
540.104,280
541.875,282
543.646,198
545.417,411
547.188,182
548.958,339
550.729,333
552.5,226
554.271,255
556.042,245
557.812,298
559.583,241
561.354,161
563.125,368
564.896,274
566.667,279
568.438,173
570.208,280
571.979,225
573.75,187
575.521,226
577.292,144
579.062,303
580.833,142
582.604,195
584.375,172
586.146,204
587.917,141
589.688,259
591.458,193
593.229,258
595,21
596.771,246
598.542,72
600.312,183
602.083,180
603.854,208
605.625,153
607.396,178
609.167,164
610.938,87
612.708,196
614.479,242
616.25,133
618.021,169
619.792,244
621.562,77
623.333,235
625.104,184
626.875,161
628.646,208
630.417,182
632.188,194
633.958,152
635.729,133
637.5,263
639.271,344
641.042,248
642.812,322
644.583,211
646.354,159
648.125,65
649.896,226
651.667,298
653.438,276
655.208,119
656.979,173
658.75,188
660.521,99
662.292,171
664.062,229
665.833,248
667.604,194
669.375,173
671.146,164
672.917,200
674.688,85
676.458,257
678.229,84
680,248
681.771,119
683.542,220
685.312,173
687.083,139
688.854,188
690.625,127
692.396,148
694.167,75
695.938,57
697.708,275
699.479,109
701.25,144
703.021,168
704.792,155
706.562,120
708.333,26
710.104,94
711.875,174
713.646,107
715.417,102
717.188,158
718.958,167
720.729,151
722.5,107
724.271,169
726.042,132
727.812,119
729.583,131
731.354,122
733.125,193
734.896,69
736.667,159
738.438,102
740.208,288
741.979,213
743.75,37
745.521,227
747.292,42
749.062,115
750.833,161
752.604,84
754.375,118
756.146,127
757.917,74
759.688,52
761.458,174
763.229,108
765,108
766.771,97
768.542,217
770.312,139
772.083,85
773.854,73
775.625,199
777.396,87
779.167,81
780.938,232
782.708,162
784.479,190
786.25,263
788.021,132
789.792,106
791.562,89
793.333,148
795.104,136
796.875,134
798.646,187
800.417,111
802.188,127
803.958,116
805.729,179
807.5,140
809.271,40
811.042,118
812.812,179
814.583,174
816.354,60
818.125,128
819.896,50
821.667,116
823.438,146
825.208,118
826.979,187
828.75,180
830.521,201
832.292,173
834.062,133
835.833,151
837.604,164
839.375,180
841.146,169
842.917,152
844.688,172
846.458,108
848.229,198
