x,y
900.989,19921
904.913,21999
908.832,24105
914.051,26685
917.96,29541
921.865,32951
925.765,36402
929.661,41022
933.553,45588
937.44,49511
941.322,54150
945.2,58670
949.074,61868
954.232,66691
958.095,70420
961.954,73029
965.809,76196
969.659,78463
973.505,80587
977.346,83274
981.182,84312
985.015,84673
990.118,84862
993.94,84345
997.757,83693
1001.57,83204
1005.38,83270
1009.18,82925
1012.98,83009
1016.78,83032
1020.57,83085
1024.36,83098
1029.4,83282
1033.17,83600
1036.95,83592
1040.71,84161
1044.48,84787
1048.23,84688
1051.99,85168
1055.74,85486
1059.48,85319
1063.22,85434
1068.2,85725
1071.93,85995
1075.66,86921
1079.38,86794
1083.1,86658
1086.81,87470
1090.52,87006
1094.22,87044
1097.92,87209
1102.85,87271
1106.54,87586
1110.22,87083
1113.9,87274
1117.58,87168
1121.25,87738
1124.92,88877
1128.58,88511
1132.24,89141
1135.89,89259
1140.76,90444
1144.4,90801
1148.04,91310
1151.67,92651
1155.3,93017
1158.93,94425
1162.55,95233
1166.16,96564
1169.78,97335
1173.38,99005
1178.19,100790
1181.79,102015
1185.38,103428
1188.97,105182
1192.55,107005
1196.13,108248
1199.71,110110
1203.28,111489
1206.84,113143
1211.59,115298
1215.15,116254
1218.7,118285
1222.25,119594
1225.79,120781
1229.33,122647
1232.86,124248
1236.39,125406
1239.92,126168
1243.44,126956
1248.12,128680
1251.63,129304
1255.14,129613
1258.64,131047
1262.14,132505
1265.63,133208
1269.12,134017
1272.6,134975
1276.08,136477
1279.56,137248
1284.18,138023
1287.65,138778
1291.11,139308
1294.56,139697
1298.01,140101
1301.46,140536
1304.9,141202
1308.34,140572
1311.77,140791
1316.34,140979
1319.77,140483
1323.19,141172
1326.6,140502
1330.01,140447
1333.42,140218
1336.82,139354
1340.21,139153
1343.61,138770
1346.99,138027
1351.5,137175
1354.88,135597
1358.25,135089
1361.62,134235
1364.99,133777
1368.34,132969
1371.7,131805
1375.05,131157
1378.4,128881
1381.74,126272
1386.19,123430
1389.52,121990
1392.85,120366
1396.17,119252
1399.49,118286
1402.8,117848
1406.11,117796
1409.41,117254
1412.72,117409
1417.11,117190
1420.4,117636
1423.68,118018
1426.97,118242
1430.24,117986
1433.52,118350
1436.78,118286
1440.05,118458
1443.31,118478
1446.56,118482
1450.89,117650
1454.14,116197
1457.38,117331
1460.61,116507
1463.84,115916
1467.07,115337
1470.29,114677
1473.51,113724
1476.72,113287
1479.93,112370
1484.2,110748
1487.4,110136
1490.6,109427
1493.79,108327
1496.97,107263
1500.15,106344
1503.33,105534
1506.5,104198
1509.67,102931
1513.88,101788
1517.04,100797
1520.19,99802
1523.34,98660
1526.49,97817
1529.63,96176
1532.76,95337
1535.89,94364
1539.02,93618
1542.14,91980
1546.29,90229
1549.41,89539
1552.51,88090
1555.61,86475
1558.71,85144
1561.81,83919
1564.9,82485
1567.98,80854
1571.06,79363
1574.14,77753
1578.23,76322
1581.3,75603
1584.36,73357
1587.41,72148
1590.47,70890
1593.51,69613
1596.56,68364
1599.6,67293
1602.63,65495
1606.67,63964
1609.69,62113
1612.71,60665
1615.73,59192
1618.74,57958
1621.75,56745
1624.75,55201
1627.75,53552
1630.74,51645
1633.73,50239
1637.71,48799
1640.68,47122
1643.66,45729
1646.63,44215
1649.59,43216
1652.55,41824
1655.51,40340
1658.46,38611
1661.41,37194
1664.35,35802
1668.27,33223
1671.2,31661
1674.13,28880
1677.05,26734
1679.97,23931
1682.89,21013
1685.8,18327
1688.7,15610
1691.61,13483
1694.5,11713
1698.36,8978
1701.25,8457
