x,y
340,0
341.771,0
343.542,9
345.312,84
347.083,99
348.854,35
350.625,120
352.396,46
354.167,96
355.938,127
357.708,17
359.479,141
361.25,109
363.021,18
364.792,46
366.562,0
368.333,0
370.104,43
371.875,60
373.646,58
375.417,103
377.188,50
378.958,51
380.729,196
382.5,69
384.271,153
386.042,42
387.812,159
389.583,83
391.354,111
393.125,1
394.896,0
396.667,14
398.438,36
400.208,58
401.979,23
403.75,68
405.521,46
407.292,122
409.062,53
410.833,17
412.604,171
414.375,15
416.146,166
417.917,97
419.688,125
421.458,67
423.229,180
425,180
426.771,225
428.542,498
430.312,427
432.083,898
433.854,1161
435.625,1603
437.396,2531
439.167,3682
440.938,5194
442.708,6867
444.479,7757
446.25,8162
448.021,7648
449.792,7001
451.562,6656
453.333,6535
455.104,6562
456.875,6350
458.646,6044
460.417,5902
462.188,5992
463.958,5975
465.729,6510
467.5,6751
469.271,7283
471.042,7329
472.812,7505
474.583,7674
476.354,8083
478.125,8290
479.896,8247
481.667,8317
483.438,8252
485.208,8096
486.979,8133
488.75,8536
490.521,8662
492.292,9001
494.062,9281
495.833,9542
497.604,9974
499.375,10437
501.146,10637
502.917,10691
504.688,11272
506.458,11115
508.229,11360
510,11648
511.771,11943
513.542,12276
515.312,12417
517.083,12334
518.854,12489
520.625,12617
522.396,12676
524.167,12739
525.938,12114
527.708,12366
529.479,12198
531.25,12090
533.021,12197
534.792,12200
536.562,11963
538.333,12183
540.104,12072
541.875,12214
543.646,12138
545.417,11962
547.188,11843
548.958,11937
550.729,11812
552.5,11958
554.271,11678
556.042,11634
557.812,11588
559.583,11887
561.354,11517
563.125,11520
564.896,11615
566.667,11344
568.438,11092
570.208,11126
571.979,10898
573.75,10623
575.521,10260
577.292,10183
579.062,9929
580.833,9713
582.604,9498
584.375,9449
586.146,9131
587.917,9064
589.688,8551
591.458,8511
593.229,8244
595,8124
596.771,7922
598.542,7594
600.312,7454
602.083,7244
603.854,6812
605.625,6572
607.396,6325
609.167,6049
610.938,5871
612.708,5436
614.479,5137
616.25,5086
618.021,4837
619.792,4553
621.562,4254
623.333,4173
625.104,4002
626.875,3638
628.646,3646
630.417,3563
632.188,3301
633.958,3235
635.729,3016
637.5,2915
639.271,2861
641.042,2795
642.812,2499
644.583,2497
646.354,2366
648.125,2240
649.896,2285
651.667,1980
653.438,1992
655.208,1739
656.979,1673
658.75,1588
660.521,1486
662.292,1528
664.062,1309
665.833,1294
667.604,1189
669.375,1296
671.146,1167
672.917,917
674.688,945
676.458,993
678.229,988
680,836
681.771,854
683.542,667
685.312,787
687.083,576
688.854,628
690.625,636
692.396,560
694.167,614
695.938,527
697.708,499
699.479,468
701.25,447
703.021,344
704.792,518
706.562,454
708.333,323
710.104,350
711.875,418
713.646,323
715.417,344
717.188,303
718.958,221
720.729,184
722.5,258
724.271,205
726.042,308
727.812,234
729.583,221
731.354,179
733.125,217
734.896,44
736.667,188
738.438,131
740.208,170
741.979,183
743.75,97
745.521,108
747.292,144
749.062,46
750.833,158
752.604,79
754.375,85
756.146,53
757.917,53
759.688,153
761.458,106
763.229,10
765,28
766.771,85
768.542,90
770.312,0
772.083,120
773.854,98
775.625,127
777.396,168
779.167,70
780.938,21
782.708,179
784.479,145
786.25,133
788.021,0
789.792,79
791.562,144
793.333,87
795.104,162
796.875,123
798.646,184
800.417,84
802.188,83
803.958,103
805.729,25
807.5,65
809.271,30
811.042,87
812.812,105
814.583,125
816.354,67
818.125,47
819.896,116
821.667,49
823.438,27
825.208,0
826.979,0
828.75,134
830.521,69
832.292,107
834.062,11
835.833,53
837.604,0
839.375,79
841.146,76
842.917,140
844.688,91
846.458,100
848.229,95
