x,y
900.989,11108
904.913,12134
908.832,12923
914.051,14345
917.96,15874
921.865,17837
925.765,19620
929.661,22288
933.553,25112
937.44,28584
941.322,31279
945.2,34592
949.074,37393
954.232,40827
958.095,43763
961.954,45570
965.809,47882
969.659,49610
973.505,51024
977.346,52610
981.182,53053
985.015,53869
990.118,53610
993.94,53437
997.757,52658
1001.57,52506
1005.38,52259
1009.18,51852
1012.98,51349
1016.78,51725
1020.57,51631
1024.36,51789
1029.4,51361
1033.17,51525
1036.95,51505
1040.71,51749
1044.48,52168
1048.23,52470
1051.99,53154
1055.74,53250
1059.48,53593
1063.22,54085
1068.2,54540
1071.93,54331
1075.66,54377
1079.38,54641
1083.1,54633
1086.81,54649
1090.52,55102
1094.22,54777
1097.92,54541
1102.85,54667
1106.54,54645
1110.22,54341
1113.9,53934
1117.58,53442
1121.25,53201
1124.92,52603
1128.58,51611
1132.24,50951
1135.89,49606
1140.76,46231
1144.4,43777
1148.04,40965
1151.67,37729
1155.3,34360
1158.93,31115
1162.55,29031
1166.16,28076
1169.78,28355
1173.38,28669
1178.19,26228
1181.79,24501
1185.38,20656
1188.97,20113
1192.55,18816
1196.13,17493
1199.71,15937
1203.28,15084
1206.84,15043
1211.59,16666
1215.15,19251
1218.7,24071
1222.25,29701
1225.79,36125
1229.33,41830
1232.86,47442
1236.39,51996
1239.92,55709
1243.44,58913
1248.12,62715
1251.63,65218
1255.14,67294
1258.64,68629
1262.14,70522
1265.63,72842
1269.12,73789
1272.6,75578
1276.08,76510
1279.56,77538
1284.18,79031
1287.65,79474
1291.11,79945
1294.56,79771
1298.01,80971
1301.46,81296
1304.9,81479
1308.34,81869
1311.77,81760
1316.34,82144
1319.77,82031
1323.19,82430
1326.6,81808
1330.01,81329
1333.42,80629
1336.82,80023
1340.21,79083
1343.61,77475
1346.99,75953
1351.5,72480
1354.88,68524
1358.25,64554
1361.62,61746
1364.99,58057
1368.34,53814
1371.7,49347
1375.05,44350
1378.4,38781
1381.74,33957
1386.19,28610
1389.52,26581
1392.85,27021
1396.17,27309
1399.49,28215
1402.8,27388
1406.11,25964
1409.41,24813
1412.72,24814
1417.11,25742
1420.4,26876
1423.68,28038
1426.97,29067
1430.24,29713
1433.52,30901
1436.78,32180
1440.05,33866
1443.31,35397
1446.56,37817
1450.89,39562
1454.14,41841
1457.38,42782
1460.61,43562
1463.84,44730
1467.07,45714
1470.29,46115
1473.51,47580
1476.72,48168
1479.93,49116
1484.2,50202
1487.4,50759
1490.6,50893
1493.79,51098
1496.97,51153
1500.15,51682
1503.33,50951
1506.5,51088
1509.67,50760
1513.88,50148
1517.04,48909
1520.19,48862
1523.34,48579
1526.49,48037
1529.63,47636
1532.76,46887
1535.89,47067
1539.02,46520
1542.14,46611
1546.29,46366
1549.41,45538
1552.51,45325
1555.61,44553
1558.71,44440
1561.81,43158
1564.9,42188
1567.98,41492
1571.06,40708
1574.14,39906
1578.23,39788
1581.3,38981
1584.36,38391
1587.41,37497
1590.47,37039
1593.51,36499
1596.56,34808
1599.6,33973
1602.63,32889
1606.67,31165
1609.69,30427
1612.71,29426
1615.73,28801
1618.74,27948
1621.75,26893
1624.75,25876
1627.75,24323
1630.74,23057
1633.73,21888
1637.71,20296
1640.68,19237
1643.66,17553
1646.63,16611
1649.59,14663
1652.55,13124
1655.51,11476
1658.46,9662
1661.41,8565
1664.35,7262
1668.27,6255
1671.2,5260
1674.13,4904
1677.05,3912
1679.97,2210
1682.89,1854
1685.8,1030
1688.7,376
1691.61,-46
1694.5,263
1698.36,-392
1701.25,516
