x,y
340,0
341.771,59
343.542,18
345.312,68
347.083,110
348.854,15
350.625,188
352.396,152
354.167,0
355.938,71
357.708,11
359.479,42
361.25,67
363.021,180
364.792,59
366.562,25
368.333,38
370.104,1
371.875,65
373.646,69
375.417,37
377.188,111
378.958,25
380.729,0
382.5,0
384.271,54
386.042,76
387.812,2
389.583,121
391.354,122
393.125,44
394.896,54
396.667,70
398.438,92
400.208,98
401.979,244
403.75,234
405.521,312
407.292,312
409.062,279
410.833,333
412.604,380
414.375,363
416.146,352
417.917,422
419.688,364
421.458,652
423.229,501
425,607
426.771,590
428.542,663
430.312,797
432.083,813
433.854,763
435.625,1005
437.396,943
439.167,1095
440.938,1095
442.708,1120
444.479,1230
446.25,1171
448.021,1370
449.792,1210
451.562,1576
453.333,1462
455.104,1720
456.875,1461
458.646,1540
460.417,1626
462.188,1673
463.958,1647
465.729,1604
467.5,1552
469.271,1499
471.042,1638
472.812,1625
474.583,1616
476.354,1644
478.125,1494
479.896,1665
481.667,1632
483.438,1582
485.208,1722
486.979,1767
488.75,1877
490.521,1923
492.292,2053
494.062,2130
495.833,2101
497.604,2166
499.375,2255
501.146,2251
502.917,2193
504.688,1895
506.458,1840
508.229,1817
510,1805
511.771,1785
513.542,1842
515.312,1648
517.083,1597
518.854,1600
520.625,1615
522.396,1666
524.167,1379
525.938,1555
527.708,1292
529.479,1275
531.25,1236
533.021,1332
534.792,1226
536.562,1211
538.333,1180
540.104,1206
541.875,1160
543.646,1184
545.417,1177
547.188,1003
548.958,922
550.729,962
552.5,843
554.271,951
556.042,861
557.812,961
559.583,793
561.354,874
563.125,724
564.896,677
566.667,782
568.438,693
570.208,795
571.979,633
573.75,724
575.521,677
577.292,660
579.062,719
580.833,716
582.604,774
584.375,756
586.146,771
587.917,734
589.688,864
591.458,1113
593.229,1203
595,1497
596.771,1687
598.542,2154
600.312,2947
602.083,3709
603.854,4995
605.625,6634
607.396,8775
609.167,11419
610.938,14477
612.708,18417
614.479,23033
616.25,27088
618.021,32060
619.792,35533
621.562,38474
623.333,39732
625.104,39391
626.875,37357
628.646,34057
630.417,29983
632.188,25692
633.958,21334
635.729,17717
637.5,14871
639.271,12509
641.042,10793
642.812,9668
644.583,8753
646.354,7945
648.125,7678
649.896,7505
651.667,7476
653.438,7197
655.208,7163
656.979,6994
658.75,6905
660.521,6999
662.292,6804
664.062,6907
665.833,6895
667.604,6800
669.375,6518
671.146,6314
672.917,6266
674.688,5963
676.458,5493
678.229,5074
680,4593
681.771,4254
683.542,3941
685.312,3483
687.083,3082
688.854,2972
690.625,2758
692.396,2615
694.167,2313
695.938,2126
697.708,2008
699.479,1796
701.25,1750
703.021,1651
704.792,1473
706.562,1368
708.333,1132
710.104,1164
711.875,977
713.646,889
715.417,786
717.188,782
718.958,705
720.729,517
722.5,611
724.271,496
726.042,488
727.812,475
729.583,458
731.354,366
733.125,365
734.896,402
736.667,375
738.438,362
740.208,337
741.979,417
743.75,219
745.521,317
747.292,362
749.062,122
750.833,223
752.604,159
754.375,189
756.146,227
757.917,198
759.688,240
761.458,260
763.229,244
765,83
766.771,100
768.542,146
770.312,166
772.083,207
773.854,134
775.625,115
777.396,17
779.167,78
780.938,89
782.708,74
784.479,181
786.25,181
788.021,91
789.792,0
791.562,179
793.333,124
795.104,108
796.875,90
798.646,83
800.417,100
802.188,46
803.958,206
805.729,247
807.5,61
809.271,62
811.042,0
812.812,0
814.583,56
816.354,70
818.125,86
819.896,101
821.667,10
823.438,128
825.208,107
826.979,56
828.75,144
830.521,77
832.292,27
834.062,133
835.833,0
837.604,59
839.375,66
841.146,159
842.917,76
844.688,167
846.458,5
848.229,48
