x,y
340,0
341.771,16
343.542,6
345.312,22
347.083,0
348.854,80
350.625,57
352.396,152
354.167,0
355.938,0
357.708,101
359.479,91
361.25,0
363.021,26
364.792,85
366.562,6
368.333,108
370.104,90
371.875,64
373.646,85
375.417,118
377.188,61
378.958,26
380.729,0
382.5,8
384.271,0
386.042,34
387.812,51
389.583,133
391.354,0
393.125,0
394.896,0
396.667,103
398.438,0
400.208,2
401.979,77
403.75,100
405.521,5
407.292,76
409.062,0
410.833,61
412.604,45
414.375,95
416.146,0
417.917,95
419.688,88
421.458,12
423.229,95
425,13
426.771,3
428.542,27
430.312,147
432.083,126
433.854,141
435.625,280
437.396,410
439.167,610
440.938,831
442.708,1067
444.479,1143
446.25,1127
448.021,976
449.792,1030
451.562,1024
453.333,1067
455.104,1201
456.875,1174
458.646,1147
460.417,1164
462.188,1101
463.958,1115
465.729,1177
467.5,1233
469.271,1149
471.042,1228
472.812,1637
474.583,1859
476.354,2009
478.125,2307
479.896,2763
481.667,3283
483.438,3757
485.208,4125
486.979,4899
488.75,5445
490.521,6264
492.292,7465
494.062,8429
495.833,9366
497.604,10163
499.375,10458
501.146,10886
502.917,11192
504.688,11494
506.458,11648
508.229,12060
510,12501
511.771,13200
513.542,14063
515.312,15002
517.083,15124
518.854,15585
520.625,15967
522.396,16000
524.167,16076
525.938,15927
527.708,16000
529.479,16274
531.25,16467
533.021,16319
534.792,16749
536.562,16760
538.333,16480
540.104,17054
541.875,17006
543.646,17354
545.417,17011
547.188,17290
548.958,17036
550.729,16914
552.5,16785
554.271,16583
556.042,16412
557.812,15838
559.583,15451
561.354,14971
563.125,14680
564.896,14727
566.667,14152
568.438,14033
570.208,13857
571.979,13763
573.75,13575
575.521,13474
577.292,13176
579.062,12980
580.833,12676
582.604,12564
584.375,12299
586.146,12043
587.917,11759
589.688,11237
591.458,10646
593.229,10296
595,10073
596.771,9398
598.542,8779
600.312,8197
602.083,7631
603.854,6815
605.625,6190
607.396,5396
609.167,4881
610.938,4193
612.708,3772
614.479,3192
616.25,3004
618.021,3077
619.792,3105
621.562,3240
623.333,3502
625.104,3857
626.875,3923
628.646,4050
630.417,4489
632.188,4275
633.958,4255
635.729,4174
637.5,4122
639.271,3906
641.042,3702
642.812,3638
644.583,3413
646.354,3358
648.125,3009
649.896,2815
651.667,2922
653.438,2702
655.208,2729
656.979,2425
658.75,2460
660.521,2338
662.292,2185
664.062,1928
665.833,1904
667.604,1745
669.375,1694
671.146,1581
672.917,1494
674.688,1597
676.458,1381
678.229,1400
680,1275
681.771,1187
683.542,1101
685.312,1036
687.083,1085
688.854,972
690.625,874
692.396,854
694.167,676
695.938,735
697.708,677
699.479,651
701.25,616
703.021,529
704.792,621
706.562,548
708.333,470
710.104,395
711.875,399
713.646,420
715.417,492
717.188,348
718.958,261
720.729,410
722.5,251
724.271,305
726.042,268
727.812,256
729.583,220
731.354,182
733.125,217
734.896,137
736.667,163
738.438,105
740.208,74
741.979,177
743.75,86
745.521,71
747.292,78
749.062,96
750.833,126
752.604,47
754.375,182
756.146,146
757.917,188
759.688,0
761.458,77
763.229,68
765,143
766.771,104
768.542,127
770.312,57
772.083,126
773.854,147
775.625,0
777.396,83
779.167,83
780.938,5
782.708,0
784.479,134
786.25,107
788.021,0
789.792,169
791.562,108
793.333,40
795.104,180
796.875,101
798.646,59
800.417,23
802.188,0
803.958,57
805.729,26
807.5,113
809.271,77
811.042,0
812.812,0
814.583,75
816.354,54
818.125,75
819.896,3
821.667,77
823.438,28
825.208,0
826.979,20
828.75,0
830.521,0
832.292,117
834.062,62
835.833,11
837.604,0
839.375,0
841.146,0
842.917,10
844.688,0
846.458,0
848.229,1
