x,y
340,0
341.771,34
343.542,6
345.312,110
347.083,79
348.854,0
350.625,25
352.396,93
354.167,113
355.938,0
357.708,87
359.479,55
361.25,50
363.021,0
364.792,176
366.562,62
368.333,0
370.104,76
371.875,43
373.646,49
375.417,9
377.188,133
378.958,27
380.729,0
382.5,140
384.271,23
386.042,63
387.812,0
389.583,157
391.354,0
393.125,34
394.896,59
396.667,24
398.438,41
400.208,121
401.979,54
403.75,13
405.521,167
407.292,177
409.062,185
410.833,80
412.604,148
414.375,216
416.146,140
417.917,155
419.688,289
421.458,299
423.229,273
425,393
426.771,433
428.542,410
430.312,538
432.083,505
433.854,653
435.625,738
437.396,774
439.167,619
440.938,651
442.708,667
444.479,772
446.25,800
448.021,938
449.792,946
451.562,1045
453.333,1040
455.104,1112
456.875,1039
458.646,1056
460.417,1257
462.188,1214
463.958,1173
465.729,1158
467.5,1078
469.271,1117
471.042,1101
472.812,1208
474.583,1152
476.354,1333
478.125,1150
479.896,1206
481.667,1251
483.438,1319
485.208,1305
486.979,1492
488.75,1453
490.521,1676
492.292,1699
494.062,1844
495.833,2086
497.604,2109
499.375,2123
501.146,1912
502.917,1842
504.688,1840
506.458,1803
508.229,1611
510,1562
511.771,1628
513.542,1675
515.312,1665
517.083,1673
518.854,1642
520.625,1364
522.396,1382
524.167,1357
525.938,1262
527.708,1311
529.479,1206
531.25,1299
533.021,1175
534.792,1243
536.562,1090
538.333,1219
540.104,1208
541.875,1086
543.646,942
545.417,949
547.188,952
548.958,1098
550.729,851
552.5,892
554.271,1036
556.042,937
557.812,714
559.583,782
561.354,815
563.125,694
564.896,742
566.667,786
568.438,760
570.208,683
571.979,730
573.75,669
575.521,694
577.292,738
579.062,764
580.833,712
582.604,673
584.375,774
586.146,804
587.917,769
589.688,949
591.458,1168
593.229,1518
595,1778
596.771,2118
598.542,2599
600.312,3268
602.083,4229
603.854,5534
605.625,7284
607.396,9564
609.167,12276
610.938,15263
612.708,19248
614.479,23510
616.25,28033
618.021,32592
619.792,37020
621.562,40289
623.333,43393
625.104,44139
626.875,43322
628.646,41164
630.417,37737
632.188,33159
633.958,28682
635.729,24192
637.5,20472
639.271,17363
641.042,15184
642.812,13455
644.583,12060
646.354,11639
648.125,10791
649.896,10679
651.667,10475
653.438,10270
655.208,10087
656.979,10067
658.75,9942
660.521,9714
662.292,9854
664.062,9874
665.833,9707
667.604,9676
669.375,9614
671.146,9310
672.917,8625
674.688,8292
676.458,7774
678.229,7158
680,6512
681.771,5816
683.542,5349
685.312,5110
687.083,4485
688.854,4311
690.625,3910
692.396,3709
694.167,3482
695.938,3083
697.708,2946
699.479,2744
701.25,2530
703.021,2327
704.792,1931
706.562,1885
708.333,1717
710.104,1448
711.875,1355
713.646,1338
715.417,1010
717.188,1020
718.958,982
720.729,778
722.5,710
724.271,661
726.042,630
727.812,672
729.583,696
731.354,571
733.125,546
734.896,481
736.667,433
738.438,622
740.208,406
741.979,340
743.75,287
745.521,366
747.292,449
749.062,354
750.833,196
752.604,315
754.375,323
756.146,292
757.917,367
759.688,269
761.458,246
763.229,270
765,218
766.771,266
768.542,244
770.312,265
772.083,232
773.854,155
775.625,139
777.396,230
779.167,41
780.938,190
782.708,152
784.479,126
786.25,209
788.021,147
789.792,195
791.562,64
793.333,25
795.104,137
796.875,50
798.646,99
800.417,26
802.188,229
803.958,95
805.729,12
807.5,52
809.271,142
811.042,157
812.812,42
814.583,97
816.354,73
818.125,134
819.896,117
821.667,157
823.438,0
825.208,83
826.979,13
828.75,106
830.521,31
832.292,61
834.062,82
835.833,62
837.604,48
839.375,45
841.146,73
842.917,77
844.688,89
846.458,78
848.229,63
