x,y
900.989,10730
904.913,12035
908.832,12695
914.051,14475
917.96,15432
921.865,17588
925.765,19242
929.661,22440
933.553,24472
937.44,27940
941.322,31527
945.2,34580
949.074,37613
954.232,41455
958.095,42964
961.954,45017
965.809,47118
969.659,49077
973.505,51364
977.346,52199
981.182,52936
985.015,53356
990.118,53576
993.94,53338
997.757,52798
1001.57,52767
1005.38,52437
1009.18,51860
1012.98,51602
1016.78,51377
1020.57,51219
1024.36,51191
1029.4,51487
1033.17,51452
1036.95,51540
1040.71,51163
1044.48,52028
1048.23,52182
1051.99,52516
1055.74,53289
1059.48,53208
1063.22,53504
1068.2,54126
1071.93,54355
1075.66,54153
1079.38,54240
1083.1,54713
1086.81,54409
1090.52,54681
1094.22,54557
1097.92,54261
1102.85,54673
1106.54,53940
1110.22,54725
1113.9,53820
1117.58,53330
1121.25,52776
1124.92,52751
1128.58,52199
1132.24,51614
1135.89,49591
1140.76,47979
1144.4,45451
1148.04,43063
1151.67,40125
1155.3,37529
1158.93,33941
1162.55,31726
1166.16,30335
1169.78,29291
1173.38,29021
1178.19,26741
1181.79,24456
1185.38,22012
1188.97,19879
1192.55,17905
1196.13,16403
1199.71,14908
1203.28,13452
1206.84,12647
1211.59,13763
1215.15,16525
1218.7,20654
1222.25,26811
1225.79,32756
1229.33,38950
1232.86,44906
1236.39,49576
1239.92,53420
1243.44,57289
1248.12,61264
1251.63,63789
1255.14,66148
1258.64,68266
1262.14,69699
1265.63,71530
1269.12,73100
1272.6,74551
1276.08,75644
1279.56,76417
1284.18,77833
1287.65,78429
1291.11,78779
1294.56,79301
1298.01,80135
1301.46,80537
1304.9,81118
1308.34,81117
1311.77,81488
1316.34,81847
1319.77,81959
1323.19,81446
1326.6,81346
1330.01,81151
1333.42,80370
1336.82,79905
1340.21,79270
1343.61,77870
1346.99,76382
1351.5,73011
1354.88,68957
1358.25,65250
1361.62,61565
1364.99,57895
1368.34,54044
1371.7,48912
1375.05,43893
1378.4,38160
1381.74,33210
1386.19,27306
1389.52,24877
1392.85,24907
1396.17,26091
1399.49,26908
1402.8,26051
1406.11,24914
1409.41,23431
1412.72,22871
1417.11,24494
1420.4,24999
1423.68,26164
1426.97,27408
1430.24,28469
1433.52,29197
1436.78,30658
1440.05,32338
1443.31,34067
1446.56,35863
1450.89,37960
1454.14,39939
1457.38,41253
1460.61,42938
1463.84,43240
1467.07,44436
1470.29,45506
1473.51,46582
1476.72,46936
1479.93,48463
1484.2,49086
1487.4,49528
1490.6,49576
1493.79,50116
1496.97,50332
1500.15,50861
1503.33,50361
1506.5,49949
1509.67,50217
1513.88,49321
1517.04,49288
1520.19,48550
1523.34,48227
1526.49,47827
1529.63,47151
1532.76,46805
1535.89,45843
1539.02,46262
1542.14,46167
1546.29,46092
1549.41,45806
1552.51,45337
1555.61,44852
1558.71,44372
1561.81,43731
1564.9,43100
1567.98,42375
1571.06,41767
1574.14,40887
1578.23,40259
1581.3,39876
1584.36,39184
1587.41,38132
1590.47,37278
1593.51,36781
1596.56,36212
1599.6,34980
1602.63,33666
1606.67,32691
1609.69,31461
1612.71,30232
1615.73,29302
1618.74,28860
1621.75,27680
1624.75,26622
1627.75,25383
1630.74,24775
1633.73,23177
1637.71,21622
1640.68,20812
1643.66,19278
1646.63,18371
1649.59,17066
1652.55,15326
1655.51,13513
1658.46,12595
1661.41,10812
1664.35,9474
1668.27,7680
1671.2,6514
1674.13,5387
1677.05,4172
1679.97,3659
1682.89,2546
1685.8,1755
1688.7,992
1691.61,824
1694.5,396
1698.36,402
1701.25,-365
