x,y
340,0
341.771,0
343.542,27
345.312,49
347.083,74
348.854,52
350.625,154
352.396,83
354.167,0
355.938,53
357.708,192
359.479,133
361.25,191
363.021,91
364.792,132
366.562,0
368.333,131
370.104,42
371.875,74
373.646,33
375.417,157
377.188,0
378.958,66
380.729,0
382.5,108
384.271,55
386.042,29
387.812,108
389.583,77
391.354,16
393.125,0
394.896,140
396.667,27
398.438,102
400.208,97
401.979,145
403.75,16
405.521,17
407.292,51
409.062,47
410.833,54
412.604,60
414.375,67
416.146,95
417.917,112
419.688,86
421.458,39
423.229,30
425,4
426.771,53
428.542,103
430.312,82
432.083,95
433.854,116
435.625,139
437.396,230
439.167,319
440.938,476
442.708,583
444.479,601
446.25,577
448.021,594
449.792,499
451.562,575
453.333,525
455.104,473
456.875,536
458.646,473
460.417,595
462.188,572
463.958,543
465.729,517
467.5,547
469.271,671
471.042,637
472.812,609
474.583,772
476.354,1092
478.125,1212
479.896,1306
481.667,1671
483.438,2068
485.208,2464
486.979,3107
488.75,3762
490.521,4495
492.292,5598
494.062,6701
495.833,7656
497.604,8542
499.375,9383
501.146,9774
502.917,9983
504.688,10028
506.458,9831
508.229,10388
510,10828
511.771,11885
513.542,13036
515.312,14144
517.083,14803
518.854,15709
520.625,15994
522.396,16116
524.167,16314
525.938,16188
527.708,16295
529.479,16467
531.25,16483
533.021,16930
534.792,16859
536.562,17035
538.333,16953
540.104,17273
541.875,17817
543.646,17518
545.417,17218
547.188,17306
548.958,17420
550.729,17132
552.5,16665
554.271,16357
556.042,15978
557.812,15177
559.583,14750
561.354,13946
563.125,13264
564.896,13102
566.667,12771
568.438,12371
570.208,12272
571.979,12256
573.75,12327
575.521,12140
577.292,12289
579.062,12185
580.833,12067
582.604,12067
584.375,11845
586.146,11318
587.917,11076
589.688,10637
591.458,10447
593.229,9634
595,9147
596.771,8751
598.542,8004
600.312,7369
602.083,6422
603.854,5730
605.625,4839
607.396,4068
609.167,3251
610.938,2626
612.708,2250
614.479,1947
616.25,1778
618.021,1771
619.792,1823
621.562,1981
623.333,2340
625.104,2774
626.875,3243
628.646,3436
630.417,3950
632.188,4302
633.958,4426
635.729,4364
637.5,4301
639.271,4180
641.042,3893
642.812,4046
644.583,3909
646.354,3597
648.125,3425
649.896,3421
651.667,3196
653.438,3185
655.208,2876
656.979,2751
658.75,2720
660.521,2453
662.292,2384
664.062,2320
665.833,2167
667.604,2057
669.375,2043
671.146,1968
672.917,1871
674.688,1774
676.458,1648
678.229,1473
680,1468
681.771,1425
683.542,1395
685.312,1246
687.083,1267
688.854,1008
690.625,974
692.396,970
694.167,920
695.938,851
697.708,839
699.479,747
701.25,786
703.021,715
704.792,691
706.562,592
708.333,728
710.104,512
711.875,471
713.646,478
715.417,460
717.188,540
718.958,379
720.729,454
722.5,464
724.271,423
726.042,406
727.812,325
729.583,286
731.354,334
733.125,195
734.896,325
736.667,174
738.438,192
740.208,281
741.979,210
743.75,178
745.521,149
747.292,248
749.062,230
750.833,141
752.604,110
754.375,220
756.146,121
757.917,60
759.688,176
761.458,165
763.229,119
765,148
766.771,117
768.542,93
770.312,66
772.083,132
773.854,169
775.625,88
777.396,175
779.167,89
780.938,205
782.708,72
784.479,148
786.25,165
788.021,10
789.792,58
791.562,105
793.333,143
795.104,153
796.875,147
798.646,34
800.417,206
802.188,37
803.958,68
805.729,54
807.5,107
809.271,59
811.042,70
812.812,118
814.583,47
816.354,57
818.125,113
819.896,20
821.667,37
823.438,57
825.208,95
826.979,109
828.75,64
830.521,136
832.292,77
834.062,0
835.833,0
837.604,0
839.375,0
841.146,194
842.917,35
844.688,101
846.458,54
848.229,110
