x,y
340,0
341.771,70
343.542,25
345.312,303
347.083,129
348.854,117
350.625,127
352.396,133
354.167,300
355.938,250
357.708,189
359.479,197
361.25,114
363.021,232
364.792,228
366.562,171
368.333,173
370.104,165
371.875,142
373.646,149
375.417,102
377.188,175
378.958,212
380.729,115
382.5,164
384.271,191
386.042,207
387.812,179
389.583,142
391.354,133
393.125,195
394.896,158
396.667,245
398.438,528
400.208,870
401.979,1356
403.75,1797
405.521,2225
407.292,2168
409.062,2652
410.833,2794
412.604,2774
414.375,2842
416.146,3065
417.917,3100
419.688,3037
421.458,3272
423.229,3367
425,3377
426.771,3671
428.542,3714
430.312,3913
432.083,4256
433.854,4367
435.625,4729
437.396,4751
439.167,5127
440.938,5197
442.708,5222
444.479,5354
446.25,5583
448.021,5781
449.792,5614
451.562,5873
453.333,6166
455.104,6289
456.875,6307
458.646,6236
460.417,6296
462.188,6164
463.958,5858
465.729,5678
467.5,5418
469.271,5505
471.042,5411
472.812,4937
474.583,5204
476.354,5108
478.125,5005
479.896,5093
481.667,5095
483.438,4837
485.208,4789
486.979,4881
488.75,5133
490.521,5360
492.292,5621
494.062,5457
495.833,5514
497.604,5284
499.375,5461
501.146,5349
502.917,5148
504.688,4837
506.458,4766
508.229,4484
510,4467
511.771,4158
513.542,4147
515.312,3998
517.083,3869
518.854,3668
520.625,3753
522.396,3607
524.167,3444
525.938,2987
527.708,3065
529.479,3090
531.25,2901
533.021,2835
534.792,2716
536.562,2719
538.333,2473
540.104,2625
541.875,2478
543.646,2479
545.417,2433
547.188,2294
548.958,2144
550.729,2064
552.5,2038
554.271,1943
556.042,1755
557.812,1888
559.583,1705
561.354,1548
563.125,1622
564.896,1575
566.667,1407
568.438,1416
570.208,1404
571.979,1401
573.75,1310
575.521,1325
577.292,1209
579.062,1181
580.833,1161
582.604,1144
584.375,1151
586.146,1206
587.917,1024
589.688,1032
591.458,1213
593.229,1283
595,1329
596.771,1640
598.542,1686
600.312,2104
602.083,2573
603.854,3208
605.625,4266
607.396,5277
609.167,6682
610.938,8437
612.708,10495
614.479,12858
616.25,15060
618.021,17124
619.792,19158
621.562,20370
623.333,20979
625.104,20425
626.875,19343
628.646,17488
630.417,15594
632.188,13152
633.958,10957
635.729,9365
637.5,7869
639.271,6408
641.042,5826
642.812,5074
644.583,4805
646.354,4474
648.125,4386
649.896,4071
651.667,4143
653.438,3920
655.208,3942
656.979,3846
658.75,3791
660.521,3943
662.292,3732
664.062,3802
665.833,3734
667.604,3685
669.375,3569
671.146,3417
672.917,3370
674.688,3071
676.458,2975
678.229,2928
680,2590
681.771,2234
683.542,2225
685.312,1963
687.083,1877
688.854,1831
690.625,1453
692.396,1548
694.167,1371
695.938,1221
697.708,1237
699.479,1087
701.25,970
703.021,1051
704.792,841
706.562,840
708.333,686
710.104,679
711.875,646
713.646,553
715.417,594
717.188,497
718.958,576
720.729,521
722.5,479
724.271,509
726.042,473
727.812,309
729.583,415
731.354,273
733.125,413
734.896,246
736.667,389
738.438,377
740.208,250
741.979,303
743.75,261
745.521,292
747.292,264
749.062,160
750.833,239
752.604,322
754.375,381
756.146,147
757.917,283
759.688,304
761.458,268
763.229,326
765,236
766.771,269
768.542,129
770.312,196
772.083,215
773.854,347
775.625,214
777.396,181
779.167,137
780.938,234
782.708,161
784.479,140
786.25,128
788.021,219
789.792,204
791.562,5
793.333,86
795.104,104
796.875,192
798.646,273
800.417,181
802.188,232
803.958,185
805.729,58
807.5,266
809.271,123
811.042,166
812.812,159
814.583,123
816.354,58
818.125,252
819.896,201
821.667,98
823.438,203
825.208,255
826.979,213
828.75,181
830.521,54
832.292,193
834.062,35
835.833,211
837.604,149
839.375,222
841.146,211
842.917,240
844.688,178
846.458,152
848.229,148
