x,y
900.989,11193
904.913,12340
908.832,13740
914.051,14733
917.96,16060
921.865,17850
925.765,20047
929.661,22257
933.553,25489
937.44,28374
941.322,31878
945.2,35111
949.074,38248
954.232,42026
958.095,44374
961.954,46838
965.809,48903
969.659,50894
973.505,52540
977.346,53454
981.182,54247
985.015,54495
990.118,54414
993.94,53606
997.757,53835
1001.57,53562
1005.38,52678
1009.18,53298
1012.98,52753
1016.78,52856
1020.57,52630
1024.36,52608
1029.4,52184
1033.17,52737
1036.95,52798
1040.71,52808
1044.48,53024
1048.23,53247
1051.99,53960
1055.74,53972
1059.48,54586
1063.22,54991
1068.2,55452
1071.93,55458
1075.66,55550
1079.38,55644
1083.1,55693
1086.81,56095
1090.52,55784
1094.22,56314
1097.92,56091
1102.85,56397
1106.54,55723
1110.22,55561
1113.9,54919
1117.58,54825
1121.25,54746
1124.92,53672
1128.58,53573
1132.24,52307
1135.89,51127
1140.76,48699
1144.4,46599
1148.04,44092
1151.67,41485
1155.3,37762
1158.93,34445
1162.55,31844
1166.16,30861
1169.78,30226
1173.38,29333
1178.19,27723
1181.79,24456
1185.38,22190
1188.97,19790
1192.55,17752
1196.13,16763
1199.71,14931
1203.28,13461
1206.84,13398
1211.59,15002
1215.15,17472
1218.7,21986
1222.25,28094
1225.79,35000
1229.33,41269
1232.86,46877
1236.39,51618
1239.92,55545
1243.44,59115
1248.12,62931
1251.63,65112
1255.14,67788
1258.64,69761
1262.14,71712
1265.63,72982
1269.12,74593
1272.6,76211
1276.08,77495
1279.56,78170
1284.18,78982
1287.65,80099
1291.11,81159
1294.56,81594
1298.01,81668
1301.46,82121
1304.9,82884
1308.34,83284
1311.77,83302
1316.34,83674
1319.77,83482
1323.19,83490
1326.6,82730
1330.01,83132
1333.42,82364
1336.82,81724
1340.21,80387
1343.61,79322
1346.99,76954
1351.5,73251
1354.88,69816
1358.25,65646
1361.62,62476
1364.99,58828
1368.34,53874
1371.7,49143
1375.05,44153
1378.4,38669
1381.74,34029
1386.19,28084
1389.52,25834
1392.85,26487
1396.17,26905
1399.49,27224
1402.8,27176
1406.11,25612
1409.41,23870
1412.72,23394
1417.11,25100
1420.4,25787
1423.68,26688
1426.97,27958
1430.24,28510
1433.52,29939
1436.78,30773
1440.05,32916
1443.31,34298
1446.56,36271
1450.89,38515
1454.14,40078
1457.38,41799
1460.61,43329
1463.84,44279
1467.07,45687
1470.29,46652
1473.51,47326
1476.72,48386
1479.93,49657
1484.2,49912
1487.4,50829
1490.6,51013
1493.79,51368
1496.97,51301
1500.15,51290
1503.33,51627
1506.5,51366
1509.67,50822
1513.88,50365
1517.04,49846
1520.19,49609
1523.34,49210
1526.49,48935
1529.63,48067
1532.76,47434
1535.89,47356
1539.02,47196
1542.14,47444
1546.29,46907
1549.41,46631
1552.51,46164
1555.61,45660
1558.71,44770
1561.81,44727
1564.9,43693
1567.98,43036
1571.06,42244
1574.14,41665
1578.23,40742
1581.3,40057
1584.36,39818
1587.41,39098
1590.47,38010
1593.51,37054
1596.56,36244
1599.6,34965
1602.63,34521
1606.67,33052
1609.69,31978
1612.71,30686
1615.73,29660
1618.74,28951
1621.75,27937
1624.75,26584
1627.75,25505
1630.74,24178
1633.73,23641
1637.71,22167
1640.68,20865
1643.66,19721
1646.63,17922
1649.59,16358
1652.55,15619
1655.51,14202
1658.46,12518
1661.41,10583
1664.35,9062
1668.27,7557
1671.2,6481
1674.13,5920
1677.05,5088
1679.97,3760
1682.89,2425
1685.8,1836
1688.7,1091
1691.61,703
1694.5,356
1698.36,712
1701.25,368
