x,y
340,0
341.771,69
343.542,10
345.312,203
347.083,97
348.854,204
350.625,230
352.396,265
354.167,190
355.938,68
357.708,103
359.479,177
361.25,153
363.021,96
364.792,36
366.562,180
368.333,40
370.104,173
371.875,115
373.646,72
375.417,26
377.188,158
378.958,133
380.729,85
382.5,223
384.271,202
386.042,109
387.812,106
389.583,46
391.354,63
393.125,175
394.896,166
396.667,136
398.438,194
400.208,124
401.979,183
403.75,126
405.521,111
407.292,195
409.062,87
410.833,57
412.604,186
414.375,143
416.146,91
417.917,36
419.688,161
421.458,162
423.229,167
425,179
426.771,152
428.542,139
430.312,210
432.083,127
433.854,409
435.625,324
437.396,592
439.167,652
440.938,1008
442.708,1227
444.479,1244
446.25,1284
448.021,1339
449.792,1154
451.562,1248
453.333,1230
455.104,1330
456.875,1371
458.646,1398
460.417,1533
462.188,1609
463.958,1379
465.729,1415
467.5,1618
469.271,1832
471.042,1984
472.812,2180
474.583,2427
476.354,2621
478.125,2983
479.896,3477
481.667,3740
483.438,4004
485.208,4584
486.979,5302
488.75,5928
490.521,6804
492.292,7782
494.062,8496
495.833,9427
497.604,10090
499.375,10638
501.146,11128
502.917,11328
504.688,11639
506.458,11536
508.229,11993
510,12763
511.771,13274
513.542,14111
515.312,14696
517.083,14966
518.854,15397
520.625,15614
522.396,16241
524.167,16263
525.938,16091
527.708,16215
529.479,16659
531.25,16838
533.021,16935
534.792,16716
536.562,16709
538.333,17149
540.104,17068
541.875,17321
543.646,17706
545.417,17241
547.188,17016
548.958,17117
550.729,16839
552.5,16742
554.271,16549
556.042,16124
557.812,15735
559.583,15496
561.354,14784
563.125,14987
564.896,14331
566.667,14230
568.438,13820
570.208,13892
571.979,13824
573.75,13642
575.521,13485
577.292,13365
579.062,12882
580.833,12557
582.604,12428
584.375,12011
586.146,11527
587.917,11162
589.688,10772
591.458,10404
593.229,9683
595,9176
596.771,8702
598.542,8332
600.312,7439
602.083,7176
603.854,6641
605.625,5944
607.396,5398
609.167,4598
610.938,4176
612.708,3676
614.479,3484
616.25,3180
618.021,3142
619.792,3093
621.562,3140
623.333,3580
625.104,3876
626.875,4036
628.646,4334
630.417,4564
632.188,4513
633.958,4375
635.729,4425
637.5,4265
639.271,4258
641.042,3881
642.812,3784
644.583,3575
646.354,3454
648.125,3288
649.896,3216
651.667,3121
653.438,2871
655.208,2673
656.979,2658
658.75,2594
660.521,2488
662.292,2323
664.062,2222
665.833,2084
667.604,2070
669.375,1842
671.146,1932
672.917,1719
674.688,1657
676.458,1522
678.229,1458
680,1336
681.771,1327
683.542,1329
685.312,1138
687.083,1099
688.854,1108
690.625,979
692.396,947
694.167,869
695.938,762
697.708,846
699.479,795
701.25,694
703.021,693
704.792,666
706.562,554
708.333,611
710.104,621
711.875,633
713.646,456
715.417,416
717.188,416
718.958,405
720.729,421
722.5,453
724.271,479
726.042,499
727.812,419
729.583,284
731.354,293
733.125,309
734.896,380
736.667,277
738.438,208
740.208,284
741.979,150
743.75,237
745.521,261
747.292,262
749.062,282
750.833,330
752.604,261
754.375,227
756.146,344
757.917,232
759.688,212
761.458,253
763.229,260
765,300
766.771,212
768.542,290
770.312,223
772.083,318
773.854,146
775.625,203
777.396,309
779.167,255
780.938,188
782.708,161
784.479,199
786.25,135
788.021,145
789.792,152
791.562,216
793.333,192
795.104,198
796.875,97
798.646,215
800.417,187
802.188,98
803.958,165
805.729,245
807.5,106
809.271,128
811.042,84
812.812,233
814.583,249
816.354,132
818.125,179
819.896,160
821.667,70
823.438,101
825.208,138
826.979,175
828.75,187
830.521,134
832.292,62
834.062,163
835.833,41
837.604,79
839.375,173
841.146,223
842.917,166
844.688,110
846.458,209
848.229,146
