x,y
900.989,10524
904.913,12571
908.832,13243
914.051,14826
917.96,16177
921.865,17582
925.765,19674
929.661,21801
933.553,25365
937.44,28400
941.322,31137
945.2,34580
949.074,37623
954.232,40981
958.095,43335
961.954,45030
965.809,47563
969.659,49447
973.505,50700
977.346,52745
981.182,52924
985.015,53594
990.118,53306
993.94,53270
997.757,52718
1001.57,52135
1005.38,51994
1009.18,51881
1012.98,51499
1016.78,51753
1020.57,51578
1024.36,51545
1029.4,51423
1033.17,51528
1036.95,51651
1040.71,51601
1044.48,52263
1048.23,52278
1051.99,52836
1055.74,52925
1059.48,53375
1063.22,53451
1068.2,54006
1071.93,54491
1075.66,53900
1079.38,54162
1083.1,54821
1086.81,54851
1090.52,54740
1094.22,54792
1097.92,54492
1102.85,54323
1106.54,54278
1110.22,54079
1113.9,53899
1117.58,53277
1121.25,53038
1124.92,52232
1128.58,51611
1132.24,50261
1135.89,49451
1140.76,46601
1144.4,43883
1148.04,40880
1151.67,37943
1155.3,34187
1158.93,30950
1162.55,28696
1166.16,27834
1169.78,28203
1173.38,28251
1178.19,25903
1181.79,24131
1185.38,22154
1188.97,20140
1192.55,18440
1196.13,17039
1199.71,16038
1203.28,14698
1206.84,14479
1211.59,15727
1215.15,18926
1218.7,23490
1222.25,29123
1225.79,35302
1229.33,40863
1232.86,46423
1236.39,51032
1239.92,54931
1243.44,58589
1248.12,62054
1251.63,63983
1255.14,66041
1258.64,67921
1262.14,70183
1265.63,71705
1269.12,73332
1272.6,74783
1276.08,75358
1279.56,76813
1284.18,77969
1287.65,78485
1291.11,79066
1294.56,79249
1298.01,79944
1301.46,79906
1304.9,80802
1308.34,80941
1311.77,81540
1316.34,81568
1319.77,81615
1323.19,81259
1326.6,80858
1330.01,80413
1333.42,80345
1336.82,79665
1340.21,78758
1343.61,77559
1346.99,75816
1351.5,71735
1354.88,68423
1358.25,64717
1361.62,61078
1364.99,57410
1368.34,53594
1371.7,49237
1375.05,44086
1378.4,38998
1381.74,33909
1386.19,28228
1389.52,27040
1392.85,26794
1396.17,27675
1399.49,28242
1402.8,27310
1406.11,25878
1409.41,25031
1412.72,24644
1417.11,25870
1420.4,27107
1423.68,28114
1426.97,28851
1430.24,29752
1433.52,30643
1436.78,31942
1440.05,33596
1443.31,35933
1446.56,36951
1450.89,39360
1454.14,41098
1457.38,42454
1460.61,43458
1463.84,44784
1467.07,45656
1470.29,46560
1473.51,47347
1476.72,48011
1479.93,48867
1484.2,49061
1487.4,49874
1490.6,50681
1493.79,50772
1496.97,51156
1500.15,50491
1503.33,50562
1506.5,50315
1509.67,50269
1513.88,49269
1517.04,49566
1520.19,48233
1523.34,48359
1526.49,47729
1529.63,46961
1532.76,46949
1535.89,46283
1539.02,46743
1542.14,46761
1546.29,46333
1549.41,45434
1552.51,45449
1555.61,44678
1558.71,44039
1561.81,43456
1564.9,42247
1567.98,41474
1571.06,40627
1574.14,40405
1578.23,39491
1581.3,39393
1584.36,38818
1587.41,37682
1590.47,37201
1593.51,36166
1596.56,35587
1599.6,34181
1602.63,33279
1606.67,31681
1609.69,30638
1612.71,30040
1615.73,28750
1618.74,27918
1621.75,26849
1624.75,25914
1627.75,24758
1630.74,23473
1633.73,22826
1637.71,21326
1640.68,19670
1643.66,18505
1646.63,16809
1649.59,14720
1652.55,13762
1655.51,12155
1658.46,10118
1661.41,8496
1664.35,7351
1668.27,6795
1671.2,5502
1674.13,5156
1677.05,4027
1679.97,3369
1682.89,2366
1685.8,1267
1688.7,1016
1691.61,83
1694.5,-112
1698.36,141
1701.25,2
