x,y
340,0
341.771,67
343.542,18
345.312,59
347.083,89
348.854,63
350.625,65
352.396,128
354.167,99
355.938,52
357.708,129
359.479,37
361.25,65
363.021,137
364.792,91
366.562,124
368.333,84
370.104,200
371.875,132
373.646,24
375.417,96
377.188,35
378.958,110
380.729,99
382.5,59
384.271,0
386.042,22
387.812,0
389.583,113
391.354,85
393.125,70
394.896,95
396.667,128
398.438,68
400.208,47
401.979,95
403.75,5
405.521,0
407.292,166
409.062,114
410.833,49
412.604,52
414.375,39
416.146,104
417.917,123
419.688,145
421.458,155
423.229,119
425,220
426.771,275
428.542,424
430.312,511
432.083,782
433.854,1177
435.625,1575
437.396,2308
439.167,3493
440.938,5159
442.708,6459
444.479,7452
446.25,7932
448.021,7724
449.792,7598
451.562,7377
453.333,7526
455.104,7841
456.875,7623
458.646,7514
460.417,7233
462.188,7492
463.958,7945
465.729,8219
467.5,8809
469.271,9132
471.042,9519
472.812,9853
474.583,9811
476.354,10144
478.125,10170
479.896,10431
481.667,10286
483.438,10010
485.208,10098
486.979,10431
488.75,10522
490.521,10914
492.292,11533
494.062,11942
495.833,12171
497.604,12740
499.375,13381
501.146,13720
502.917,14017
504.688,14557
506.458,14675
508.229,15092
510,15292
511.771,15669
513.542,15646
515.312,16240
517.083,16284
518.854,16830
520.625,16886
522.396,16878
524.167,17285
525.938,16850
527.708,17063
529.479,17391
531.25,17091
533.021,17568
534.792,17627
536.562,17343
538.333,17115
540.104,17251
541.875,17472
543.646,17520
545.417,17472
547.188,17476
548.958,17363
550.729,17648
552.5,17471
554.271,17299
556.042,17526
557.812,17402
559.583,17379
561.354,17243
563.125,16994
564.896,16956
566.667,16997
568.438,16151
570.208,16123
571.979,15889
573.75,15488
575.521,15317
577.292,14486
579.062,14345
580.833,14067
582.604,13890
584.375,13414
586.146,12833
587.917,12687
589.688,12484
591.458,11955
593.229,11760
595,11240
596.771,10953
598.542,10506
600.312,9806
602.083,9798
603.854,9491
605.625,8869
607.396,8606
609.167,8205
610.938,7619
612.708,7259
614.479,7082
616.25,6706
618.021,6483
619.792,6226
621.562,5886
623.333,5785
625.104,5325
626.875,5230
628.646,4990
630.417,4615
632.188,4589
633.958,4300
635.729,4132
637.5,4058
639.271,3581
641.042,3672
642.812,3431
644.583,3141
646.354,3114
648.125,2901
649.896,2902
651.667,2736
653.438,2633
655.208,2466
656.979,2232
658.75,2255
660.521,2032
662.292,1973
664.062,1865
665.833,1637
667.604,1627
669.375,1559
671.146,1357
672.917,1359
674.688,1357
676.458,1162
678.229,1228
680,1085
681.771,1178
683.542,996
685.312,960
687.083,807
688.854,767
690.625,843
692.396,649
694.167,699
695.938,738
697.708,671
699.479,617
701.25,518
703.021,557
704.792,440
706.562,504
708.333,436
710.104,357
711.875,381
713.646,322
715.417,437
717.188,312
718.958,197
720.729,391
722.5,333
724.271,307
726.042,225
727.812,281
729.583,182
731.354,209
733.125,258
734.896,233
736.667,143
738.438,250
740.208,190
741.979,207
743.75,132
745.521,213
747.292,182
749.062,195
750.833,75
752.604,130
754.375,49
756.146,170
757.917,84
759.688,87
761.458,139
763.229,100
765,161
766.771,11
768.542,167
770.312,66
772.083,26
773.854,11
775.625,53
777.396,3
779.167,41
780.938,46
782.708,115
784.479,95
786.25,60
788.021,0
789.792,57
791.562,69
793.333,87
795.104,25
796.875,123
798.646,188
800.417,54
802.188,89
803.958,166
805.729,0
807.5,0
809.271,58
811.042,43
812.812,122
814.583,0
816.354,73
818.125,45
819.896,84
821.667,0
823.438,39
825.208,48
826.979,117
828.75,0
830.521,125
832.292,2
834.062,71
835.833,0
837.604,152
839.375,84
841.146,0
842.917,54
844.688,73
846.458,0
848.229,57
