x,y
340,0
341.771,51
343.542,0
345.312,51
347.083,28
348.854,0
350.625,145
352.396,13
354.167,157
355.938,0
357.708,59
359.479,0
361.25,119
363.021,63
364.792,11
366.562,150
368.333,126
370.104,151
371.875,0
373.646,168
375.417,63
377.188,130
378.958,106
380.729,95
382.5,10
384.271,114
386.042,179
387.812,81
389.583,84
391.354,113
393.125,126
394.896,35
396.667,0
398.438,203
400.208,303
401.979,422
403.75,499
405.521,706
407.292,781
409.062,786
410.833,1047
412.604,856
414.375,1028
416.146,1175
417.917,1001
419.688,1153
421.458,1130
423.229,1146
425,1231
426.771,1507
428.542,1521
430.312,1759
432.083,1907
433.854,2017
435.625,2109
437.396,2227
439.167,2341
440.938,2259
442.708,2442
444.479,2465
446.25,2434
448.021,2593
449.792,2595
451.562,2724
453.333,3001
455.104,2963
456.875,3107
458.646,3042
460.417,2977
462.188,3117
463.958,2887
465.729,2768
467.5,2726
469.271,2603
471.042,2556
472.812,2555
474.583,2543
476.354,2439
478.125,2540
479.896,2483
481.667,2657
483.438,2588
485.208,2424
486.979,2582
488.75,2579
490.521,2862
492.292,2891
494.062,3005
495.833,3082
497.604,2968
499.375,3007
501.146,3070
502.917,2752
504.688,2693
506.458,2569
508.229,2540
510,2595
511.771,2378
513.542,2333
515.312,2292
517.083,2267
518.854,2142
520.625,2053
522.396,2069
524.167,1895
525.938,1891
527.708,1757
529.479,1687
531.25,1757
533.021,1539
534.792,1638
536.562,1569
538.333,1503
540.104,1458
541.875,1389
543.646,1374
545.417,1369
547.188,1335
548.958,1324
550.729,1194
552.5,1172
554.271,1178
556.042,1115
557.812,1196
559.583,1044
561.354,1013
563.125,966
564.896,1053
566.667,875
568.438,846
570.208,862
571.979,903
573.75,850
575.521,895
577.292,920
579.062,877
580.833,900
582.604,887
584.375,941
586.146,917
587.917,860
589.688,993
591.458,1324
593.229,1467
595,1609
596.771,1920
598.542,2369
600.312,2934
602.083,3703
603.854,5030
605.625,6395
607.396,8290
609.167,11066
610.938,13925
612.708,17840
614.479,21796
616.25,26206
618.021,30366
619.792,33959
621.562,36588
623.333,38370
625.104,37804
626.875,35925
628.646,32717
630.417,28737
632.188,24513
633.958,20426
635.729,16747
637.5,14066
639.271,11872
641.042,10184
642.812,9241
644.583,8117
646.354,7648
648.125,7540
649.896,7324
651.667,6976
653.438,6743
655.208,6782
656.979,6647
658.75,6486
660.521,6595
662.292,6466
664.062,6433
665.833,6348
667.604,6477
669.375,6186
671.146,6068
672.917,5921
674.688,5497
676.458,5214
678.229,4783
680,4283
681.771,3978
683.542,3586
685.312,3318
687.083,3045
688.854,2913
690.625,2648
692.396,2364
694.167,2156
695.938,2022
697.708,1859
699.479,1807
701.25,1672
703.021,1498
704.792,1358
706.562,1345
708.333,1097
710.104,922
711.875,904
713.646,785
715.417,746
717.188,695
718.958,607
720.729,685
722.5,543
724.271,421
726.042,487
727.812,460
729.583,467
731.354,374
733.125,330
734.896,355
736.667,262
738.438,353
740.208,322
741.979,262
743.75,306
745.521,191
747.292,179
749.062,226
750.833,248
752.604,142
754.375,164
756.146,276
757.917,209
759.688,257
761.458,321
763.229,184
765,101
766.771,84
768.542,113
770.312,210
772.083,123
773.854,232
775.625,154
777.396,100
779.167,180
780.938,62
782.708,43
784.479,120
786.25,117
788.021,189
789.792,210
791.562,143
793.333,56
795.104,40
796.875,81
798.646,45
800.417,106
802.188,136
803.958,114
805.729,55
807.5,95
809.271,73
811.042,23
812.812,147
814.583,58
816.354,54
818.125,178
819.896,49
821.667,43
823.438,77
825.208,0
826.979,90
828.75,64
830.521,76
832.292,146
834.062,39
835.833,44
837.604,25
839.375,21
841.146,101
842.917,84
844.688,185
846.458,187
848.229,146
