x,y
900.989,21636
904.913,23857
908.832,25833
914.051,28913
917.96,32306
921.865,35521
925.765,40131
929.661,44725
933.553,49102
937.44,54147
941.322,58736
945.2,63491
949.074,67519
954.232,73226
958.095,77229
961.954,81014
965.809,83712
969.659,86665
973.505,88898
977.346,90917
981.182,92619
985.015,93100
990.118,92353
993.94,91928
997.757,91407
1001.57,90966
1005.38,91417
1009.18,90842
1012.98,90783
1016.78,91577
1020.57,91102
1024.36,91489
1029.4,91778
1033.17,91833
1036.95,91772
1040.71,92674
1044.48,92771
1048.23,93127
1051.99,93450
1055.74,93870
1059.48,93426
1063.22,94043
1068.2,94022
1071.93,93941
1075.66,94561
1079.38,94295
1083.1,94765
1086.81,94572
1090.52,94344
1094.22,94473
1097.92,94047
1102.85,94357
1106.54,94276
1110.22,94180
1113.9,94339
1117.58,94527
1121.25,94481
1124.92,94789
1128.58,95242
1132.24,95203
1135.89,96030
1140.76,96977
1144.4,97244
1148.04,98075
1151.67,99417
1155.3,100322
1158.93,101092
1162.55,102282
1166.16,103622
1169.78,104564
1173.38,106357
1178.19,108141
1181.79,109669
1185.38,111374
1188.97,112901
1192.55,114926
1196.13,116854
1199.71,118255
1203.28,120269
1206.84,122221
1211.59,124355
1215.15,126409
1218.7,127906
1222.25,129882
1225.79,131173
1229.33,132718
1232.86,134511
1236.39,136027
1239.92,137004
1243.44,138351
1248.12,139248
1251.63,140212
1255.14,140902
1258.64,142141
1262.14,143181
1265.63,144647
1269.12,145856
1272.6,147139
1276.08,147872
1279.56,149031
1284.18,150267
1287.65,151109
1291.11,151289
1294.56,152210
1298.01,152487
1301.46,152850
1304.9,153303
1308.34,153428
1311.77,153649
1316.34,153306
1319.77,153499
1323.19,153325
1326.6,153063
1330.01,152580
1333.42,152665
1336.82,152235
1340.21,152205
1343.61,151736
1346.99,150623
1351.5,150125
1354.88,148273
1358.25,147486
1361.62,146515
1364.99,145431
1368.34,145279
1371.7,144384
1375.05,143246
1378.4,140717
1381.74,137792
1386.19,134778
1389.52,133037
1392.85,131873
1396.17,130272
1399.49,129499
1402.8,128350
1406.11,128453
1409.41,128890
1412.72,128775
1417.11,129098
1420.4,129359
1423.68,129473
1426.97,129465
1430.24,129857
1433.52,130042
1436.78,129760
1440.05,130289
1443.31,129960
1446.56,129521
1450.89,129292
1454.14,129000
1457.38,128413
1460.61,127765
1463.84,126887
1467.07,126284
1470.29,125641
1473.51,124733
1476.72,123464
1479.93,122938
1484.2,121526
1487.4,120481
1490.6,119524
1493.79,118947
1496.97,117635
1500.15,116326
1503.33,115470
1506.5,114325
1509.67,113362
1513.88,111516
1517.04,110138
1520.19,109005
1523.34,108348
1526.49,106926
1529.63,106038
1532.76,104897
1535.89,103335
1539.02,101930
1542.14,100847
1546.29,98790
1549.41,97766
1552.51,96623
1555.61,95156
1558.71,93756
1561.81,91960
1564.9,90265
1567.98,88697
1571.06,87202
1574.14,85662
1578.23,83610
1581.3,82531
1584.36,80843
1587.41,79450
1590.47,78169
1593.51,76202
1596.56,74955
1599.6,73942
1602.63,71706
1606.67,69909
1609.69,68047
1612.71,66802
1615.73,65357
1618.74,64272
1621.75,62003
1624.75,60642
1627.75,58637
1630.74,57406
1633.73,56086
1637.71,53598
1640.68,51772
1643.66,50767
1646.63,48773
1649.59,47539
1652.55,45822
1655.51,44700
1658.46,43085
1661.41,41591
1664.35,39670
1668.27,37632
1671.2,35547
1674.13,33911
1677.05,31369
1679.97,29062
1682.89,26808
1685.8,23330
1688.7,21025
1691.61,17886
1694.5,15407
1698.36,12483
1701.25,10606
