x,y
340,0
341.771,48
343.542,14
345.312,54
347.083,0
348.854,0
350.625,0
352.396,17
354.167,25
355.938,55
357.708,199
359.479,99
361.25,63
363.021,159
364.792,0
366.562,34
368.333,0
370.104,0
371.875,79
373.646,33
375.417,0
377.188,0
378.958,83
380.729,67
382.5,0
384.271,20
386.042,80
387.812,58
389.583,10
391.354,35
393.125,0
394.896,48
396.667,0
398.438,143
400.208,352
401.979,523
403.75,734
405.521,1015
407.292,1095
409.062,1106
410.833,1244
412.604,1360
414.375,1400
416.146,1361
417.917,1327
419.688,1274
421.458,1411
423.229,1491
425,1588
426.771,1715
428.542,1866
430.312,1899
432.083,1983
433.854,2203
435.625,2312
437.396,2290
439.167,2432
440.938,2536
442.708,2564
444.479,2537
446.25,2745
448.021,2830
449.792,2894
451.562,2919
453.333,3050
455.104,3170
456.875,3134
458.646,3283
460.417,3014
462.188,3052
463.958,3136
465.729,2965
467.5,2916
469.271,2926
471.042,2692
472.812,2544
474.583,2699
476.354,2793
478.125,2611
479.896,2879
481.667,2657
483.438,2691
485.208,2892
486.979,3099
488.75,2899
490.521,3343
492.292,3441
494.062,3459
495.833,3618
497.604,3697
499.375,3745
501.146,3680
502.917,3563
504.688,3306
506.458,3288
508.229,3080
510,2882
511.771,2944
513.542,2938
515.312,2721
517.083,2788
518.854,2620
520.625,2498
522.396,2495
524.167,2327
525.938,2222
527.708,2193
529.479,2036
531.25,2032
533.021,1954
534.792,1987
536.562,1832
538.333,1846
540.104,1819
541.875,1681
543.646,1650
545.417,1666
547.188,1608
548.958,1482
550.729,1664
552.5,1381
554.271,1276
556.042,1306
557.812,1211
559.583,1285
561.354,1046
563.125,1134
564.896,1128
566.667,942
568.438,1077
570.208,945
571.979,1056
573.75,960
575.521,807
577.292,855
579.062,893
580.833,1029
582.604,848
584.375,893
586.146,954
587.917,984
589.688,1103
591.458,1278
593.229,1177
595,1506
596.771,1681
598.542,2269
600.312,2662
602.083,3477
603.854,4271
605.625,5789
607.396,7488
609.167,9630
610.938,11780
612.708,15076
614.479,18677
616.25,22336
618.021,26254
619.792,29297
621.562,32306
623.333,33980
625.104,34184
626.875,33056
628.646,31318
630.417,28064
632.188,24473
633.958,20583
635.729,17235
637.5,14504
639.271,12413
641.042,10608
642.812,9453
644.583,8667
646.354,7961
648.125,7731
649.896,7588
651.667,7216
653.438,7053
655.208,7103
656.979,6901
658.75,6978
660.521,6860
662.292,6816
664.062,6886
665.833,6762
667.604,6819
669.375,6702
671.146,6458
672.917,6136
674.688,5814
676.458,5348
678.229,4933
680,4679
681.771,4328
683.542,3911
685.312,3499
687.083,3203
688.854,2990
690.625,2727
692.396,2432
694.167,2318
695.938,2300
697.708,2021
699.479,1979
701.25,1757
703.021,1628
704.792,1371
706.562,1317
708.333,1248
710.104,953
711.875,859
713.646,862
715.417,764
717.188,813
718.958,660
720.729,587
722.5,534
724.271,553
726.042,462
727.812,505
729.583,316
731.354,461
733.125,334
734.896,334
736.667,212
738.438,251
740.208,320
741.979,320
743.75,314
745.521,290
747.292,269
749.062,226
750.833,226
752.604,182
754.375,144
756.146,96
757.917,176
759.688,191
761.458,192
763.229,256
765,96
766.771,115
768.542,183
770.312,146
772.083,105
773.854,90
775.625,155
777.396,133
779.167,196
780.938,93
782.708,117
784.479,117
786.25,70
788.021,69
789.792,104
791.562,38
793.333,180
795.104,29
796.875,77
798.646,24
800.417,59
802.188,53
803.958,62
805.729,19
807.5,61
809.271,55
811.042,44
812.812,165
814.583,0
816.354,125
818.125,0
819.896,121
821.667,30
823.438,62
825.208,44
826.979,87
828.75,0
830.521,72
832.292,113
834.062,15
835.833,0
837.604,25
839.375,29
841.146,42
842.917,18
844.688,85
846.458,51
848.229,74
