x,y
900.989,9264
904.913,9954
908.832,11084
914.051,11940
917.96,13209
921.865,14673
925.765,16564
929.661,18494
933.553,20989
937.44,23596
941.322,26250
945.2,29020
949.074,31396
954.232,34591
958.095,36085
961.954,37809
965.809,39468
969.659,40962
973.505,42345
977.346,43144
981.182,44169
985.015,43991
990.118,44048
993.94,43914
997.757,43579
1001.57,43684
1005.38,42891
1009.18,42993
1012.98,42140
1016.78,41941
1020.57,41927
1024.36,41999
1029.4,41996
1033.17,41947
1036.95,41798
1040.71,41952
1044.48,42084
1048.23,42588
1051.99,42679
1055.74,43191
1059.48,43495
1063.22,43070
1068.2,43867
1071.93,43733
1075.66,44290
1079.38,44375
1083.1,44499
1086.81,44389
1090.52,44588
1094.22,43954
1097.92,44732
1102.85,44170
1106.54,44364
1110.22,44508
1113.9,44475
1117.58,44000
1121.25,43967
1124.92,43144
1128.58,43176
1132.24,41948
1135.89,41120
1140.76,39310
1144.4,37855
1148.04,35990
1151.67,33382
1155.3,31045
1158.93,28535
1162.55,26236
1166.16,25398
1169.78,24600
1173.38,24560
1178.19,22178
1181.79,20346
1185.38,18554
1188.97,16703
1192.55,14820
1196.13,13358
1199.71,12141
1203.28,11021
1206.84,10902
1211.59,11663
1215.15,13626
1218.7,17793
1222.25,22367
1225.79,27349
1229.33,32714
1232.86,37719
1236.39,41509
1239.92,45196
1243.44,48187
1248.12,51179
1251.63,53041
1255.14,55484
1258.64,56706
1262.14,58226
1265.63,59916
1269.12,60893
1272.6,62366
1276.08,62888
1279.56,63598
1284.18,64660
1287.65,65277
1291.11,65893
1294.56,66128
1298.01,66746
1301.46,66946
1304.9,67251
1308.34,67696
1311.77,67730
1316.34,68256
1319.77,68014
1323.19,68026
1326.6,67440
1330.01,67428
1333.42,66913
1336.82,66535
1340.21,65833
1343.61,64922
1346.99,63722
1351.5,60597
1354.88,57257
1358.25,54146
1361.62,50862
1364.99,48468
1368.34,45089
1371.7,40884
1375.05,36557
1378.4,31894
1381.74,27572
1386.19,23234
1389.52,21255
1392.85,20757
1396.17,21918
1399.49,22524
1402.8,21982
1406.11,21338
1409.41,19530
1412.72,19864
1417.11,20022
1420.4,20887
1423.68,21659
1426.97,22773
1430.24,23224
1433.52,24329
1436.78,25003
1440.05,26448
1443.31,28415
1446.56,29546
1450.89,31626
1454.14,32391
1457.38,34347
1460.61,35057
1463.84,36395
1467.07,37112
1470.29,38492
1473.51,38904
1476.72,40068
1479.93,40173
1484.2,41122
1487.4,41281
1490.6,41754
1493.79,41731
1496.97,42542
1500.15,42213
1503.33,42295
1506.5,42160
1509.67,41763
1513.88,41656
1517.04,41304
1520.19,40938
1523.34,40412
1526.49,39973
1529.63,39519
1532.76,39211
1535.89,39410
1539.02,39133
1542.14,38828
1546.29,38841
1549.41,38817
1552.51,38565
1555.61,37812
1558.71,37477
1561.81,36979
1564.9,36381
1567.98,35660
1571.06,34906
1574.14,34480
1578.23,33767
1581.3,33675
1584.36,33337
1587.41,32520
1590.47,31765
1593.51,31046
1596.56,30544
1599.6,29803
1602.63,29112
1606.67,28066
1609.69,26862
1612.71,26364
1615.73,25439
1618.74,24986
1621.75,23545
1624.75,22860
1627.75,21671
1630.74,20471
1633.73,20364
1637.71,18444
1640.68,17873
1643.66,16855
1646.63,15342
1649.59,14569
1652.55,12940
1655.51,11445
1658.46,10444
1661.41,8978
1664.35,7498
1668.27,6458
1671.2,5372
1674.13,4575
1677.05,3856
1679.97,3229
1682.89,2479
1685.8,949
1688.7,980
1691.61,454
1694.5,543
1698.36,561
1701.25,298
