x,y
340,0
341.771,48
343.542,1
345.312,30
347.083,73
348.854,30
350.625,71
352.396,0
354.167,147
355.938,44
357.708,0
359.479,0
361.25,69
363.021,133
364.792,90
366.562,171
368.333,165
370.104,59
371.875,36
373.646,93
375.417,22
377.188,148
378.958,83
380.729,61
382.5,128
384.271,71
386.042,166
387.812,18
389.583,0
391.354,118
393.125,84
394.896,57
396.667,65
398.438,120
400.208,42
401.979,0
403.75,0
405.521,209
407.292,27
409.062,0
410.833,110
412.604,110
414.375,67
416.146,26
417.917,13
419.688,57
421.458,14
423.229,0
425,0
426.771,84
428.542,60
430.312,157
432.083,152
433.854,180
435.625,173
437.396,318
439.167,362
440.938,536
442.708,475
444.479,799
446.25,787
448.021,763
449.792,630
451.562,604
453.333,583
455.104,571
456.875,682
458.646,683
460.417,612
462.188,718
463.958,744
465.729,715
467.5,749
469.271,815
471.042,883
472.812,959
474.583,1120
476.354,1284
478.125,1673
479.896,1935
481.667,2204
483.438,2742
485.208,3158
486.979,3808
488.75,4398
490.521,5335
492.292,6398
494.062,7337
495.833,8385
497.604,9199
499.375,10106
501.146,10638
502.917,10568
504.688,10810
506.458,10648
508.229,11232
510,11638
511.771,12447
513.542,13424
515.312,14414
517.083,15195
518.854,15697
520.625,16249
522.396,16453
524.167,16661
525.938,16567
527.708,16432
529.479,16958
531.25,17165
533.021,17063
534.792,17461
536.562,17307
538.333,17393
540.104,17843
541.875,18108
543.646,18014
545.417,17554
547.188,17616
548.958,17605
550.729,17246
552.5,17072
554.271,16979
556.042,16239
557.812,15987
559.583,15284
561.354,15056
563.125,14677
564.896,14082
566.667,13679
568.438,13407
570.208,13087
571.979,13110
573.75,13163
575.521,13189
577.292,13230
579.062,12638
580.833,12471
582.604,12374
584.375,12084
586.146,11798
587.917,11060
589.688,10914
591.458,10406
593.229,9925
595,9591
596.771,8904
598.542,8250
600.312,7592
602.083,6904
603.854,6207
605.625,5570
607.396,4538
609.167,3766
610.938,3102
612.708,2854
614.479,2423
616.25,2330
618.021,2211
619.792,2170
621.562,2511
623.333,2723
625.104,3001
626.875,3575
628.646,3763
630.417,4124
632.188,4350
633.958,4467
635.729,4272
637.5,4351
639.271,4307
641.042,3936
642.812,4083
644.583,3769
646.354,3552
648.125,3446
649.896,3267
651.667,3129
653.438,2948
655.208,2950
656.979,2680
658.75,2631
660.521,2510
662.292,2494
664.062,2205
665.833,2158
667.604,2123
669.375,1998
671.146,1854
672.917,1829
674.688,1713
676.458,1494
678.229,1452
680,1410
681.771,1361
683.542,1301
685.312,1296
687.083,1032
688.854,1050
690.625,1057
692.396,957
694.167,972
695.938,819
697.708,718
699.479,731
701.25,825
703.021,708
704.792,490
706.562,632
708.333,599
710.104,578
711.875,555
713.646,567
715.417,453
717.188,390
718.958,380
720.729,343
722.5,180
724.271,369
726.042,337
727.812,300
729.583,248
731.354,337
733.125,193
734.896,278
736.667,306
738.438,100
740.208,138
741.979,161
743.75,188
745.521,144
747.292,244
749.062,193
750.833,132
752.604,120
754.375,181
756.146,221
757.917,121
759.688,128
761.458,194
763.229,265
765,178
766.771,96
768.542,113
770.312,175
772.083,35
773.854,58
775.625,166
777.396,86
779.167,70
780.938,46
782.708,87
784.479,97
786.25,74
788.021,196
789.792,23
791.562,79
793.333,12
795.104,113
796.875,42
798.646,106
800.417,135
802.188,97
803.958,89
805.729,18
807.5,120
809.271,18
811.042,96
812.812,90
814.583,89
816.354,28
818.125,86
819.896,17
821.667,108
823.438,61
825.208,35
826.979,0
828.75,0
830.521,138
832.292,35
834.062,9
835.833,6
837.604,0
839.375,129
841.146,0
842.917,109
844.688,46
846.458,0
848.229,115
