x,y
900.989,9283
904.913,9990
908.832,11445
914.051,12516
917.96,13564
921.865,14429
925.765,16269
929.661,18449
933.553,21153
937.44,23980
941.322,26234
945.2,29251
949.074,31666
954.232,34596
958.095,36925
961.954,38041
965.809,40351
969.659,41566
973.505,42634
977.346,43350
981.182,44259
985.015,44824
990.118,44380
993.94,43860
997.757,43763
1001.57,43510
1005.38,43129
1009.18,43004
1012.98,42794
1016.78,42028
1020.57,42470
1024.36,42407
1029.4,42107
1033.17,42167
1036.95,42176
1040.71,41966
1044.48,42582
1048.23,43016
1051.99,43243
1055.74,43476
1059.48,43731
1063.22,43807
1068.2,43938
1071.93,44002
1075.66,44702
1079.38,44245
1083.1,44969
1086.81,44438
1090.52,44787
1094.22,44821
1097.92,44953
1102.85,44623
1106.54,44730
1110.22,44482
1113.9,44412
1117.58,44115
1121.25,43842
1124.92,43640
1128.58,42821
1132.24,42740
1135.89,41990
1140.76,39722
1144.4,38090
1148.04,36034
1151.67,33680
1155.3,31058
1158.93,28617
1162.55,26260
1166.16,25817
1169.78,24807
1173.38,24267
1178.19,22443
1181.79,20606
1185.38,18476
1188.97,16585
1192.55,15367
1196.13,14089
1199.71,12710
1203.28,11466
1206.84,10999
1211.59,11860
1215.15,13796
1218.7,18088
1222.25,22598
1225.79,28033
1229.33,33018
1232.86,37907
1236.39,42189
1239.92,45431
1243.44,48385
1248.12,51390
1251.63,53087
1255.14,55232
1258.64,57121
1262.14,58526
1265.63,60001
1269.12,61005
1272.6,62551
1276.08,63230
1279.56,64651
1284.18,64807
1287.65,65382
1291.11,66226
1294.56,67055
1298.01,67537
1301.46,66978
1304.9,67906
1308.34,67943
1311.77,68437
1316.34,68531
1319.77,68364
1323.19,68209
1326.6,68154
1330.01,67710
1333.42,67710
1336.82,67107
1340.21,66424
1343.61,65153
1346.99,63809
1351.5,60830
1354.88,57711
1358.25,54638
1361.62,51909
1364.99,48645
1368.34,45473
1371.7,41101
1375.05,36758
1378.4,32378
1381.74,28333
1386.19,22997
1389.52,21158
1392.85,21086
1396.17,22194
1399.49,22569
1402.8,22323
1406.11,21080
1409.41,20057
1412.72,19483
1417.11,19927
1420.4,20982
1423.68,22009
1426.97,22329
1430.24,23382
1433.52,24263
1436.78,25319
1440.05,26567
1443.31,28513
1446.56,29895
1450.89,31633
1454.14,33286
1457.38,34073
1460.61,35143
1463.84,36571
1467.07,37591
1470.29,38485
1473.51,39203
1476.72,40089
1479.93,40350
1484.2,41083
1487.4,41784
1490.6,42292
1493.79,42055
1496.97,42499
1500.15,42468
1503.33,42279
1506.5,41847
1509.67,42428
1513.88,41577
1517.04,41353
1520.19,40903
1523.34,40863
1526.49,40333
1529.63,40364
1532.76,39372
1535.89,39505
1539.02,39032
1542.14,39126
1546.29,38926
1549.41,38786
1552.51,38888
1555.61,38176
1558.71,37799
1561.81,36966
1564.9,36182
1567.98,36034
1571.06,35452
1574.14,34678
1578.23,34623
1581.3,34120
1584.36,33597
1587.41,32980
1590.47,32344
1593.51,31622
1596.56,30889
1599.6,30088
1602.63,28961
1606.67,28161
1609.69,27053
1612.71,25869
1615.73,25611
1618.74,24426
1621.75,23549
1624.75,22945
1627.75,21996
1630.74,21134
1633.73,19891
1637.71,18983
1640.68,17575
1643.66,16968
1646.63,15742
1649.59,13962
1652.55,13154
1655.51,12078
1658.46,10595
1661.41,8921
1664.35,7819
1668.27,6248
1671.2,5664
1674.13,4820
1677.05,4055
1679.97,2667
1682.89,2288
1685.8,1364
1688.7,462
1691.61,449
1694.5,480
1698.36,452
1701.25,263
