x,y
340,0
341.771,43
343.542,0
345.312,115
347.083,123
348.854,105
350.625,40
352.396,116
354.167,156
355.938,175
357.708,222
359.479,140
361.25,53
363.021,18
364.792,76
366.562,156
368.333,16
370.104,161
371.875,193
373.646,214
375.417,94
377.188,141
378.958,151
380.729,143
382.5,249
384.271,267
386.042,237
387.812,256
389.583,460
391.354,422
393.125,228
394.896,258
396.667,244
398.438,235
400.208,214
401.979,435
403.75,479
405.521,624
407.292,597
409.062,756
410.833,906
412.604,956
414.375,1260
416.146,1538
417.917,1695
419.688,1856
421.458,1957
423.229,2144
425,2215
426.771,2368
428.542,2585
430.312,2563
432.083,2762
433.854,2992
435.625,3251
437.396,3443
439.167,3508
440.938,3415
442.708,3485
444.479,3522
446.25,3541
448.021,3394
449.792,3555
451.562,3459
453.333,3357
455.104,3330
456.875,3210
458.646,3082
460.417,3240
462.188,3070
463.958,2776
465.729,2683
467.5,2395
469.271,2258
471.042,2024
472.812,1896
474.583,1817
476.354,1773
478.125,1392
479.896,1493
481.667,1350
483.438,1243
485.208,1207
486.979,1057
488.75,979
490.521,936
492.292,983
494.062,918
495.833,980
497.604,685
499.375,906
501.146,786
502.917,683
504.688,792
506.458,667
508.229,664
510,690
511.771,671
513.542,634
515.312,616
517.083,731
518.854,601
520.625,514
522.396,527
524.167,437
525.938,471
527.708,483
529.479,497
531.25,532
533.021,310
534.792,439
536.562,378
538.333,343
540.104,364
541.875,335
543.646,311
545.417,370
547.188,319
548.958,292
550.729,327
552.5,235
554.271,308
556.042,236
557.812,254
559.583,226
561.354,272
563.125,251
564.896,223
566.667,244
568.438,251
570.208,189
571.979,226
573.75,193
575.521,277
577.292,250
579.062,234
580.833,240
582.604,261
584.375,136
586.146,115
587.917,208
589.688,175
591.458,188
593.229,166
595,200
596.771,131
598.542,164
600.312,167
602.083,151
603.854,180
605.625,212
607.396,298
609.167,240
610.938,275
612.708,194
614.479,234
616.25,178
618.021,232
619.792,265
621.562,345
623.333,310
625.104,412
626.875,333
628.646,169
630.417,346
632.188,320
633.958,176
635.729,343
637.5,343
639.271,244
641.042,333
642.812,302
644.583,290
646.354,94
648.125,175
649.896,290
651.667,290
653.438,252
655.208,272
656.979,201
658.75,275
660.521,189
662.292,17
664.062,202
665.833,140
667.604,112
669.375,149
671.146,174
672.917,177
674.688,147
676.458,145
678.229,176
680,32
681.771,128
683.542,168
685.312,137
687.083,265
688.854,110
690.625,207
692.396,151
694.167,162
695.938,130
697.708,92
699.479,165
701.25,78
703.021,238
704.792,171
706.562,146
708.333,156
710.104,189
711.875,108
713.646,122
715.417,147
717.188,112
718.958,217
720.729,139
722.5,15
724.271,196
726.042,219
727.812,185
729.583,160
731.354,194
733.125,67
734.896,108
736.667,174
738.438,96
740.208,248
741.979,54
743.75,34
745.521,213
747.292,231
749.062,114
750.833,83
752.604,148
754.375,226
756.146,130
757.917,84
759.688,138
761.458,184
763.229,259
765,149
766.771,177
768.542,119
770.312,235
772.083,290
773.854,238
775.625,110
777.396,137
779.167,173
780.938,274
782.708,122
784.479,111
786.25,146
788.021,89
789.792,69
791.562,87
793.333,173
795.104,188
796.875,112
798.646,82
800.417,245
802.188,149
803.958,337
805.729,28
807.5,129
809.271,183
811.042,51
812.812,268
814.583,203
816.354,23
818.125,185
819.896,134
821.667,111
823.438,230
825.208,44
826.979,129
828.75,120
830.521,275
832.292,108
834.062,101
835.833,114
837.604,176
839.375,111
841.146,244
842.917,172
844.688,121
846.458,43
848.229,65
