x,y
340,0
341.771,0
343.542,14
345.312,47
347.083,50
348.854,27
350.625,21
352.396,24
354.167,0
355.938,48
357.708,104
359.479,90
361.25,50
363.021,4
364.792,0
366.562,5
368.333,32
370.104,36
371.875,51
373.646,81
375.417,66
377.188,0
378.958,116
380.729,107
382.5,12
384.271,63
386.042,27
387.812,0
389.583,0
391.354,99
393.125,42
394.896,5
396.667,86
398.438,70
400.208,34
401.979,70
403.75,0
405.521,0
407.292,94
409.062,0
410.833,50
412.604,123
414.375,28
416.146,61
417.917,79
419.688,158
421.458,234
423.229,104
425,189
426.771,332
428.542,413
430.312,669
432.083,818
433.854,1233
435.625,2026
437.396,2933
439.167,4435
440.938,6142
442.708,7656
444.479,9155
446.25,9355
448.021,9029
449.792,8412
451.562,7864
453.333,8001
455.104,7861
456.875,7765
458.646,7380
460.417,6937
462.188,7055
463.958,7245
465.729,7575
467.5,7843
469.271,8151
471.042,8533
472.812,8945
474.583,9342
476.354,9549
478.125,9635
479.896,9897
481.667,9945
483.438,10083
485.208,9815
486.979,10228
488.75,10189
490.521,10638
492.292,11445
494.062,11754
495.833,12185
497.604,12629
499.375,12720
501.146,13223
502.917,13367
504.688,13306
506.458,13721
508.229,14135
510,14265
511.771,14800
513.542,14864
515.312,15306
517.083,15323
518.854,15600
520.625,15429
522.396,15129
524.167,14981
525.938,15087
527.708,14814
529.479,14909
531.25,14625
533.021,14616
534.792,14521
536.562,14348
538.333,14484
540.104,14591
541.875,14562
543.646,14393
545.417,14069
547.188,14282
548.958,14272
550.729,14214
552.5,13904
554.271,13791
556.042,13757
557.812,13825
559.583,13826
561.354,13363
563.125,13357
564.896,13498
566.667,13194
568.438,12632
570.208,12719
571.979,12363
573.75,12268
575.521,12023
577.292,11703
579.062,11453
580.833,11413
582.604,10861
584.375,11130
586.146,10534
587.917,10409
589.688,10429
591.458,9924
593.229,9952
595,9441
596.771,9227
598.542,8964
600.312,8560
602.083,8365
603.854,8046
605.625,7738
607.396,7155
609.167,7003
610.938,6659
612.708,6429
614.479,6224
616.25,5723
618.021,5666
619.792,5493
621.562,5201
623.333,4765
625.104,4680
626.875,4570
628.646,4560
630.417,4219
632.188,3965
633.958,4008
635.729,3785
637.5,3554
639.271,3301
641.042,3398
642.812,3094
644.583,2841
646.354,2941
648.125,2740
649.896,2539
651.667,2376
653.438,2277
655.208,2113
656.979,2084
658.75,1953
660.521,1931
662.292,1732
664.062,1654
665.833,1593
667.604,1533
669.375,1568
671.146,1356
672.917,1159
674.688,1286
676.458,1183
678.229,1212
680,1081
681.771,994
683.542,979
685.312,857
687.083,820
688.854,910
690.625,793
692.396,639
694.167,658
695.938,662
697.708,638
699.479,599
701.25,511
703.021,459
704.792,419
706.562,483
708.333,420
710.104,276
711.875,298
713.646,324
715.417,374
717.188,332
718.958,316
720.729,201
722.5,182
724.271,273
726.042,234
727.812,208
729.583,161
731.354,178
733.125,228
734.896,169
736.667,141
738.438,221
740.208,172
741.979,141
743.75,199
745.521,104
747.292,103
749.062,78
750.833,122
752.604,177
754.375,98
756.146,124
757.917,160
759.688,48
761.458,83
763.229,202
765,159
766.771,157
768.542,77
770.312,90
772.083,171
773.854,52
775.625,88
777.396,135
779.167,35
780.938,177
782.708,86
784.479,91
786.25,46
788.021,78
789.792,15
791.562,46
793.333,64
795.104,81
796.875,113
798.646,0
800.417,60
802.188,96
803.958,29
805.729,136
807.5,65
809.271,58
811.042,41
812.812,53
814.583,53
816.354,92
818.125,37
819.896,129
821.667,67
823.438,124
825.208,18
826.979,0
828.75,0
830.521,0
832.292,94
834.062,44
835.833,0
837.604,0
839.375,10
841.146,0
842.917,12
844.688,82
846.458,0
848.229,0
