x,y
340,0
341.771,33
343.542,38
345.312,310
347.083,123
348.854,202
350.625,214
352.396,246
354.167,216
355.938,156
357.708,215
359.479,132
361.25,194
363.021,239
364.792,233
366.562,210
368.333,222
370.104,169
371.875,106
373.646,127
375.417,185
377.188,161
378.958,168
380.729,215
382.5,164
384.271,207
386.042,220
387.812,248
389.583,223
391.354,195
393.125,191
394.896,184
396.667,261
398.438,257
400.208,263
401.979,359
403.75,607
405.521,453
407.292,751
409.062,539
410.833,689
412.604,850
414.375,869
416.146,871
417.917,931
419.688,1003
421.458,998
423.229,1103
425,1045
426.771,1181
428.542,1202
430.312,1284
432.083,1429
433.854,1625
435.625,1758
437.396,1814
439.167,1809
440.938,1842
442.708,1950
444.479,1864
446.25,2048
448.021,2058
449.792,2300
451.562,2248
453.333,2352
455.104,2462
456.875,2353
458.646,2599
460.417,2506
462.188,2465
463.958,2378
465.729,2488
467.5,2370
469.271,2391
471.042,2287
472.812,2107
474.583,2191
476.354,2378
478.125,2228
479.896,2129
481.667,2361
483.438,2093
485.208,2223
486.979,2426
488.75,2372
490.521,2534
492.292,2516
494.062,2519
495.833,2591
497.604,2436
499.375,2654
501.146,2554
502.917,2409
504.688,2387
506.458,2240
508.229,2181
510,1961
511.771,2257
513.542,2073
515.312,2058
517.083,2006
518.854,1880
520.625,1834
522.396,1811
524.167,1633
525.938,1760
527.708,1609
529.479,1413
531.25,1456
533.021,1472
534.792,1509
536.562,1367
538.333,1378
540.104,1312
541.875,1318
543.646,1347
545.417,1264
547.188,1247
548.958,1178
550.729,1043
552.5,1120
554.271,1032
556.042,989
557.812,969
559.583,952
561.354,1045
563.125,916
564.896,822
566.667,837
568.438,839
570.208,799
571.979,922
573.75,793
575.521,975
577.292,742
579.062,759
580.833,794
582.604,885
584.375,838
586.146,842
587.917,915
589.688,898
591.458,894
593.229,1037
595,1095
596.771,1352
598.542,1626
600.312,2041
602.083,2700
603.854,3437
605.625,4598
607.396,5984
609.167,7973
610.938,10517
612.708,13299
614.479,16811
616.25,20267
618.021,23459
619.792,26942
621.562,28504
623.333,29211
625.104,28109
626.875,26510
628.646,23289
630.417,20286
632.188,16955
633.958,13998
635.729,11392
637.5,9360
639.271,8038
641.042,6704
642.812,6008
644.583,5374
646.354,4965
648.125,4766
649.896,4589
651.667,4483
653.438,4302
655.208,4310
656.979,4387
658.75,4288
660.521,4239
662.292,4128
664.062,4053
665.833,4292
667.604,3994
669.375,4117
671.146,3994
672.917,3596
674.688,3549
676.458,3392
678.229,3082
680,2816
681.771,2678
683.542,2481
685.312,2111
687.083,2016
688.854,1948
690.625,1695
692.396,1669
694.167,1476
695.938,1446
697.708,1403
699.479,1266
701.25,1079
703.021,1152
704.792,1071
706.562,943
708.333,799
710.104,712
711.875,764
713.646,757
715.417,550
717.188,617
718.958,517
720.729,578
722.5,579
724.271,381
726.042,444
727.812,389
729.583,408
731.354,389
733.125,317
734.896,469
736.667,258
738.438,260
740.208,306
741.979,285
743.75,348
745.521,318
747.292,351
749.062,271
750.833,228
752.604,315
754.375,197
756.146,192
757.917,231
759.688,156
761.458,273
763.229,354
765,299
766.771,126
768.542,237
770.312,212
772.083,331
773.854,224
775.625,141
777.396,179
779.167,206
780.938,128
782.708,153
784.479,83
786.25,282
788.021,174
789.792,206
791.562,228
793.333,81
795.104,272
796.875,277
798.646,294
800.417,236
802.188,254
803.958,197
805.729,174
807.5,169
809.271,232
811.042,142
812.812,164
814.583,153
816.354,153
818.125,308
819.896,176
821.667,215
823.438,124
825.208,166
826.979,224
828.75,321
830.521,231
832.292,139
834.062,213
835.833,228
837.604,206
839.375,213
841.146,160
842.917,197
844.688,169
846.458,175
848.229,254
