x,y
900.989,10054
904.913,11084
908.832,11983
914.051,13071
917.96,14783
921.865,15860
925.765,17787
929.661,20113
933.553,22727
937.44,25738
941.322,28402
945.2,31033
949.074,33655
954.232,36801
958.095,38475
961.954,40692
965.809,42041
969.659,43382
973.505,45269
977.346,46122
981.182,46550
985.015,47430
990.118,47128
993.94,46890
997.757,46336
1001.57,45982
1005.38,45726
1009.18,45414
1012.98,45350
1016.78,45113
1020.57,45016
1024.36,45062
1029.4,44670
1033.17,44759
1036.95,44582
1040.71,45175
1044.48,45077
1048.23,46086
1051.99,45673
1055.74,46396
1059.48,46699
1063.22,46653
1068.2,46718
1071.93,46986
1075.66,47016
1079.38,47396
1083.1,47200
1086.81,47552
1090.52,47274
1094.22,47532
1097.92,47266
1102.85,47403
1106.54,46976
1110.22,47074
1113.9,46960
1117.58,46428
1121.25,46171
1124.92,46279
1128.58,45572
1132.24,44388
1135.89,43925
1140.76,41140
1144.4,39138
1148.04,36476
1151.67,33809
1155.3,30332
1158.93,27495
1162.55,25911
1166.16,24907
1169.78,25205
1173.38,25405
1178.19,23144
1181.79,21536
1185.38,19800
1188.97,18050
1192.55,15971
1196.13,15307
1199.71,14395
1203.28,12970
1206.84,12626
1211.59,14046
1215.15,16317
1218.7,20086
1222.25,25406
1225.79,30820
1229.33,36128
1232.86,40890
1236.39,44606
1239.92,48264
1243.44,51527
1248.12,54632
1251.63,56659
1255.14,58796
1258.64,60221
1262.14,62244
1265.63,63696
1269.12,64307
1272.6,66014
1276.08,66940
1279.56,67486
1284.18,68853
1287.65,69309
1291.11,70115
1294.56,70175
1298.01,70593
1301.46,70952
1304.9,71565
1308.34,71819
1311.77,71931
1316.34,72389
1319.77,72206
1323.19,72134
1326.6,72509
1330.01,71343
1333.42,71023
1336.82,70874
1340.21,69785
1343.61,68749
1346.99,67058
1351.5,64031
1354.88,61103
1358.25,57732
1361.62,54911
1364.99,51582
1368.34,47900
1371.7,44001
1375.05,39120
1378.4,34499
1381.74,30261
1386.19,25338
1389.52,23454
1392.85,23538
1396.17,24064
1399.49,24262
1402.8,24356
1406.11,23316
1409.41,22305
1412.72,21714
1417.11,22703
1420.4,23844
1423.68,24209
1426.97,25132
1430.24,26159
1433.52,26740
1436.78,28285
1440.05,29670
1443.31,31670
1446.56,32615
1450.89,35052
1454.14,36089
1457.38,37128
1460.61,38568
1463.84,38970
1467.07,40397
1470.29,41111
1473.51,42064
1476.72,42812
1479.93,43428
1484.2,44016
1487.4,44263
1490.6,44963
1493.79,44936
1496.97,45135
1500.15,45397
1503.33,45184
1506.5,44636
1509.67,44215
1513.88,44143
1517.04,43767
1520.19,43011
1523.34,42906
1526.49,42759
1529.63,42197
1532.76,41683
1535.89,41269
1539.02,41317
1542.14,41527
1546.29,41024
1549.41,40931
1552.51,40224
1555.61,39952
1558.71,39401
1561.81,38679
1564.9,37752
1567.98,36768
1571.06,35894
1574.14,35984
1578.23,35469
1581.3,35229
1584.36,34450
1587.41,34174
1590.47,33148
1593.51,32377
1596.56,31671
1599.6,30840
1602.63,30122
1606.67,28216
1609.69,27266
1612.71,26306
1615.73,25705
1618.74,25088
1621.75,24198
1624.75,22838
1627.75,21971
1630.74,21022
1633.73,20072
1637.71,18327
1640.68,17322
1643.66,16235
1646.63,15131
1649.59,13557
1652.55,12090
1655.51,10459
1658.46,9033
1661.41,7781
1664.35,6519
1668.27,5980
1671.2,4803
1674.13,3975
1677.05,3251
1679.97,2576
1682.89,1849
1685.8,1253
1688.7,648
1691.61,472
1694.5,210
1698.36,110
1701.25,156
