x,y
340,0
341.771,20
343.542,7
345.312,292
347.083,191
348.854,146
350.625,256
352.396,277
354.167,113
355.938,224
357.708,191
359.479,207
361.25,284
363.021,137
364.792,185
366.562,112
368.333,180
370.104,202
371.875,105
373.646,243
375.417,219
377.188,103
378.958,175
380.729,215
382.5,98
384.271,198
386.042,177
387.812,164
389.583,178
391.354,214
393.125,195
394.896,213
396.667,241
398.438,253
400.208,152
401.979,196
403.75,230
405.521,220
407.292,192
409.062,307
410.833,440
412.604,425
414.375,336
416.146,309
417.917,462
419.688,417
421.458,447
423.229,386
425,513
426.771,495
428.542,526
430.312,585
432.083,583
433.854,781
435.625,791
437.396,737
439.167,929
440.938,891
442.708,777
444.479,944
446.25,1032
448.021,1003
449.792,1106
451.562,1162
453.333,1154
455.104,1340
456.875,1216
458.646,1259
460.417,1299
462.188,1355
463.958,1275
465.729,1233
467.5,1250
469.271,1213
471.042,1325
472.812,1291
474.583,1239
476.354,1244
478.125,1349
479.896,1547
481.667,1439
483.438,1426
485.208,1402
486.979,1592
488.75,1631
490.521,1812
492.292,1855
494.062,1912
495.833,2021
497.604,2012
499.375,2234
501.146,1997
502.917,2060
504.688,2006
506.458,1833
508.229,1775
510,1868
511.771,1797
513.542,1916
515.312,1645
517.083,1736
518.854,1693
520.625,1724
522.396,1750
524.167,1538
525.938,1553
527.708,1399
529.479,1435
531.25,1410
533.021,1450
534.792,1331
536.562,1333
538.333,1356
540.104,1256
541.875,1273
543.646,1164
545.417,1162
547.188,1043
548.958,1109
550.729,1092
552.5,1019
554.271,995
556.042,960
557.812,860
559.583,806
561.354,1013
563.125,848
564.896,925
566.667,882
568.438,695
570.208,720
571.979,796
573.75,776
575.521,912
577.292,769
579.062,860
580.833,761
582.604,788
584.375,982
586.146,1089
587.917,1129
589.688,1230
591.458,1191
593.229,1295
595,1709
596.771,1993
598.542,2529
600.312,3380
602.083,4152
603.854,5565
605.625,7317
607.396,9330
609.167,12142
610.938,15662
612.708,18946
614.479,23089
616.25,27723
618.021,32813
619.792,37005
621.562,40936
623.333,43620
625.104,44568
626.875,44565
628.646,42076
630.417,38835
632.188,34188
633.958,29197
635.729,24748
637.5,20797
639.271,17758
641.042,15454
642.812,13740
644.583,12563
646.354,11568
648.125,11258
649.896,10603
651.667,10678
653.438,10089
655.208,10009
656.979,10150
658.75,9919
660.521,10014
662.292,9780
664.062,9938
665.833,10129
667.604,9911
669.375,9650
671.146,9436
672.917,8781
674.688,8564
676.458,8096
678.229,7534
680,6738
681.771,6258
683.542,5638
685.312,5268
687.083,4782
688.854,4406
690.625,4091
692.396,3729
694.167,3559
695.938,3369
697.708,3082
699.479,2836
701.25,2625
703.021,2510
704.792,2287
706.562,2030
708.333,1807
710.104,1592
711.875,1539
713.646,1291
715.417,1103
717.188,1220
718.958,1055
720.729,905
722.5,953
724.271,886
726.042,859
727.812,788
729.583,787
731.354,617
733.125,579
734.896,706
736.667,636
738.438,541
740.208,543
741.979,477
743.75,509
745.521,578
747.292,493
749.062,470
750.833,491
752.604,415
754.375,470
756.146,355
757.917,366
759.688,334
761.458,333
763.229,331
765,480
766.771,361
768.542,368
770.312,364
772.083,366
773.854,414
775.625,353
777.396,217
779.167,264
780.938,266
782.708,312
784.479,295
786.25,254
788.021,227
789.792,270
791.562,243
793.333,165
795.104,162
796.875,273
798.646,193
800.417,243
802.188,194
803.958,151
805.729,311
807.5,275
809.271,177
811.042,247
812.812,194
814.583,303
816.354,195
818.125,166
819.896,210
821.667,193
823.438,174
825.208,241
826.979,258
828.75,305
830.521,291
832.292,193
834.062,157
835.833,196
837.604,155
839.375,248
841.146,159
842.917,221
844.688,252
846.458,278
848.229,305
