x,y
900.989,10317
904.913,11034
908.832,12293
914.051,13108
917.96,14723
921.865,15752
925.765,17712
929.661,19700
933.553,22239
937.44,25060
941.322,27971
945.2,30515
949.074,33165
954.232,36576
958.095,38272
961.954,40409
965.809,41970
969.659,43732
973.505,44468
977.346,45653
981.182,46583
985.015,46573
990.118,46274
993.94,46117
997.757,45973
1001.57,45547
1005.38,45373
1009.18,45070
1012.98,44863
1016.78,44513
1020.57,44318
1024.36,44409
1029.4,44167
1033.17,44539
1036.95,44290
1040.71,44048
1044.48,44390
1048.23,44866
1051.99,44682
1055.74,45782
1059.48,45588
1063.22,46071
1068.2,46371
1071.93,46799
1075.66,46439
1079.38,46704
1083.1,47003
1086.81,47080
1090.52,46854
1094.22,47093
1097.92,47339
1102.85,46798
1106.54,46959
1110.22,46431
1113.9,46566
1117.58,46360
1121.25,46301
1124.92,46046
1128.58,45526
1132.24,44742
1135.89,44215
1140.76,41910
1144.4,39986
1148.04,37844
1151.67,35824
1155.3,32980
1158.93,30043
1162.55,28386
1166.16,26834
1169.78,25778
1173.38,25685
1178.19,23483
1181.79,21558
1185.38,18155
1188.97,17298
1192.55,15665
1196.13,14557
1199.71,13424
1203.28,11964
1206.84,11361
1211.59,12680
1215.15,14713
1218.7,18592
1222.25,23212
1225.79,29126
1229.33,34729
1232.86,39292
1236.39,43632
1239.92,47276
1243.44,50359
1248.12,53667
1251.63,55736
1255.14,57717
1258.64,59484
1262.14,61169
1265.63,62532
1269.12,63810
1272.6,65146
1276.08,65856
1279.56,66965
1284.18,68076
1287.65,69022
1291.11,69161
1294.56,69903
1298.01,69767
1301.46,70597
1304.9,70846
1308.34,71253
1311.77,71636
1316.34,71884
1319.77,71686
1323.19,71680
1326.6,71874
1330.01,70966
1333.42,70801
1336.82,69928
1340.21,69127
1343.61,68506
1346.99,66751
1351.5,63671
1354.88,60895
1358.25,57729
1361.62,54621
1364.99,51040
1368.34,47345
1371.7,43371
1375.05,38601
1378.4,33983
1381.74,29297
1386.19,24410
1389.52,22269
1392.85,21743
1396.17,23095
1399.49,23385
1402.8,23374
1406.11,21796
1409.41,20516
1412.72,20344
1417.11,21259
1420.4,22552
1423.68,23547
1426.97,24114
1430.24,24780
1433.52,25706
1436.78,27019
1440.05,28341
1443.31,29772
1446.56,31895
1450.89,33849
1454.14,35184
1457.38,36249
1460.61,36977
1463.84,38338
1467.07,39492
1470.29,40176
1473.51,41264
1476.72,41712
1479.93,42582
1484.2,43309
1487.4,43681
1490.6,44195
1493.79,44436
1496.97,44555
1500.15,44765
1503.33,44762
1506.5,44304
1509.67,43878
1513.88,43746
1517.04,43217
1520.19,43290
1523.34,42635
1526.49,41864
1529.63,41399
1532.76,41048
1535.89,41046
1539.02,41470
1542.14,40668
1546.29,41036
1549.41,40612
1552.51,40221
1555.61,39573
1558.71,39142
1561.81,38693
1564.9,38496
1567.98,37652
1571.06,37219
1574.14,36672
1578.23,35801
1581.3,35362
1584.36,35052
1587.41,34181
1590.47,33523
1593.51,32744
1596.56,31651
1599.6,30930
1602.63,30000
1606.67,29114
1609.69,28109
1612.71,26883
1615.73,26087
1618.74,25605
1621.75,24295
1624.75,23675
1627.75,22549
1630.74,21165
1633.73,20543
1637.71,19223
1640.68,18279
1643.66,16728
1646.63,16259
1649.59,14088
1652.55,13622
1655.51,12306
1658.46,10245
1661.41,9354
1664.35,7875
1668.27,6652
1671.2,6179
1674.13,4995
1677.05,3823
1679.97,3205
1682.89,1949
1685.8,1511
1688.7,726
1691.61,437
1694.5,226
1698.36,391
1701.25,-120
