x,y
340,0
341.771,49
343.542,0
345.312,32
347.083,41
348.854,162
350.625,66
352.396,0
354.167,10
355.938,78
357.708,0
359.479,28
361.25,52
363.021,105
364.792,185
366.562,41
368.333,68
370.104,72
371.875,79
373.646,109
375.417,0
377.188,0
378.958,48
380.729,17
382.5,0
384.271,60
386.042,0
387.812,61
389.583,99
391.354,0
393.125,34
394.896,71
396.667,0
398.438,28
400.208,78
401.979,58
403.75,36
405.521,21
407.292,108
409.062,61
410.833,30
412.604,23
414.375,17
416.146,0
417.917,0
419.688,58
421.458,9
423.229,98
425,137
426.771,0
428.542,88
430.312,99
432.083,9
433.854,81
435.625,141
437.396,180
439.167,249
440.938,303
442.708,349
444.479,261
446.25,295
448.021,279
449.792,245
451.562,370
453.333,374
455.104,284
456.875,307
458.646,369
460.417,353
462.188,353
463.958,340
465.729,430
467.5,519
469.271,474
471.042,537
472.812,678
474.583,790
476.354,898
478.125,1217
479.896,1443
481.667,1811
483.438,2215
485.208,2654
486.979,3288
488.75,4010
490.521,5077
492.292,6162
494.062,7388
495.833,8507
497.604,9408
499.375,10042
501.146,10495
502.917,10492
504.688,10937
506.458,10912
508.229,11114
510,11792
511.771,12979
513.542,14078
515.312,15169
517.083,16354
518.854,16748
520.625,17394
522.396,17366
524.167,17233
525.938,17271
527.708,17193
529.479,17596
531.25,17795
533.021,18085
534.792,18010
536.562,18190
538.333,18416
540.104,18363
541.875,18950
543.646,18653
545.417,18588
547.188,18243
548.958,18346
550.729,18095
552.5,17723
554.271,17201
556.042,16388
557.812,15996
559.583,15235
561.354,14459
563.125,14005
564.896,13559
566.667,13141
568.438,12770
570.208,12972
571.979,12784
573.75,12740
575.521,12846
577.292,12598
579.062,12586
580.833,12723
582.604,12444
584.375,12068
586.146,11756
587.917,11626
589.688,11077
591.458,10655
593.229,10340
595,9627
596.771,8937
598.542,8321
600.312,7450
602.083,6690
603.854,5994
605.625,5061
607.396,4340
609.167,3370
610.938,2817
612.708,2448
614.479,2151
616.25,1935
618.021,1865
619.792,1984
621.562,2129
623.333,2572
625.104,2985
626.875,3262
628.646,3776
630.417,4152
632.188,4361
633.958,4517
635.729,4694
637.5,4530
639.271,4393
641.042,4342
642.812,4275
644.583,4124
646.354,3869
648.125,3705
649.896,3654
651.667,3513
653.438,3335
655.208,3233
656.979,3012
658.75,2856
660.521,2762
662.292,2499
664.062,2381
665.833,2504
667.604,2332
669.375,2287
671.146,2085
672.917,1948
674.688,1866
676.458,1788
678.229,1671
680,1507
681.771,1585
683.542,1380
685.312,1336
687.083,1126
688.854,1117
690.625,1010
692.396,1054
694.167,1097
695.938,851
697.708,777
699.479,726
701.25,803
703.021,801
704.792,691
706.562,546
708.333,595
710.104,584
711.875,513
713.646,438
715.417,355
717.188,476
718.958,543
720.729,418
722.5,429
724.271,410
726.042,228
727.812,354
729.583,379
731.354,217
733.125,309
734.896,234
736.667,354
738.438,257
740.208,331
741.979,362
743.75,154
745.521,281
747.292,204
749.062,252
750.833,129
752.604,39
754.375,183
756.146,143
757.917,245
759.688,201
761.458,194
763.229,113
765,187
766.771,148
768.542,84
770.312,102
772.083,71
773.854,30
775.625,167
777.396,117
779.167,99
780.938,82
782.708,165
784.479,86
786.25,180
788.021,142
789.792,87
791.562,94
793.333,141
795.104,37
796.875,28
798.646,92
800.417,105
802.188,90
803.958,46
805.729,0
807.5,122
809.271,105
811.042,87
812.812,7
814.583,115
816.354,64
818.125,66
819.896,0
821.667,67
823.438,69
825.208,21
826.979,0
828.75,179
830.521,0
832.292,61
834.062,0
835.833,164
837.604,43
839.375,199
841.146,145
842.917,90
844.688,103
846.458,57
848.229,41
