x,y
900.989,11032
904.913,12528
908.832,13080
914.051,14711
917.96,16205
921.865,17871
925.765,19439
929.661,22341
933.553,25653
937.44,28802
941.322,31442
945.2,34526
949.074,37303
954.232,40585
958.095,43674
961.954,45823
965.809,48049
969.659,49547
973.505,50798
977.346,52657
981.182,53110
985.015,53731
990.118,53739
993.94,52776
997.757,52605
1001.57,52880
1005.38,52616
1009.18,51912
1012.98,51704
1016.78,51452
1020.57,51289
1024.36,51398
1029.4,51167
1033.17,51606
1036.95,51515
1040.71,51750
1044.48,52265
1048.23,52225
1051.99,52414
1055.74,53069
1059.48,53750
1063.22,53679
1068.2,54011
1071.93,54419
1075.66,54757
1079.38,54903
1083.1,54865
1086.81,54966
1090.52,54825
1094.22,54851
1097.92,55019
1102.85,54534
1106.54,54615
1110.22,54254
1113.9,54050
1117.58,53412
1121.25,53222
1124.92,52324
1128.58,51929
1132.24,50629
1135.89,49394
1140.76,47032
1144.4,44244
1148.04,40937
1151.67,37628
1155.3,33673
1158.93,30465
1162.55,28728
1166.16,28111
1169.78,28003
1173.38,27859
1178.19,26868
1181.79,24346
1185.38,22442
1188.97,20016
1192.55,18563
1196.13,17600
1199.71,16898
1203.28,15179
1206.84,14645
1211.59,16194
1215.15,19774
1218.7,23955
1222.25,29315
1225.79,36265
1229.33,42003
1232.86,47180
1236.39,51342
1239.92,56085
1243.44,59037
1248.12,62948
1251.63,65237
1255.14,66905
1258.64,69048
1262.14,70998
1265.63,72364
1269.12,73870
1272.6,75961
1276.08,76650
1279.56,77594
1284.18,78501
1287.65,79529
1291.11,80441
1294.56,80562
1298.01,80794
1301.46,81182
1304.9,81915
1308.34,81832
1311.77,81976
1316.34,82164
1319.77,82271
1323.19,81792
1326.6,81410
1330.01,81014
1333.42,80496
1336.82,79852
1340.21,79417
1343.61,77674
1346.99,75939
1351.5,72663
1354.88,68091
1358.25,64288
1361.62,61437
1364.99,58019
1368.34,53496
1371.7,48660
1375.05,43830
1378.4,38327
1381.74,33899
1386.19,28829
1389.52,26899
1392.85,27148
1396.17,27664
1399.49,28085
1402.8,27598
1406.11,26367
1409.41,24904
1412.72,24395
1417.11,25688
1420.4,26940
1423.68,27828
1426.97,28929
1430.24,30247
1433.52,30822
1436.78,32450
1440.05,34179
1443.31,36077
1446.56,37855
1450.89,39898
1454.14,41503
1457.38,42452
1460.61,43855
1463.84,44298
1467.07,45656
1470.29,46517
1473.51,47315
1476.72,48613
1479.93,49215
1484.2,49800
1487.4,50246
1490.6,50881
1493.79,50883
1496.97,51013
1500.15,51408
1503.33,50948
1506.5,50772
1509.67,50456
1513.88,49851
1517.04,49463
1520.19,49288
1523.34,48595
1526.49,48031
1529.63,47133
1532.76,46856
1535.89,47183
1539.02,46533
1542.14,46396
1546.29,46385
1549.41,45636
1552.51,45688
1555.61,44429
1558.71,44089
1561.81,43279
1564.9,42175
1567.98,41549
1571.06,40164
1574.14,40032
1578.23,39657
1581.3,39374
1584.36,38886
1587.41,38101
1590.47,36958
1593.51,35935
1596.56,35434
1599.6,33951
1602.63,33353
1606.67,31541
1609.69,30649
1612.71,29656
1615.73,28593
1618.74,27940
1621.75,27015
1624.75,26059
1627.75,24761
1630.74,23855
1633.73,22291
1637.71,20644
1640.68,19074
1643.66,18199
1646.63,15624
1649.59,14864
1652.55,12588
1655.51,11348
1658.46,9850
1661.41,8078
1664.35,7117
1668.27,6146
1671.2,5351
1674.13,4925
1677.05,3538
1679.97,2918
1682.89,1753
1685.8,1095
1688.7,1014
1691.61,547
1694.5,249
1698.36,332
1701.25,-14
