x,y
340,0
341.771,81
343.542,0
345.312,114
347.083,0
348.854,68
350.625,98
352.396,120
354.167,0
355.938,58
357.708,1
359.479,56
361.25,0
363.021,14
364.792,133
366.562,38
368.333,63
370.104,103
371.875,49
373.646,82
375.417,44
377.188,161
378.958,20
380.729,0
382.5,80
384.271,32
386.042,91
387.812,57
389.583,96
391.354,93
393.125,0
394.896,97
396.667,76
398.438,41
400.208,30
401.979,8
403.75,48
405.521,58
407.292,0
409.062,107
410.833,57
412.604,99
414.375,29
416.146,63
417.917,87
419.688,45
421.458,0
423.229,169
425,150
426.771,171
428.542,189
430.312,282
432.083,524
433.854,637
435.625,835
437.396,1187
439.167,1685
440.938,2248
442.708,2796
444.479,3252
446.25,3201
448.021,3073
449.792,3069
451.562,2893
453.333,2925
455.104,3083
456.875,3271
458.646,3268
460.417,3158
462.188,3218
463.958,3279
465.729,3506
467.5,3614
469.271,3740
471.042,4267
472.812,4528
474.583,4892
476.354,5410
478.125,6022
479.896,6508
481.667,7160
483.438,7294
485.208,8135
486.979,8611
488.75,9256
490.521,9946
492.292,10601
494.062,11164
495.833,11887
497.604,12470
499.375,13341
501.146,13497
502.917,13979
504.688,14528
506.458,14649
508.229,15314
510,15622
511.771,15857
513.542,16112
515.312,16774
517.083,16842
518.854,17075
520.625,17416
522.396,17658
524.167,17652
525.938,17608
527.708,17665
529.479,18100
531.25,17706
533.021,18095
534.792,18109
536.562,18159
538.333,18153
540.104,18294
541.875,18283
543.646,18373
545.417,17901
547.188,18080
548.958,18242
550.729,18077
552.5,18018
554.271,18334
556.042,17864
557.812,18055
559.583,18120
561.354,17435
563.125,17666
564.896,17529
566.667,17546
568.438,16915
570.208,16808
571.979,16599
573.75,16126
575.521,15809
577.292,15345
579.062,15220
580.833,14664
582.604,14031
584.375,13829
586.146,13429
587.917,13083
589.688,12748
591.458,12246
593.229,11982
595,11780
596.771,11258
598.542,10967
600.312,10525
602.083,9939
603.854,9681
605.625,9395
607.396,8787
609.167,8349
610.938,8045
612.708,7676
614.479,7122
616.25,6880
618.021,6495
619.792,6265
621.562,5831
623.333,5747
625.104,5499
626.875,5205
628.646,5001
630.417,4942
632.188,4664
633.958,4578
635.729,4248
637.5,4054
639.271,3846
641.042,3719
642.812,3445
644.583,3585
646.354,3146
648.125,3249
649.896,3103
651.667,2803
653.438,2776
655.208,2448
656.979,2399
658.75,2322
660.521,2243
662.292,2034
664.062,1968
665.833,1856
667.604,1703
669.375,1806
671.146,1502
672.917,1476
674.688,1324
676.458,1400
678.229,1237
680,1065
681.771,1188
683.542,909
685.312,1015
687.083,965
688.854,977
690.625,988
692.396,758
694.167,874
695.938,778
697.708,716
699.479,552
701.25,590
703.021,600
704.792,482
706.562,503
708.333,420
710.104,516
711.875,422
713.646,358
715.417,405
717.188,268
718.958,321
720.729,273
722.5,361
724.271,303
726.042,170
727.812,206
729.583,284
731.354,287
733.125,226
734.896,225
736.667,223
738.438,186
740.208,236
741.979,233
743.75,129
745.521,174
747.292,206
749.062,93
750.833,95
752.604,305
754.375,86
756.146,92
757.917,159
759.688,179
761.458,90
763.229,100
765,124
766.771,34
768.542,128
770.312,147
772.083,111
773.854,119
775.625,70
777.396,84
779.167,88
780.938,61
782.708,131
784.479,99
786.25,137
788.021,70
789.792,79
791.562,153
793.333,46
795.104,0
796.875,112
798.646,33
800.417,0
802.188,135
803.958,103
805.729,98
807.5,85
809.271,178
811.042,141
812.812,138
814.583,174
816.354,57
818.125,47
819.896,29
821.667,42
823.438,30
825.208,0
826.979,123
828.75,65
830.521,46
832.292,64
834.062,65
835.833,109
837.604,31
839.375,70
841.146,0
842.917,94
844.688,54
846.458,0
848.229,89
