x,y
900.989,20227
904.913,22183
908.832,24261
914.051,26851
917.96,30499
921.865,33295
925.765,37114
929.661,41705
933.553,46420
937.44,50501
941.322,55530
945.2,58979
949.074,62800
954.232,68264
958.095,71612
961.954,74960
965.809,77706
969.659,79945
973.505,82613
977.346,84295
981.182,85861
985.015,86848
990.118,86363
993.94,85633
997.757,84735
1001.57,85132
1005.38,84692
1009.18,84514
1012.98,84312
1016.78,84015
1020.57,84591
1024.36,85035
1029.4,84978
1033.17,85146
1036.95,85591
1040.71,85786
1044.48,85966
1048.23,86854
1051.99,86856
1055.74,87077
1059.48,86913
1063.22,87391
1068.2,87905
1071.93,87916
1075.66,87453
1079.38,88064
1083.1,88641
1086.81,88432
1090.52,88102
1094.22,88602
1097.92,88687
1102.85,88637
1106.54,88585
1110.22,88731
1113.9,89132
1117.58,89171
1121.25,89280
1124.92,89384
1128.58,90149
1132.24,90918
1135.89,90506
1140.76,91411
1144.4,92671
1148.04,92921
1151.67,93953
1155.3,94832
1158.93,95669
1162.55,97231
1166.16,97601
1169.78,99287
1173.38,100543
1178.19,101773
1181.79,103843
1185.38,105425
1188.97,106959
1192.55,108032
1196.13,110113
1199.71,111396
1203.28,112844
1206.84,114991
1211.59,116788
1215.15,118335
1218.7,119840
1222.25,121979
1225.79,123007
1229.33,124656
1232.86,125514
1236.39,127302
1239.92,127926
1243.44,129433
1248.12,130346
1251.63,131188
1255.14,132041
1258.64,132735
1262.14,133761
1265.63,134996
1269.12,136447
1272.6,137404
1276.08,138829
1279.56,139626
1284.18,140128
1287.65,141200
1291.11,141693
1294.56,141763
1298.01,141817
1301.46,142341
1304.9,142438
1308.34,142861
1311.77,143448
1316.34,142775
1319.77,142715
1323.19,142969
1326.6,142648
1330.01,142449
1333.42,142076
1336.82,142020
1340.21,141568
1343.61,140864
1346.99,140107
1351.5,139084
1354.88,138015
1358.25,136702
1361.62,135983
1364.99,135463
1368.34,134917
1371.7,134627
1375.05,133200
1378.4,130452
1381.74,127975
1386.19,125200
1389.52,123595
1392.85,122059
1396.17,121023
1399.49,119904
1402.8,119531
1406.11,119184
1409.41,118529
1412.72,118954
1417.11,118970
1420.4,119552
1423.68,119584
1426.97,119723
1430.24,119701
1433.52,120048
1436.78,120032
1440.05,120039
1443.31,119969
1446.56,119768
1450.89,119507
1454.14,119473
1457.38,118232
1460.61,118147
1463.84,117352
1467.07,116511
1470.29,116064
1473.51,115189
1476.72,114283
1479.93,113851
1484.2,112194
1487.4,111504
1490.6,110758
1493.79,109273
1496.97,108656
1500.15,107331
1503.33,106650
1506.5,105562
1509.67,104447
1513.88,103188
1517.04,101644
1520.19,100985
1523.34,99840
1526.49,98927
1529.63,97281
1532.76,96538
1535.89,95340
1539.02,94349
1542.14,92795
1546.29,91651
1549.41,90400
1552.51,89011
1555.61,87903
1558.71,86146
1561.81,84748
1564.9,83085
1567.98,82051
1571.06,80643
1574.14,79023
1578.23,77165
1581.3,75528
1584.36,74067
1587.41,73495
1590.47,71548
1593.51,70281
1596.56,68646
1599.6,67365
1602.63,65566
1606.67,64310
1609.69,62812
1612.71,61146
1615.73,59380
1618.74,58952
1621.75,57538
1624.75,55419
1627.75,54255
1630.74,52046
1633.73,51382
1637.71,49298
1640.68,47462
1643.66,46643
1646.63,44616
1649.59,43404
1652.55,42167
1655.51,40986
1658.46,38613
1661.41,37523
1664.35,35754
1668.27,33558
1671.2,31179
1674.13,28994
1677.05,26755
1679.97,24009
1682.89,21490
1685.8,17986
1688.7,15719
1691.61,13400
1694.5,11235
1698.36,9112
1701.25,7709
