x,y
340,0
341.771,76
343.542,15
345.312,67
347.083,103
348.854,51
350.625,186
352.396,99
354.167,143
355.938,177
357.708,57
359.479,144
361.25,119
363.021,144
364.792,116
366.562,164
368.333,111
370.104,213
371.875,141
373.646,54
375.417,152
377.188,160
378.958,222
380.729,210
382.5,122
384.271,398
386.042,496
387.812,619
389.583,611
391.354,516
393.125,412
394.896,238
396.667,173
398.438,209
400.208,298
401.979,459
403.75,524
405.521,634
407.292,790
409.062,762
410.833,1083
412.604,1353
414.375,1488
416.146,1845
417.917,2246
419.688,2589
421.458,2677
423.229,3053
425,3195
426.771,3362
428.542,3615
430.312,3873
432.083,4044
433.854,4176
435.625,4612
437.396,4945
439.167,4940
440.938,4926
442.708,5036
444.479,4667
446.25,4829
448.021,4870
449.792,4557
451.562,4644
453.333,4696
455.104,4493
456.875,4232
458.646,4106
460.417,4026
462.188,3748
463.958,3490
465.729,3261
467.5,2975
469.271,2833
471.042,2658
472.812,2238
474.583,2156
476.354,1949
478.125,1762
479.896,1829
481.667,1480
483.438,1394
485.208,1307
486.979,1381
488.75,1205
490.521,986
492.292,1081
494.062,1015
495.833,1015
497.604,858
499.375,1025
501.146,882
502.917,821
504.688,770
506.458,696
508.229,776
510,588
511.771,628
513.542,647
515.312,744
517.083,728
518.854,589
520.625,585
522.396,594
524.167,515
525.938,549
527.708,473
529.479,418
531.25,442
533.021,492
534.792,419
536.562,331
538.333,321
540.104,267
541.875,332
543.646,310
545.417,295
547.188,284
548.958,296
550.729,278
552.5,363
554.271,288
556.042,265
557.812,252
559.583,214
561.354,244
563.125,300
564.896,313
566.667,248
568.438,131
570.208,173
571.979,152
573.75,209
575.521,189
577.292,145
579.062,174
580.833,126
582.604,60
584.375,140
586.146,151
587.917,188
589.688,144
591.458,83
593.229,119
595,156
596.771,164
598.542,91
600.312,109
602.083,199
603.854,130
605.625,106
607.396,245
609.167,93
610.938,218
612.708,274
614.479,256
616.25,288
618.021,165
619.792,235
621.562,264
623.333,208
625.104,283
626.875,200
628.646,281
630.417,172
632.188,193
633.958,276
635.729,145
637.5,365
639.271,262
641.042,428
642.812,276
644.583,323
646.354,201
648.125,193
649.896,169
651.667,172
653.438,144
655.208,110
656.979,169
658.75,320
660.521,100
662.292,147
664.062,184
665.833,68
667.604,203
669.375,148
671.146,14
672.917,198
674.688,92
676.458,199
678.229,131
680,176
681.771,237
683.542,170
685.312,3
687.083,135
688.854,193
690.625,124
692.396,106
694.167,97
695.938,68
697.708,139
699.479,54
701.25,192
703.021,169
704.792,142
706.562,146
708.333,39
710.104,104
711.875,76
713.646,31
715.417,297
717.188,99
718.958,139
720.729,102
722.5,60
724.271,125
726.042,186
727.812,161
729.583,125
731.354,168
733.125,171
734.896,242
736.667,159
738.438,127
740.208,135
741.979,274
743.75,194
745.521,185
747.292,122
749.062,220
750.833,95
752.604,122
754.375,129
756.146,52
757.917,0
759.688,167
761.458,109
763.229,111
765,135
766.771,96
768.542,80
770.312,32
772.083,57
773.854,163
775.625,187
777.396,204
779.167,148
780.938,104
782.708,129
784.479,58
786.25,51
788.021,181
789.792,176
791.562,76
793.333,78
795.104,9
796.875,154
798.646,132
800.417,182
802.188,140
803.958,138
805.729,170
807.5,133
809.271,85
811.042,130
812.812,174
814.583,141
816.354,153
818.125,99
819.896,146
821.667,112
823.438,161
825.208,122
826.979,128
828.75,59
830.521,117
832.292,131
834.062,61
835.833,16
837.604,90
839.375,12
841.146,0
842.917,132
844.688,75
846.458,0
848.229,161
