x,y
900.989,9247
904.913,10110
908.832,11515
914.051,12114
917.96,12893
921.865,14642
925.765,16214
929.661,18315
933.553,20469
937.44,23309
941.322,26394
945.2,28790
949.074,31253
954.232,33922
958.095,36261
961.954,37910
965.809,39559
969.659,42096
973.505,42501
977.346,43652
981.182,44151
985.015,44338
990.118,44421
993.94,44419
997.757,43541
1001.57,43428
1005.38,43012
1009.18,42890
1012.98,42518
1016.78,42162
1020.57,42512
1024.36,41874
1029.4,42128
1033.17,41994
1036.95,42107
1040.71,42381
1044.48,42476
1048.23,42696
1051.99,42963
1055.74,43785
1059.48,43148
1063.22,43735
1068.2,44123
1071.93,44381
1075.66,44128
1079.38,44838
1083.1,44577
1086.81,44670
1090.52,44731
1094.22,45000
1097.92,44991
1102.85,44702
1106.54,44876
1110.22,44610
1113.9,44448
1117.58,44520
1121.25,44054
1124.92,43397
1128.58,42848
1132.24,42369
1135.89,41486
1140.76,39646
1144.4,37870
1148.04,35896
1151.67,33184
1155.3,30750
1158.93,28324
1162.55,26370
1166.16,25309
1169.78,24741
1173.38,24349
1178.19,22248
1181.79,20273
1185.38,18317
1188.97,16382
1192.55,14734
1196.13,13649
1199.71,12340
1203.28,11118
1206.84,10945
1211.59,11640
1215.15,14438
1218.7,17838
1222.25,22355
1225.79,28226
1229.33,33486
1232.86,38073
1236.39,42162
1239.92,45227
1243.44,48344
1248.12,50926
1251.63,53471
1255.14,55207
1258.64,56769
1262.14,58503
1265.63,59365
1269.12,61049
1272.6,62442
1276.08,62946
1279.56,64094
1284.18,64599
1287.65,65413
1291.11,65653
1294.56,66874
1298.01,66912
1301.46,67068
1304.9,67214
1308.34,67828
1311.77,68156
1316.34,68166
1319.77,67951
1323.19,68324
1326.6,67799
1330.01,67691
1333.42,67300
1336.82,66594
1340.21,65786
1343.61,64652
1346.99,63008
1351.5,60074
1354.88,57106
1358.25,54223
1361.62,51220
1364.99,48170
1368.34,44567
1371.7,40170
1375.05,36415
1378.4,32022
1381.74,27662
1386.19,23267
1389.52,20749
1392.85,21027
1396.17,22073
1399.49,22972
1402.8,21926
1406.11,20720
1409.41,19416
1412.72,19200
1417.11,20287
1420.4,20853
1423.68,21778
1426.97,22565
1430.24,23311
1433.52,24295
1436.78,25135
1440.05,26899
1443.31,27864
1446.56,29678
1450.89,31211
1454.14,32415
1457.38,34447
1460.61,35200
1463.84,36383
1467.07,37241
1470.29,38040
1473.51,38782
1476.72,40028
1479.93,40359
1484.2,41226
1487.4,41731
1490.6,42122
1493.79,42379
1496.97,42456
1500.15,42535
1503.33,42325
1506.5,42200
1509.67,41990
1513.88,41643
1517.04,41258
1520.19,40627
1523.34,40339
1526.49,39949
1529.63,39948
1532.76,39351
1535.89,39294
1539.02,38529
1542.14,39013
1546.29,39036
1549.41,38550
1552.51,38336
1555.61,38259
1558.71,37157
1561.81,36831
1564.9,36405
1567.98,35579
1571.06,35359
1574.14,35030
1578.23,34082
1581.3,34021
1584.36,33247
1587.41,32746
1590.47,31785
1593.51,31284
1596.56,29614
1599.6,29802
1602.63,28975
1606.67,27674
1609.69,26680
1612.71,26149
1615.73,25366
1618.74,24727
1621.75,23554
1624.75,22696
1627.75,21784
1630.74,20737
1633.73,20252
1637.71,18092
1640.68,16920
1643.66,16291
1646.63,15317
1649.59,14242
1652.55,12968
1655.51,12032
1658.46,10238
1661.41,9008
1664.35,8300
1668.27,6230
1671.2,5594
1674.13,4800
1677.05,3708
1679.97,3101
1682.89,2141
1685.8,1369
1688.7,1085
1691.61,887
1694.5,397
1698.36,782
1701.25,44
