x,y
340,0
341.771,19
343.542,35
345.312,148
347.083,69
348.854,4
350.625,132
352.396,0
354.167,0
355.938,52
357.708,143
359.479,12
361.25,0
363.021,41
364.792,0
366.562,0
368.333,58
370.104,10
371.875,0
373.646,68
375.417,0
377.188,92
378.958,0
380.729,115
382.5,0
384.271,38
386.042,70
387.812,8
389.583,73
391.354,14
393.125,0
394.896,0
396.667,20
398.438,31
400.208,166
401.979,0
403.75,0
405.521,0
407.292,134
409.062,91
410.833,0
412.604,9
414.375,39
416.146,78
417.917,0
419.688,24
421.458,87
423.229,88
425,90
426.771,66
428.542,44
430.312,93
432.083,189
433.854,154
435.625,300
437.396,246
439.167,549
440.938,691
442.708,822
444.479,936
446.25,933
448.021,904
449.792,901
451.562,924
453.333,953
455.104,879
456.875,1032
458.646,1028
460.417,895
462.188,1088
463.958,1024
465.729,1074
467.5,988
469.271,1341
471.042,1387
472.812,1477
474.583,1693
476.354,1991
478.125,2449
479.896,2579
481.667,2981
483.438,3389
485.208,3962
486.979,4461
488.75,5119
490.521,5949
492.292,6922
494.062,7704
495.833,8734
497.604,9472
499.375,10385
501.146,10434
502.917,10766
504.688,10703
506.458,11178
508.229,11347
510,11974
511.771,12415
513.542,13479
515.312,13983
517.083,14802
518.854,15283
520.625,15235
522.396,15643
524.167,15628
525.938,15762
527.708,15672
529.479,16354
531.25,16460
533.021,16613
534.792,16407
536.562,16459
538.333,16502
540.104,17097
541.875,16895
543.646,17016
545.417,17058
547.188,16878
548.958,16917
550.729,16561
552.5,16425
554.271,15936
556.042,15540
557.812,15436
559.583,15019
561.354,14375
563.125,14008
564.896,13951
566.667,13451
568.438,13146
570.208,13216
571.979,13109
573.75,12959
575.521,12874
577.292,12644
579.062,12177
580.833,12493
582.604,11857
584.375,11713
586.146,11061
587.917,10581
589.688,10385
591.458,9866
593.229,9257
595,8930
596.771,8484
598.542,7806
600.312,7451
602.083,6788
603.854,6170
605.625,5405
607.396,4867
609.167,4102
610.938,3577
612.708,3023
614.479,2617
616.25,2558
618.021,2547
619.792,2529
621.562,2763
623.333,3164
625.104,3275
626.875,3689
628.646,3897
630.417,4200
632.188,4073
633.958,4115
635.729,4023
637.5,4104
639.271,3782
641.042,3804
642.812,3648
644.583,3453
646.354,3295
648.125,3050
649.896,2969
651.667,2841
653.438,2872
655.208,2674
656.979,2720
658.75,2453
660.521,2092
662.292,2296
664.062,2067
665.833,1941
667.604,2006
669.375,1924
671.146,1595
672.917,1572
674.688,1488
676.458,1455
678.229,1438
680,1416
681.771,1085
683.542,1180
685.312,1035
687.083,958
688.854,875
690.625,830
692.396,842
694.167,879
695.938,766
697.708,813
699.479,616
701.25,606
703.021,713
704.792,582
706.562,420
708.333,529
710.104,457
711.875,547
713.646,447
715.417,451
717.188,391
718.958,286
720.729,370
722.5,354
724.271,367
726.042,297
727.812,220
729.583,245
731.354,262
733.125,237
734.896,127
736.667,146
738.438,217
740.208,226
741.979,215
743.75,87
745.521,183
747.292,208
749.062,64
750.833,112
752.604,131
754.375,106
756.146,66
757.917,183
759.688,109
761.458,107
763.229,167
765,128
766.771,68
768.542,85
770.312,21
772.083,92
773.854,178
775.625,141
777.396,20
779.167,42
780.938,158
782.708,120
784.479,72
786.25,110
788.021,268
789.792,137
791.562,20
793.333,23
795.104,0
796.875,61
798.646,72
800.417,93
802.188,107
803.958,202
805.729,0
807.5,132
809.271,181
811.042,40
812.812,33
814.583,0
816.354,34
818.125,0
819.896,86
821.667,71
823.438,26
825.208,0
826.979,5
828.75,69
830.521,80
832.292,47
834.062,23
835.833,46
837.604,115
839.375,101
841.146,114
842.917,0
844.688,15
846.458,60
848.229,0
