x,y
340,0
341.771,44
343.542,2
345.312,55
347.083,119
348.854,67
350.625,0
352.396,26
354.167,52
355.938,178
357.708,74
359.479,97
361.25,96
363.021,127
364.792,52
366.562,30
368.333,29
370.104,90
371.875,51
373.646,57
375.417,0
377.188,81
378.958,0
380.729,38
382.5,30
384.271,90
386.042,101
387.812,9
389.583,194
391.354,16
393.125,19
394.896,12
396.667,85
398.438,15
400.208,33
401.979,26
403.75,175
405.521,235
407.292,198
409.062,175
410.833,135
412.604,178
414.375,228
416.146,306
417.917,246
419.688,263
421.458,249
423.229,365
425,350
426.771,382
428.542,418
430.312,487
432.083,541
433.854,465
435.625,668
437.396,775
439.167,584
440.938,770
442.708,692
444.479,777
446.25,888
448.021,917
449.792,909
451.562,963
453.333,946
455.104,1004
456.875,1254
458.646,1180
460.417,1162
462.188,1250
463.958,1289
465.729,1279
467.5,1056
469.271,1139
471.042,1190
472.812,1143
474.583,1202
476.354,1145
478.125,1283
479.896,1281
481.667,1244
483.438,1300
485.208,1296
486.979,1482
488.75,1471
490.521,1678
492.292,1851
494.062,1818
495.833,2037
497.604,1892
499.375,1950
501.146,1848
502.917,1870
504.688,1870
506.458,1750
508.229,1697
510,1653
511.771,1751
513.542,1623
515.312,1667
517.083,1527
518.854,1533
520.625,1575
522.396,1530
524.167,1469
525.938,1512
527.708,1319
529.479,1253
531.25,1308
533.021,1283
534.792,1230
536.562,1189
538.333,1235
540.104,1093
541.875,1133
543.646,1125
545.417,1008
547.188,958
548.958,892
550.729,897
552.5,890
554.271,943
556.042,868
557.812,758
559.583,807
561.354,652
563.125,757
564.896,731
566.667,785
568.438,675
570.208,665
571.979,630
573.75,668
575.521,810
577.292,631
579.062,630
580.833,624
582.604,728
584.375,813
586.146,795
587.917,874
589.688,1086
591.458,1154
593.229,1412
595,1807
596.771,1915
598.542,2490
600.312,3403
602.083,4283
603.854,5514
605.625,7453
607.396,9446
609.167,12107
610.938,15344
612.708,18848
614.479,23323
616.25,27663
618.021,32619
619.792,37020
621.562,40489
623.333,43342
625.104,44181
626.875,43506
628.646,41075
630.417,38156
632.188,33359
633.958,28852
635.729,24080
637.5,20586
639.271,17593
641.042,14964
642.812,13541
644.583,12276
646.354,11545
648.125,11092
649.896,10600
651.667,10554
653.438,10441
655.208,10017
656.979,9862
658.75,9894
660.521,9777
662.292,9883
664.062,9457
665.833,9911
667.604,9709
669.375,9566
671.146,9229
672.917,8832
674.688,8318
676.458,7851
678.229,7092
680,6513
681.771,6040
683.542,5480
685.312,4971
687.083,4435
688.854,4158
690.625,3760
692.396,3633
694.167,3351
695.938,3135
697.708,2809
699.479,2593
701.25,2499
703.021,2162
704.792,2003
706.562,1900
708.333,1744
710.104,1464
711.875,1347
713.646,1237
715.417,1243
717.188,1129
718.958,857
720.729,890
722.5,783
724.271,779
726.042,719
727.812,702
729.583,633
731.354,588
733.125,418
734.896,476
736.667,390
738.438,377
740.208,486
741.979,314
743.75,451
745.521,411
747.292,413
749.062,404
750.833,204
752.604,433
754.375,226
756.146,300
757.917,374
759.688,221
761.458,220
763.229,126
765,281
766.771,124
768.542,158
770.312,283
772.083,172
773.854,208
775.625,161
777.396,63
779.167,173
780.938,223
782.708,222
784.479,140
786.25,168
788.021,113
789.792,193
791.562,114
793.333,37
795.104,91
796.875,145
798.646,165
800.417,0
802.188,0
803.958,25
805.729,128
807.5,172
809.271,96
811.042,154
812.812,41
814.583,65
816.354,80
818.125,134
819.896,113
821.667,140
823.438,8
825.208,101
826.979,77
828.75,0
830.521,106
832.292,0
834.062,86
835.833,179
837.604,64
839.375,134
841.146,100
842.917,46
844.688,2
846.458,45
848.229,146
