x,y
340,0
341.771,52
343.542,0
345.312,34
347.083,49
348.854,35
350.625,0
352.396,0
354.167,2
355.938,120
357.708,49
359.479,34
361.25,40
363.021,0
364.792,65
366.562,53
368.333,113
370.104,0
371.875,0
373.646,74
375.417,186
377.188,40
378.958,0
380.729,26
382.5,0
384.271,74
386.042,86
387.812,67
389.583,0
391.354,109
393.125,0
394.896,0
396.667,15
398.438,86
400.208,1
401.979,0
403.75,58
405.521,0
407.292,25
409.062,21
410.833,0
412.604,66
414.375,0
416.146,0
417.917,0
419.688,28
421.458,96
423.229,74
425,128
426.771,111
428.542,55
430.312,0
432.083,66
433.854,102
435.625,141
437.396,240
439.167,276
440.938,470
442.708,543
444.479,454
446.25,504
448.021,653
449.792,542
451.562,500
453.333,556
455.104,356
456.875,529
458.646,578
460.417,520
462.188,473
463.958,408
465.729,455
467.5,493
469.271,742
471.042,721
472.812,594
474.583,802
476.354,964
478.125,1265
479.896,1380
481.667,1728
483.438,1986
485.208,2480
486.979,2865
488.75,3729
490.521,4567
492.292,5590
494.062,6726
495.833,7717
497.604,8536
499.375,9544
501.146,9661
502.917,9836
504.688,9640
506.458,9845
508.229,10109
510,10842
511.771,11914
513.542,12965
515.312,14168
517.083,14919
518.854,15518
520.625,15830
522.396,16151
524.167,15924
525.938,16236
527.708,16131
529.479,16347
531.25,16602
533.021,16879
534.792,17361
536.562,17035
538.333,17338
540.104,17451
541.875,17402
543.646,17567
545.417,17521
547.188,17491
548.958,17297
550.729,17017
552.5,16803
554.271,16266
556.042,15866
557.812,15317
559.583,14663
561.354,13787
563.125,13325
564.896,13080
566.667,12753
568.438,12180
570.208,11912
571.979,12409
573.75,12220
575.521,12264
577.292,12191
579.062,12066
580.833,12153
582.604,12038
584.375,11729
586.146,11320
587.917,11122
589.688,10796
591.458,10381
593.229,9742
595,9474
596.771,8615
598.542,8059
600.312,7231
602.083,6520
603.854,5574
605.625,4884
607.396,3944
609.167,3329
610.938,2651
612.708,2385
614.479,2002
616.25,1754
618.021,1593
619.792,1891
621.562,2120
623.333,2346
625.104,2793
626.875,3184
628.646,3587
630.417,3969
632.188,4287
633.958,4196
635.729,4343
637.5,4272
639.271,4145
641.042,4101
642.812,3944
644.583,3770
646.354,3547
648.125,3505
649.896,3276
651.667,3298
653.438,2969
655.208,2895
656.979,2651
658.75,2551
660.521,2509
662.292,2316
664.062,2262
665.833,2267
667.604,2091
669.375,2100
671.146,1910
672.917,1771
674.688,1739
676.458,1604
678.229,1468
680,1400
681.771,1419
683.542,1313
685.312,1179
687.083,938
688.854,1062
690.625,1084
692.396,1063
694.167,893
695.938,780
697.708,856
699.479,814
701.25,660
703.021,797
704.792,642
706.562,630
708.333,497
710.104,494
711.875,427
713.646,445
715.417,413
717.188,459
718.958,373
720.729,384
722.5,345
724.271,362
726.042,326
727.812,278
729.583,250
731.354,296
733.125,285
734.896,226
736.667,215
738.438,192
740.208,175
741.979,168
743.75,109
745.521,227
747.292,244
749.062,150
750.833,117
752.604,89
754.375,264
756.146,83
757.917,54
759.688,173
761.458,158
763.229,117
765,131
766.771,93
768.542,19
770.312,82
772.083,176
773.854,144
775.625,87
777.396,100
779.167,99
780.938,69
782.708,84
784.479,110
786.25,58
788.021,146
789.792,77
791.562,64
793.333,134
795.104,128
796.875,51
798.646,123
800.417,104
802.188,0
803.958,0
805.729,167
807.5,5
809.271,81
811.042,122
812.812,34
814.583,126
816.354,41
818.125,27
819.896,52
821.667,142
823.438,20
825.208,28
826.979,88
828.75,0
830.521,60
832.292,118
834.062,131
835.833,0
837.604,3
839.375,9
841.146,0
842.917,0
844.688,0
846.458,58
848.229,30
