x,y
340,0
341.771,35
343.542,0
345.312,94
347.083,124
348.854,132
350.625,83
352.396,182
354.167,135
355.938,100
357.708,150
359.479,130
361.25,106
363.021,128
364.792,83
366.562,182
368.333,101
370.104,137
371.875,239
373.646,60
375.417,215
377.188,145
378.958,213
380.729,93
382.5,169
384.271,314
386.042,519
387.812,617
389.583,679
391.354,572
393.125,456
394.896,188
396.667,171
398.438,259
400.208,292
401.979,320
403.75,418
405.521,582
407.292,681
409.062,831
410.833,894
412.604,1051
414.375,1294
416.146,1589
417.917,2016
419.688,2376
421.458,2591
423.229,2838
425,3118
426.771,3231
428.542,3345
430.312,3634
432.083,3983
433.854,4253
435.625,4596
437.396,4599
439.167,4844
440.938,4728
442.708,4796
444.479,4810
446.25,4715
448.021,4692
449.792,4569
451.562,4586
453.333,4448
455.104,4313
456.875,4145
458.646,4051
460.417,3770
462.188,3763
463.958,3420
465.729,3089
467.5,2948
469.271,2587
471.042,2336
472.812,2204
474.583,2035
476.354,1993
478.125,1926
479.896,1785
481.667,1530
483.438,1399
485.208,1298
486.979,1239
488.75,1138
490.521,1137
492.292,1023
494.062,817
495.833,979
497.604,1013
499.375,929
501.146,743
502.917,714
504.688,786
506.458,658
508.229,687
510,762
511.771,600
513.542,647
515.312,612
517.083,466
518.854,592
520.625,522
522.396,568
524.167,570
525.938,467
527.708,413
529.479,501
531.25,456
533.021,354
534.792,363
536.562,385
538.333,408
540.104,269
541.875,362
543.646,183
545.417,248
547.188,231
548.958,285
550.729,279
552.5,275
554.271,322
556.042,316
557.812,314
559.583,213
561.354,220
563.125,237
564.896,337
566.667,283
568.438,276
570.208,366
571.979,214
573.75,0
575.521,234
577.292,225
579.062,242
580.833,173
582.604,125
584.375,140
586.146,225
587.917,122
589.688,238
591.458,211
593.229,157
595,101
596.771,220
598.542,118
600.312,115
602.083,156
603.854,190
605.625,182
607.396,50
609.167,212
610.938,176
612.708,238
614.479,126
616.25,155
618.021,222
619.792,102
621.562,213
623.333,207
625.104,163
626.875,294
628.646,179
630.417,109
632.188,209
633.958,169
635.729,130
637.5,214
639.271,253
641.042,276
642.812,174
644.583,149
646.354,183
648.125,132
649.896,116
651.667,197
653.438,103
655.208,225
656.979,128
658.75,164
660.521,42
662.292,144
664.062,116
665.833,125
667.604,122
669.375,76
671.146,123
672.917,151
674.688,136
676.458,85
678.229,58
680,230
681.771,129
683.542,101
685.312,116
687.083,154
688.854,61
690.625,171
692.396,102
694.167,131
695.938,176
697.708,39
699.479,99
701.25,79
703.021,74
704.792,99
706.562,214
708.333,62
710.104,126
711.875,0
713.646,184
715.417,81
717.188,116
718.958,172
720.729,125
722.5,129
724.271,141
726.042,83
727.812,157
729.583,142
731.354,142
733.125,85
734.896,176
736.667,112
738.438,108
740.208,220
741.979,140
743.75,40
745.521,177
747.292,89
749.062,69
750.833,138
752.604,192
754.375,194
756.146,101
757.917,134
759.688,55
761.458,120
763.229,117
765,102
766.771,220
768.542,198
770.312,156
772.083,189
773.854,159
775.625,110
777.396,200
779.167,136
780.938,66
782.708,115
784.479,137
786.25,149
788.021,39
789.792,150
791.562,75
793.333,117
795.104,119
796.875,114
798.646,130
800.417,143
802.188,113
803.958,143
805.729,175
807.5,180
809.271,78
811.042,41
812.812,125
814.583,121
816.354,23
818.125,158
819.896,217
821.667,185
823.438,112
825.208,195
826.979,175
828.75,142
830.521,39
832.292,137
834.062,80
835.833,188
837.604,92
839.375,62
841.146,83
842.917,49
844.688,153
846.458,147
848.229,73
