x,y
340,0
341.771,26
343.542,3
345.312,34
347.083,108
348.854,75
350.625,6
352.396,25
354.167,72
355.938,65
357.708,26
359.479,48
361.25,50
363.021,93
364.792,104
366.562,20
368.333,101
370.104,42
371.875,50
373.646,31
375.417,140
377.188,99
378.958,25
380.729,165
382.5,23
384.271,93
386.042,109
387.812,61
389.583,128
391.354,71
393.125,0
394.896,5
396.667,81
398.438,255
400.208,481
401.979,788
403.75,971
405.521,1192
407.292,1449
409.062,1613
410.833,1926
412.604,1860
414.375,1800
416.146,1892
417.917,1920
419.688,1863
421.458,1844
423.229,2124
425,2196
426.771,2228
428.542,2332
430.312,2556
432.083,2878
433.854,2650
435.625,2843
437.396,3114
439.167,3205
440.938,3078
442.708,3381
444.479,3414
446.25,3573
448.021,3712
449.792,3612
451.562,3782
453.333,3873
455.104,3962
456.875,3898
458.646,4105
460.417,4080
462.188,3911
463.958,3733
465.729,3831
467.5,3530
469.271,3467
471.042,3440
472.812,3400
474.583,3211
476.354,3301
478.125,3178
479.896,3286
481.667,3238
483.438,3460
485.208,3404
486.979,3442
488.75,3725
490.521,3841
492.292,3880
494.062,4129
495.833,4158
497.604,4167
499.375,4311
501.146,4148
502.917,3851
504.688,3597
506.458,3539
508.229,3521
510,3333
511.771,3069
513.542,3158
515.312,3185
517.083,3126
518.854,2944
520.625,2903
522.396,2782
524.167,2668
525.938,2541
527.708,2418
529.479,2349
531.25,2160
533.021,2171
534.792,2233
536.562,2134
538.333,2125
540.104,2027
541.875,1860
543.646,1982
545.417,1788
547.188,1747
548.958,1896
550.729,1607
552.5,1655
554.271,1534
556.042,1424
557.812,1377
559.583,1313
561.354,1259
563.125,1174
564.896,1135
566.667,1151
568.438,995
570.208,1134
571.979,1060
573.75,1087
575.521,978
577.292,862
579.062,890
580.833,909
582.604,983
584.375,833
586.146,976
587.917,970
589.688,991
591.458,988
593.229,1188
595,1456
596.771,1705
598.542,1906
600.312,2403
602.083,2962
603.854,3821
605.625,5185
607.396,6538
609.167,8654
610.938,10635
612.708,13231
614.479,16555
616.25,19637
618.021,23050
619.792,25569
621.562,27968
623.333,29315
625.104,29281
626.875,28457
628.646,26648
630.417,23350
632.188,20325
633.958,17413
635.729,14444
637.5,12384
639.271,10381
641.042,8927
642.812,7880
644.583,6989
646.354,6717
648.125,6535
649.896,6216
651.667,6129
653.438,6040
655.208,5874
656.979,5706
658.75,5772
660.521,5861
662.292,5734
664.062,5727
665.833,5733
667.604,5527
669.375,5515
671.146,5360
672.917,5098
674.688,4875
676.458,4489
678.229,4241
680,3718
681.771,3592
683.542,3256
685.312,2941
687.083,2543
688.854,2442
690.625,2320
692.396,2188
694.167,1918
695.938,1765
697.708,1823
699.479,1570
701.25,1565
703.021,1401
704.792,1188
706.562,960
708.333,912
710.104,925
711.875,781
713.646,722
715.417,633
717.188,580
718.958,528
720.729,569
722.5,396
724.271,487
726.042,388
727.812,326
729.583,248
731.354,344
733.125,363
734.896,286
736.667,358
738.438,250
740.208,336
741.979,175
743.75,287
745.521,183
747.292,286
749.062,240
750.833,212
752.604,245
754.375,259
756.146,157
757.917,90
759.688,190
761.458,150
763.229,141
765,213
766.771,132
768.542,21
770.312,80
772.083,6
773.854,155
775.625,142
777.396,257
779.167,74
780.938,161
782.708,32
784.479,126
786.25,128
788.021,33
789.792,91
791.562,164
793.333,124
795.104,59
796.875,80
798.646,148
800.417,119
802.188,52
803.958,131
805.729,118
807.5,87
809.271,63
811.042,83
812.812,203
814.583,87
816.354,0
818.125,22
819.896,43
821.667,111
823.438,67
825.208,56
826.979,106
828.75,52
830.521,122
832.292,98
834.062,19
835.833,101
837.604,0
839.375,206
841.146,101
842.917,152
844.688,0
846.458,136
848.229,49
