x,y
340,0
341.771,33
343.542,0
345.312,99
347.083,135
348.854,8
350.625,0
352.396,0
354.167,120
355.938,143
357.708,23
359.479,52
361.25,35
363.021,143
364.792,111
366.562,141
368.333,62
370.104,124
371.875,35
373.646,10
375.417,0
377.188,10
378.958,36
380.729,133
382.5,113
384.271,48
386.042,160
387.812,157
389.583,32
391.354,138
393.125,109
394.896,0
396.667,12
398.438,134
400.208,101
401.979,104
403.75,209
405.521,117
407.292,64
409.062,57
410.833,44
412.604,108
414.375,0
416.146,75
417.917,83
419.688,123
421.458,104
423.229,171
425,19
426.771,69
428.542,152
430.312,245
432.083,217
433.854,239
435.625,360
437.396,496
439.167,809
440.938,989
442.708,1298
444.479,1642
446.25,1638
448.021,1486
449.792,1485
451.562,1603
453.333,1696
455.104,1751
456.875,1887
458.646,1849
460.417,1863
462.188,1956
463.958,2139
465.729,2059
467.5,2243
469.271,2588
471.042,2756
472.812,3051
474.583,3386
476.354,3544
478.125,4057
479.896,4386
481.667,4682
483.438,5125
485.208,5468
486.979,6053
488.75,6494
490.521,7282
492.292,8157
494.062,8997
495.833,9470
497.604,10343
499.375,10781
501.146,11212
502.917,11473
504.688,11628
506.458,11990
508.229,12181
510,12546
511.771,13626
513.542,13812
515.312,14392
517.083,14997
518.854,15342
520.625,15409
522.396,15903
524.167,15818
525.938,15786
527.708,16025
529.479,16301
531.25,16199
533.021,16350
534.792,16289
536.562,16441
538.333,16873
540.104,16822
541.875,16778
543.646,16957
545.417,16745
547.188,16748
548.958,16456
550.729,16555
552.5,16362
554.271,16174
556.042,15892
557.812,15940
559.583,15318
561.354,15052
563.125,14973
564.896,14688
566.667,14524
568.438,14142
570.208,14187
571.979,14028
573.75,13433
575.521,13278
577.292,13190
579.062,12963
580.833,12436
582.604,12171
584.375,11770
586.146,11358
587.917,11077
589.688,10618
591.458,10162
593.229,9586
595,9275
596.771,8523
598.542,8098
600.312,7658
602.083,7321
603.854,6732
605.625,6274
607.396,5745
609.167,5201
610.938,4719
612.708,4154
614.479,4020
616.25,3734
618.021,3653
619.792,3695
621.562,3887
623.333,3986
625.104,4066
626.875,4314
628.646,4386
630.417,4401
632.188,4434
633.958,4306
635.729,4276
637.5,4225
639.271,3710
641.042,3897
642.812,3642
644.583,3535
646.354,3398
648.125,3313
649.896,3090
651.667,2953
653.438,2671
655.208,2716
656.979,2482
658.75,2389
660.521,2175
662.292,2186
664.062,2098
665.833,2051
667.604,1849
669.375,1750
671.146,1865
672.917,1466
674.688,1451
676.458,1518
678.229,1275
680,1201
681.771,1180
683.542,1146
685.312,1145
687.083,977
688.854,876
690.625,816
692.396,795
694.167,806
695.938,777
697.708,708
699.479,781
701.25,552
703.021,651
704.792,563
706.562,623
708.333,568
710.104,598
711.875,542
713.646,390
715.417,542
717.188,398
718.958,341
720.729,337
722.5,358
724.271,306
726.042,389
727.812,387
729.583,291
731.354,259
733.125,293
734.896,337
736.667,358
738.438,174
740.208,185
741.979,260
743.75,328
745.521,259
747.292,146
749.062,260
750.833,129
752.604,195
754.375,140
756.146,128
757.917,166
759.688,227
761.458,155
763.229,215
765,85
766.771,179
768.542,99
770.312,12
772.083,0
773.854,107
775.625,50
777.396,69
779.167,37
780.938,100
782.708,94
784.479,106
786.25,86
788.021,112
789.792,88
791.562,63
793.333,176
795.104,120
796.875,72
798.646,131
800.417,21
802.188,58
803.958,165
805.729,86
807.5,157
809.271,113
811.042,137
812.812,90
814.583,100
816.354,54
818.125,64
819.896,87
821.667,112
823.438,163
825.208,116
826.979,0
828.75,12
830.521,43
832.292,140
834.062,13
835.833,34
837.604,50
839.375,48
841.146,96
842.917,60
844.688,15
846.458,14
848.229,52
