x,y
340,0
341.771,23
343.542,6
345.312,8
347.083,0
348.854,22
350.625,150
352.396,97
354.167,126
355.938,154
357.708,29
359.479,0
361.25,15
363.021,47
364.792,0
366.562,0
368.333,39
370.104,0
371.875,7
373.646,42
375.417,17
377.188,0
378.958,31
380.729,102
382.5,74
384.271,0
386.042,88
387.812,27
389.583,35
391.354,86
393.125,112
394.896,171
396.667,191
398.438,473
400.208,1105
401.979,1759
403.75,2469
405.521,2988
407.292,3329
409.062,3855
410.833,4152
412.604,4538
414.375,4463
416.146,4835
417.917,4635
419.688,4909
421.458,4940
423.229,5199
425,5369
426.771,5649
428.542,6063
430.312,6349
432.083,6541
433.854,6862
435.625,7157
437.396,7619
439.167,8053
440.938,8216
442.708,8387
444.479,8848
446.25,8997
448.021,9552
449.792,9781
451.562,10064
453.333,10113
455.104,10250
456.875,10390
458.646,10495
460.417,10285
462.188,10228
463.958,9730
465.729,9670
467.5,9196
469.271,9136
471.042,8568
472.812,8416
474.583,8380
476.354,8124
478.125,7823
479.896,7817
481.667,7359
483.438,7130
485.208,6939
486.979,6871
488.75,6946
490.521,6957
492.292,6985
494.062,6971
495.833,6823
497.604,7002
499.375,7028
501.146,6569
502.917,6262
504.688,5803
506.458,5671
508.229,5596
510,5333
511.771,5042
513.542,4913
515.312,4961
517.083,4661
518.854,4397
520.625,4260
522.396,3985
524.167,3849
525.938,3834
527.708,3561
529.479,3399
531.25,3407
533.021,3118
534.792,3180
536.562,3027
538.333,3086
540.104,2978
541.875,2789
543.646,2868
545.417,2748
547.188,2567
548.958,2344
550.729,2431
552.5,2161
554.271,2247
556.042,1993
557.812,2024
559.583,1986
561.354,1938
563.125,1815
564.896,1893
566.667,1630
568.438,1592
570.208,1460
571.979,1341
573.75,1291
575.521,1370
577.292,1104
579.062,1242
580.833,1178
582.604,1013
584.375,1038
586.146,1061
587.917,1074
589.688,1017
591.458,944
593.229,971
595,1145
596.771,1160
598.542,1251
600.312,1443
602.083,1679
603.854,2001
605.625,2233
607.396,2830
609.167,3478
610.938,4318
612.708,5139
614.479,6201
616.25,7304
618.021,8260
619.792,8896
621.562,9235
623.333,9166
625.104,8709
626.875,8336
628.646,6910
630.417,6075
632.188,4991
633.958,4139
635.729,3552
637.5,3027
639.271,2544
641.042,2203
642.812,1977
644.583,1788
646.354,1677
648.125,1578
649.896,1578
651.667,1519
653.438,1541
655.208,1351
656.979,1573
658.75,1510
660.521,1397
662.292,1429
664.062,1402
665.833,1331
667.604,1465
669.375,1310
671.146,1234
672.917,1219
674.688,1101
676.458,1025
678.229,974
680,986
681.771,883
683.542,717
685.312,734
687.083,622
688.854,535
690.625,601
692.396,579
694.167,457
695.938,476
697.708,459
699.479,502
701.25,374
703.021,390
704.792,274
706.562,325
708.333,136
710.104,174
711.875,178
713.646,291
715.417,211
717.188,203
718.958,184
720.729,45
722.5,25
724.271,119
726.042,173
727.812,37
729.583,12
731.354,83
733.125,105
734.896,0
736.667,165
738.438,101
740.208,0
741.979,135
743.75,113
745.521,82
747.292,0
749.062,128
750.833,20
752.604,84
754.375,172
756.146,38
757.917,54
759.688,33
761.458,138
763.229,0
765,98
766.771,32
768.542,50
770.312,103
772.083,90
773.854,26
775.625,71
777.396,52
779.167,152
780.938,25
782.708,0
784.479,0
786.25,0
788.021,68
789.792,135
791.562,0
793.333,113
795.104,0
796.875,6
798.646,66
800.417,0
802.188,53
803.958,2
805.729,0
807.5,125
809.271,28
811.042,108
812.812,5
814.583,0
816.354,0
818.125,46
819.896,162
821.667,0
823.438,84
825.208,21
826.979,90
828.75,16
830.521,0
832.292,0
834.062,71
835.833,131
837.604,1
839.375,10
841.146,27
842.917,38
844.688,25
846.458,0
848.229,81
