x,y
900.989,23300
904.913,25636
908.832,28151
914.051,31442
917.96,34430
921.865,37824
925.765,42880
929.661,47795
933.553,53074
937.44,58397
941.322,63201
945.2,68149
949.074,72237
954.232,78321
958.095,82162
961.954,86158
965.809,89370
969.659,92352
973.505,95065
977.346,97116
981.182,99426
985.015,100246
990.118,99375
993.94,98563
997.757,98224
1001.57,97902
1005.38,98111
1009.18,97916
1012.98,97712
1016.78,97664
1020.57,97595
1024.36,97709
1029.4,97986
1033.17,97968
1036.95,98385
1040.71,98833
1044.48,99392
1048.23,99739
1051.99,99482
1055.74,99802
1059.48,100130
1063.22,100950
1068.2,100818
1071.93,101253
1075.66,101460
1079.38,101468
1083.1,101626
1086.81,101835
1090.52,102195
1094.22,102069
1097.92,102368
1102.85,101933
1106.54,102355
1110.22,102375
1113.9,102342
1117.58,102989
1121.25,102687
1124.92,103564
1128.58,103286
1132.24,103979
1135.89,104429
1140.76,105412
1144.4,105989
1148.04,107507
1151.67,108013
1155.3,109117
1158.93,109963
1162.55,111240
1166.16,112704
1169.78,114104
1173.38,114677
1178.19,117800
1181.79,119073
1185.38,119644
1188.97,123141
1192.55,124676
1196.13,125921
1199.71,128413
1203.28,129813
1206.84,131814
1211.59,134334
1215.15,135969
1218.7,137853
1222.25,139605
1225.79,141246
1229.33,142667
1232.86,144253
1236.39,145816
1239.92,147278
1243.44,148199
1248.12,149834
1251.63,150210
1255.14,151454
1258.64,152189
1262.14,153549
1265.63,154969
1269.12,156165
1272.6,157548
1276.08,158352
1279.56,159347
1284.18,160418
1287.65,161497
1291.11,161930
1294.56,162266
1298.01,162463
1301.46,162744
1304.9,163086
1308.34,163021
1311.77,163347
1316.34,162963
1319.77,163329
1323.19,163606
1326.6,162729
1330.01,162602
1333.42,162322
1336.82,162082
1340.21,161408
1343.61,160692
1346.99,159681
1351.5,158966
1354.88,157247
1358.25,156081
1361.62,154751
1364.99,154011
1368.34,153328
1371.7,152769
1375.05,151088
1378.4,148486
1381.74,145479
1386.19,141962
1389.52,140206
1392.85,138755
1396.17,136980
1399.49,136351
1402.8,135923
1406.11,135782
1409.41,135560
1412.72,135270
1417.11,135734
1420.4,135776
1423.68,135893
1426.97,136443
1430.24,136703
1433.52,136727
1436.78,136522
1440.05,137335
1443.31,136737
1446.56,136600
1450.89,136371
1454.14,136019
1457.38,135125
1460.61,134443
1463.84,133408
1467.07,133021
1470.29,132641
1473.51,131076
1476.72,130515
1479.93,129428
1484.2,127809
1487.4,127478
1490.6,125994
1493.79,124661
1496.97,123945
1500.15,122874
1503.33,121501
1506.5,119932
1509.67,118684
1513.88,117204
1517.04,115622
1520.19,114939
1523.34,113297
1526.49,112616
1529.63,111467
1532.76,109668
1535.89,108191
1539.02,107284
1542.14,105987
1546.29,104239
1549.41,102518
1552.51,100954
1555.61,99765
1558.71,98325
1561.81,96437
1564.9,94995
1567.98,93037
1571.06,91146
1574.14,89728
1578.23,87875
1581.3,86353
1584.36,84286
1587.41,83030
1590.47,81677
1593.51,79396
1596.56,78086
1599.6,76415
1602.63,75290
1606.67,72595
1609.69,70951
1612.71,69556
1615.73,67597
1618.74,66264
1621.75,64577
1624.75,62795
1627.75,60812
1630.74,59351
1633.73,57631
1637.71,55597
1640.68,54038
1643.66,52141
1646.63,50051
1649.59,48934
1652.55,47388
1655.51,45545
1658.46,44101
1661.41,42117
1664.35,40461
1668.27,37803
1671.2,35415
1674.13,32890
1677.05,30381
1679.97,26932
1682.89,23426
1685.8,20417
1688.7,17566
1691.61,12479
1694.5,12772
1698.36,10247
1701.25,9285
