x,y
900.989,23263
904.913,25786
908.832,28318
914.051,31674
917.96,34850
921.865,38593
925.765,42818
929.661,48308
933.553,53447
937.44,58608
941.322,63619
945.2,68361
949.074,73002
954.232,78770
958.095,82686
961.954,86615
965.809,89673
969.659,92904
973.505,95194
977.346,98312
981.182,99768
985.015,100565
990.118,99616
993.94,99398
997.757,98904
1001.57,98589
1005.38,98403
1009.18,98500
1012.98,98272
1016.78,98324
1020.57,98573
1024.36,98374
1029.4,98641
1033.17,98848
1036.95,99247
1040.71,99702
1044.48,99783
1048.23,100056
1051.99,100311
1055.74,100833
1059.48,101011
1063.22,100816
1068.2,101334
1071.93,101539
1075.66,101956
1079.38,102167
1083.1,102041
1086.81,103040
1090.52,102666
1094.22,102862
1097.92,102520
1102.85,102511
1106.54,103373
1110.22,102994
1113.9,102871
1117.58,103000
1121.25,103510
1124.92,103904
1128.58,104367
1132.24,104699
1135.89,105131
1140.76,106443
1144.4,106977
1148.04,108056
1151.67,108559
1155.3,109757
1158.93,111098
1162.55,112188
1166.16,113204
1169.78,114547
1173.38,115896
1178.19,117820
1181.79,119439
1185.38,121261
1188.97,123478
1192.55,125314
1196.13,127362
1199.71,128449
1203.28,130682
1206.84,132737
1211.59,135174
1215.15,136816
1218.7,138418
1222.25,140025
1225.79,142264
1229.33,143617
1232.86,145337
1236.39,146189
1239.92,147636
1243.44,148606
1248.12,150523
1251.63,150617
1255.14,152040
1258.64,152134
1262.14,154488
1265.63,155526
1269.12,156884
1272.6,158640
1276.08,159616
1279.56,159701
1284.18,161255
1287.65,162108
1291.11,162897
1294.56,163125
1298.01,163655
1301.46,163960
1304.9,164416
1308.34,164482
1311.77,164313
1316.34,164093
1319.77,164288
1323.19,164118
1326.6,163760
1330.01,163585
1333.42,163343
1336.82,162678
1340.21,161802
1343.61,161858
1346.99,161165
1351.5,159408
1354.88,157532
1358.25,156508
1361.62,155093
1364.99,154336
1368.34,154485
1371.7,153190
1375.05,151573
1378.4,149462
1381.74,146442
1386.19,142786
1389.52,140731
1392.85,139031
1396.17,137723
1399.49,137013
1402.8,136300
1406.11,136199
1409.41,136444
1412.72,136374
1417.11,137053
1420.4,136474
1423.68,137199
1426.97,136988
1430.24,137520
1433.52,137425
1436.78,137532
1440.05,137581
1443.31,137255
1446.56,137141
1450.89,136806
1454.14,136533
1457.38,136290
1460.61,135128
1463.84,134342
1467.07,133608
1470.29,133046
1473.51,131823
1476.72,131332
1479.93,130153
1484.2,128734
1487.4,127476
1490.6,126764
1493.79,125301
1496.97,124763
1500.15,123284
1503.33,122223
1506.5,120642
1509.67,119662
1513.88,117690
1517.04,116215
1520.19,115117
1523.34,114047
1526.49,112832
1529.63,111363
1532.76,110745
1535.89,109198
1539.02,107769
1542.14,106384
1546.29,104863
1549.41,103250
1552.51,101856
1555.61,100031
1558.71,98891
1561.81,97056
1564.9,95070
1567.98,93754
1571.06,92137
1574.14,90174
1578.23,88165
1581.3,86837
1584.36,84854
1587.41,82958
1590.47,81840
1593.51,79740
1596.56,78482
1599.6,76928
1602.63,75248
1606.67,73022
1609.69,71036
1612.71,69916
1615.73,68398
1618.74,66817
1621.75,64875
1624.75,63103
1627.75,61420
1630.74,59526
1633.73,58232
1637.71,56001
1640.68,54004
1643.66,52503
1646.63,50969
1649.59,49302
1652.55,47162
1655.51,45925
1658.46,44024
1661.41,42610
1664.35,40975
1668.27,37687
1671.2,35861
1674.13,32811
1677.05,30055
1679.97,27204
1682.89,23821
1685.8,21001
1688.7,17803
1691.61,15029
1694.5,12887
1698.36,10746
1701.25,9071
