x,y
340,0
341.771,35
343.542,12
345.312,93
347.083,201
348.854,58
350.625,1
352.396,0
354.167,38
355.938,15
357.708,22
359.479,0
361.25,0
363.021,95
364.792,98
366.562,0
368.333,1
370.104,0
371.875,72
373.646,20
375.417,79
377.188,45
378.958,0
380.729,47
382.5,33
384.271,64
386.042,45
387.812,0
389.583,15
391.354,92
393.125,0
394.896,29
396.667,87
398.438,22
400.208,97
401.979,105
403.75,0
405.521,14
407.292,37
409.062,73
410.833,0
412.604,149
414.375,10
416.146,195
417.917,116
419.688,30
421.458,17
423.229,67
425,137
426.771,146
428.542,415
430.312,450
432.083,663
433.854,879
435.625,1393
437.396,1886
439.167,2781
440.938,4011
442.708,5039
444.479,5746
446.25,6079
448.021,5978
449.792,5571
451.562,5501
453.333,5588
455.104,5699
456.875,5414
458.646,5300
460.417,5193
462.188,5435
463.958,5520
465.729,5995
467.5,6511
469.271,6716
471.042,6852
472.812,7314
474.583,7533
476.354,7354
478.125,7806
479.896,7959
481.667,7763
483.438,7790
485.208,7718
486.979,7993
488.75,8061
490.521,8021
492.292,8423
494.062,8860
495.833,8888
497.604,9195
499.375,9563
501.146,9819
502.917,9975
504.688,10143
506.458,10230
508.229,10629
510,10606
511.771,10681
513.542,10874
515.312,10928
517.083,10809
518.854,11038
520.625,10743
522.396,10864
524.167,10798
525.938,10427
527.708,10386
529.479,10253
531.25,10066
533.021,10139
534.792,10249
536.562,10119
538.333,10062
540.104,10037
541.875,9844
543.646,10021
545.417,9612
547.188,9747
548.958,9788
550.729,9534
552.5,9634
554.271,9490
556.042,9234
557.812,9454
559.583,9435
561.354,9281
563.125,9365
564.896,9445
566.667,9328
568.438,9339
570.208,9298
571.979,9322
573.75,9131
575.521,8982
577.292,8893
579.062,8541
580.833,8670
582.604,8297
584.375,8102
586.146,7912
587.917,7853
589.688,7527
591.458,7476
593.229,7383
595,7115
596.771,7034
598.542,6727
600.312,6390
602.083,6410
603.854,6353
605.625,6077
607.396,5755
609.167,5692
610.938,5274
612.708,5188
614.479,5056
616.25,4733
618.021,4587
619.792,4528
621.562,4273
623.333,4295
625.104,3929
626.875,3792
628.646,3704
630.417,3659
632.188,3314
633.958,3155
635.729,3147
637.5,3008
639.271,2682
641.042,2599
642.812,2677
644.583,2619
646.354,2300
648.125,2158
649.896,2058
651.667,1925
653.438,1995
655.208,1750
656.979,1856
658.75,1716
660.521,1734
662.292,1437
664.062,1363
665.833,1348
667.604,1267
669.375,1206
671.146,1144
672.917,1144
674.688,956
676.458,948
678.229,899
680,839
681.771,732
683.542,737
685.312,861
687.083,665
688.854,554
690.625,515
692.396,515
694.167,521
695.938,420
697.708,449
699.479,471
701.25,645
703.021,331
704.792,519
706.562,260
708.333,408
710.104,302
711.875,306
713.646,320
715.417,254
717.188,281
718.958,276
720.729,162
722.5,245
724.271,162
726.042,227
727.812,186
729.583,227
731.354,266
733.125,198
734.896,152
736.667,138
738.438,167
740.208,193
741.979,181
743.75,175
745.521,40
747.292,70
749.062,103
750.833,7
752.604,101
754.375,185
756.146,63
757.917,0
759.688,109
761.458,62
763.229,196
765,0
766.771,56
768.542,25
770.312,139
772.083,131
773.854,90
775.625,168
777.396,16
779.167,38
780.938,36
782.708,109
784.479,145
786.25,34
788.021,5
789.792,165
791.562,89
793.333,136
795.104,72
796.875,0
798.646,109
800.417,0
802.188,74
803.958,44
805.729,71
807.5,35
809.271,38
811.042,67
812.812,48
814.583,15
816.354,96
818.125,64
819.896,29
821.667,19
823.438,82
825.208,85
826.979,74
828.75,96
830.521,19
832.292,0
834.062,24
835.833,126
837.604,0
839.375,0
841.146,11
842.917,38
844.688,0
846.458,0
848.229,32
