x,y
340,0
341.771,37
343.542,39
345.312,14
347.083,86
348.854,1
350.625,123
352.396,114
354.167,0
355.938,28
357.708,28
359.479,51
361.25,0
363.021,50
364.792,35
366.562,46
368.333,11
370.104,82
371.875,0
373.646,61
375.417,11
377.188,104
378.958,51
380.729,0
382.5,59
384.271,92
386.042,88
387.812,72
389.583,121
391.354,132
393.125,0
394.896,203
396.667,37
398.438,86
400.208,272
401.979,300
403.75,416
405.521,455
407.292,426
409.062,450
410.833,539
412.604,611
414.375,822
416.146,954
417.917,1112
419.688,1202
421.458,1483
423.229,1571
425,1634
426.771,1646
428.542,2053
430.312,1899
432.083,2054
433.854,2251
435.625,2315
437.396,2416
439.167,2701
440.938,2532
442.708,2691
444.479,2729
446.25,2612
448.021,2709
449.792,2725
451.562,2802
453.333,2813
455.104,2796
456.875,2926
458.646,2977
460.417,3044
462.188,3072
463.958,2948
465.729,2835
467.5,2715
469.271,2749
471.042,2732
472.812,2620
474.583,2741
476.354,2692
478.125,2468
479.896,2597
481.667,2429
483.438,2416
485.208,2318
486.979,2244
488.75,2274
490.521,2444
492.292,2393
494.062,2395
495.833,2444
497.604,2336
499.375,2554
501.146,2216
502.917,2348
504.688,2315
506.458,2070
508.229,2149
510,2194
511.771,2103
513.542,1967
515.312,1991
517.083,1917
518.854,1927
520.625,1746
522.396,1748
524.167,1544
525.938,1508
527.708,1579
529.479,1418
531.25,1425
533.021,1039
534.792,1245
536.562,1072
538.333,1218
540.104,1045
541.875,998
543.646,1033
545.417,987
547.188,823
548.958,791
550.729,874
552.5,737
554.271,693
556.042,710
557.812,653
559.583,673
561.354,597
563.125,584
564.896,465
566.667,524
568.438,506
570.208,493
571.979,613
573.75,510
575.521,447
577.292,451
579.062,499
580.833,500
582.604,349
584.375,319
586.146,436
587.917,406
589.688,262
591.458,382
593.229,284
595,364
596.771,338
598.542,421
600.312,502
602.083,495
603.854,725
605.625,803
607.396,989
609.167,1227
610.938,1577
612.708,1799
614.479,2126
616.25,2516
618.021,2892
619.792,3386
621.562,3273
623.333,3406
625.104,3108
626.875,2952
628.646,2434
630.417,2220
632.188,1909
633.958,1457
635.729,1271
637.5,1116
639.271,1130
641.042,792
642.812,750
644.583,659
646.354,694
648.125,668
649.896,653
651.667,655
653.438,534
655.208,580
656.979,597
658.75,668
660.521,542
662.292,591
664.062,463
665.833,508
667.604,499
669.375,548
671.146,520
672.917,465
674.688,424
676.458,322
678.229,441
680,367
681.771,252
683.542,396
685.312,218
687.083,188
688.854,156
690.625,199
692.396,256
694.167,130
695.938,197
697.708,250
699.479,150
701.25,117
703.021,198
704.792,314
706.562,90
708.333,180
710.104,80
711.875,145
713.646,94
715.417,118
717.188,74
718.958,0
720.729,42
722.5,114
724.271,118
726.042,122
727.812,107
729.583,93
731.354,101
733.125,94
734.896,0
736.667,0
738.438,36
740.208,0
741.979,3
743.75,55
745.521,101
747.292,47
749.062,0
750.833,87
752.604,53
754.375,0
756.146,9
757.917,0
759.688,17
761.458,0
763.229,14
765,17
766.771,37
768.542,0
770.312,94
772.083,0
773.854,45
775.625,0
777.396,0
779.167,0
780.938,39
782.708,3
784.479,49
786.25,41
788.021,51
789.792,74
791.562,7
793.333,94
795.104,0
796.875,55
798.646,0
800.417,0
802.188,66
803.958,77
805.729,79
807.5,14
809.271,54
811.042,125
812.812,121
814.583,0
816.354,119
818.125,75
819.896,15
821.667,0
823.438,0
825.208,0
826.979,83
828.75,37
830.521,0
832.292,20
834.062,0
835.833,86
837.604,3
839.375,0
841.146,69
842.917,62
844.688,0
846.458,0
848.229,0
