x,y
900.989,11893
904.913,12961
908.832,14108
914.051,15576
917.96,16625
921.865,18766
925.765,20618
929.661,23341
933.553,26566
937.44,30279
941.322,33811
945.2,37084
949.074,40105
954.232,43192
958.095,46728
961.954,48883
965.809,50606
969.659,52851
973.505,54471
977.346,56226
981.182,56643
985.015,56929
990.118,56904
993.94,56403
997.757,56191
1001.57,55610
1005.38,55460
1009.18,55379
1012.98,55145
1016.78,54562
1020.57,54812
1024.36,54389
1029.4,54388
1033.17,54731
1036.95,54753
1040.71,55120
1044.48,55187
1048.23,55702
1051.99,56108
1055.74,56698
1059.48,56851
1063.22,57274
1068.2,57451
1071.93,57483
1075.66,58464
1079.38,58201
1083.1,58488
1086.81,58033
1090.52,58508
1094.22,58294
1097.92,58208
1102.85,58244
1106.54,57963
1110.22,58041
1113.9,57176
1117.58,57389
1121.25,56794
1124.92,56399
1128.58,55570
1132.24,54525
1135.89,52900
1140.76,50347
1144.4,47544
1148.04,44527
1151.67,41257
1155.3,37654
1158.93,34578
1162.55,32289
1166.16,30873
1169.78,31191
1173.38,30430
1178.19,28904
1181.79,26353
1185.38,23011
1188.97,21011
1192.55,19461
1196.13,17884
1199.71,16525
1203.28,15062
1206.84,14680
1211.59,16324
1215.15,19352
1218.7,24907
1222.25,30713
1225.79,37616
1229.33,43604
1232.86,49427
1236.39,54336
1239.92,58385
1243.44,62082
1248.12,65725
1251.63,68392
1255.14,70604
1258.64,72926
1262.14,74863
1265.63,76555
1269.12,78266
1272.6,79327
1276.08,80943
1279.56,81529
1284.18,82753
1287.65,83860
1291.11,83998
1294.56,84873
1298.01,85331
1301.46,85568
1304.9,86314
1308.34,86756
1311.77,86732
1316.34,86961
1319.77,87251
1323.19,86913
1326.6,86921
1330.01,86219
1333.42,85654
1336.82,84820
1340.21,84503
1343.61,82611
1346.99,80536
1351.5,76593
1354.88,72734
1358.25,68787
1361.62,65121
1364.99,61101
1368.34,56831
1371.7,52018
1375.05,46412
1378.4,40689
1381.74,35577
1386.19,30191
1389.52,28108
1392.85,27431
1396.17,29015
1399.49,29482
1402.8,28610
1406.11,27266
1409.41,25812
1412.72,25656
1417.11,26406
1420.4,27894
1423.68,29458
1426.97,29806
1430.24,30955
1433.52,32079
1436.78,33276
1440.05,34820
1443.31,36655
1446.56,38442
1450.89,40763
1454.14,42790
1457.38,44230
1460.61,45712
1463.84,46647
1467.07,47027
1470.29,48632
1473.51,49657
1476.72,50189
1479.93,51171
1484.2,51602
1487.4,51981
1490.6,53046
1493.79,53160
1496.97,53519
1500.15,53456
1503.33,53092
1506.5,52512
1509.67,52803
1513.88,51359
1517.04,51214
1520.19,50558
1523.34,49704
1526.49,49836
1529.63,48948
1532.76,48545
1535.89,48404
1539.02,48036
1542.14,47566
1546.29,47887
1549.41,47066
1552.51,47079
1555.61,47101
1558.71,45788
1561.81,45078
1564.9,44319
1567.98,43242
1571.06,42669
1574.14,41826
1578.23,41257
1581.3,40794
1584.36,39803
1587.41,39726
1590.47,38817
1593.51,37902
1596.56,36935
1599.6,35958
1602.63,34591
1606.67,32740
1609.69,32362
1612.71,31366
1615.73,30132
1618.74,28954
1621.75,28111
1624.75,27033
1627.75,25797
1630.74,24189
1633.73,22914
1637.71,21217
1640.68,20280
1643.66,19013
1646.63,17394
1649.59,15631
1652.55,14099
1655.51,12490
1658.46,10773
1661.41,9329
1664.35,8176
1668.27,6810
1671.2,6155
1674.13,4927
1677.05,4339
1679.97,3446
1682.89,2480
1685.8,1543
1688.7,857
1691.61,269
1694.5,451
1698.36,363
1701.25,519
