x,y
340,0
341.771,0
343.542,0
345.312,101
347.083,0
348.854,126
350.625,0
352.396,0
354.167,88
355.938,50
357.708,0
359.479,38
361.25,12
363.021,0
364.792,138
366.562,22
368.333,33
370.104,0
371.875,0
373.646,37
375.417,0
377.188,42
378.958,67
380.729,0
382.5,5
384.271,34
386.042,29
387.812,74
389.583,0
391.354,57
393.125,41
394.896,1
396.667,150
398.438,0
400.208,14
401.979,0
403.75,0
405.521,0
407.292,58
409.062,36
410.833,31
412.604,45
414.375,33
416.146,25
417.917,19
419.688,0
421.458,57
423.229,19
425,139
426.771,110
428.542,130
430.312,233
432.083,258
433.854,283
435.625,496
437.396,632
439.167,734
440.938,1205
442.708,1452
444.479,1728
446.25,1658
448.021,1614
449.792,1458
451.562,1339
453.333,1288
455.104,1342
456.875,1213
458.646,1354
460.417,1085
462.188,1049
463.958,1217
465.729,1201
467.5,1231
469.271,1355
471.042,1401
472.812,1464
474.583,1672
476.354,2045
478.125,2417
479.896,2701
481.667,3133
483.438,3478
485.208,4204
486.979,4696
488.75,5558
490.521,6458
492.292,7344
494.062,8304
495.833,9202
497.604,9808
499.375,10228
501.146,10643
502.917,10725
504.688,11197
506.458,10983
508.229,11238
510,11960
511.771,12259
513.542,12998
515.312,13559
517.083,14000
518.854,14514
520.625,14387
522.396,14533
524.167,14413
525.938,14571
527.708,14651
529.479,14611
531.25,14510
533.021,14886
534.792,14800
536.562,14961
538.333,15273
540.104,15001
541.875,15375
543.646,15362
545.417,15231
547.188,15278
548.958,15136
550.729,14902
552.5,14863
554.271,14673
556.042,14447
557.812,13831
559.583,13939
561.354,13555
563.125,13029
564.896,12895
566.667,12824
568.438,12407
570.208,12514
571.979,12248
573.75,12477
575.521,12463
577.292,12165
579.062,11937
580.833,11802
582.604,11648
584.375,11356
586.146,10958
587.917,10767
589.688,10485
591.458,9954
593.229,9572
595,9174
596.771,8538
598.542,8080
600.312,7549
602.083,6946
603.854,6426
605.625,5768
607.396,5116
609.167,4276
610.938,3771
612.708,3288
614.479,2980
616.25,2673
618.021,2622
619.792,2831
621.562,2849
623.333,2918
625.104,3254
626.875,3599
628.646,3872
630.417,3868
632.188,4122
633.958,4203
635.729,3904
637.5,3928
639.271,3675
641.042,3667
642.812,3572
644.583,3317
646.354,3154
648.125,3046
649.896,3000
651.667,2834
653.438,2660
655.208,2642
656.979,2521
658.75,2259
660.521,2276
662.292,2106
664.062,1922
665.833,1947
667.604,1744
669.375,1695
671.146,1733
672.917,1549
674.688,1461
676.458,1433
678.229,1284
680,1080
681.771,1310
683.542,1035
685.312,1143
687.083,854
688.854,859
690.625,849
692.396,817
694.167,813
695.938,656
697.708,607
699.479,637
701.25,702
703.021,698
704.792,559
706.562,477
708.333,429
710.104,413
711.875,435
713.646,425
715.417,371
717.188,394
718.958,347
720.729,318
722.5,371
724.271,296
726.042,237
727.812,246
729.583,329
731.354,178
733.125,153
734.896,200
736.667,104
738.438,158
740.208,196
741.979,150
743.75,68
745.521,186
747.292,143
749.062,84
750.833,110
752.604,144
754.375,125
756.146,84
757.917,102
759.688,174
761.458,121
763.229,77
765,94
766.771,137
768.542,0
770.312,76
772.083,32
773.854,67
775.625,109
777.396,112
779.167,47
780.938,0
782.708,45
784.479,78
786.25,93
788.021,89
789.792,127
791.562,0
793.333,62
795.104,167
796.875,87
798.646,86
800.417,28
802.188,27
803.958,65
805.729,84
807.5,35
809.271,66
811.042,65
812.812,110
814.583,0
816.354,85
818.125,5
819.896,98
821.667,31
823.438,183
825.208,0
826.979,30
828.75,0
830.521,58
832.292,0
834.062,64
835.833,37
837.604,47
839.375,4
841.146,40
842.917,68
844.688,29
846.458,0
848.229,7
