x,y
340,0
341.771,0
343.542,0
345.312,0
347.083,43
348.854,23
350.625,0
352.396,0
354.167,0
355.938,20
357.708,132
359.479,33
361.25,0
363.021,0
364.792,9
366.562,26
368.333,0
370.104,54
371.875,0
373.646,92
375.417,0
377.188,96
378.958,0
380.729,0
382.5,157
384.271,48
386.042,1
387.812,86
389.583,27
391.354,69
393.125,108
394.896,17
396.667,6
398.438,77
400.208,96
401.979,26
403.75,67
405.521,68
407.292,12
409.062,50
410.833,28
412.604,48
414.375,138
416.146,83
417.917,89
419.688,30
421.458,119
423.229,73
425,104
426.771,76
428.542,46
430.312,227
432.083,235
433.854,286
435.625,368
437.396,495
439.167,696
440.938,955
442.708,1190
444.479,1409
446.25,1380
448.021,1270
449.792,1145
451.562,1010
453.333,917
455.104,855
456.875,802
458.646,739
460.417,646
462.188,623
463.958,600
465.729,614
467.5,606
469.271,654
471.042,705
472.812,721
474.583,858
476.354,965
478.125,1082
479.896,1432
481.667,1711
483.438,1964
485.208,2392
486.979,3082
488.75,3784
490.521,4606
492.292,5556
494.062,6331
495.833,7369
497.604,8116
499.375,8993
501.146,9267
502.917,9327
504.688,9329
506.458,9448
508.229,9796
510,10292
511.771,11094
513.542,11901
515.312,12960
517.083,13639
518.854,14128
520.625,14521
522.396,14457
524.167,14395
525.938,14269
527.708,14469
529.479,14703
531.25,14743
533.021,14999
534.792,15057
536.562,14895
538.333,15218
540.104,15218
541.875,15368
543.646,15406
545.417,15170
547.188,15005
548.958,15014
550.729,14748
552.5,14423
554.271,14170
556.042,13351
557.812,13193
559.583,12402
561.354,12086
563.125,11644
564.896,11243
566.667,10900
568.438,10850
570.208,11125
571.979,11095
573.75,11021
575.521,11067
577.292,11199
579.062,11017
580.833,11351
582.604,10850
584.375,10707
586.146,10514
587.917,10021
589.688,9661
591.458,9403
593.229,8884
595,8514
596.771,7879
598.542,7458
600.312,6721
602.083,5685
603.854,5024
605.625,4514
607.396,3542
609.167,2976
610.938,2441
612.708,2001
614.479,1663
616.25,1610
618.021,1678
619.792,1722
621.562,1856
623.333,2038
625.104,2407
626.875,2926
628.646,3343
630.417,3775
632.188,4043
633.958,4163
635.729,4272
637.5,4134
639.271,3999
641.042,4114
642.812,3761
644.583,3749
646.354,3588
648.125,3557
649.896,3404
651.667,3061
653.438,3030
655.208,2876
656.979,2856
658.75,2705
660.521,2522
662.292,2481
664.062,2392
665.833,2287
667.604,2121
669.375,2252
671.146,1824
672.917,1844
674.688,1755
676.458,1603
678.229,1508
680,1525
681.771,1263
683.542,1261
685.312,1150
687.083,1164
688.854,1022
690.625,1081
692.396,983
694.167,919
695.938,845
697.708,749
699.479,796
701.25,704
703.021,700
704.792,602
706.562,534
708.333,587
710.104,661
711.875,514
713.646,467
715.417,493
717.188,444
718.958,403
720.729,315
722.5,403
724.271,408
726.042,391
727.812,403
729.583,266
731.354,276
733.125,286
734.896,166
736.667,328
738.438,224
740.208,118
741.979,221
743.75,276
745.521,165
747.292,115
749.062,237
750.833,179
752.604,199
754.375,159
756.146,105
757.917,143
759.688,175
761.458,148
763.229,121
765,122
766.771,58
768.542,131
770.312,166
772.083,139
773.854,68
775.625,14
777.396,72
779.167,133
780.938,75
782.708,115
784.479,62
786.25,83
788.021,156
789.792,60
791.562,71
793.333,0
795.104,133
796.875,66
798.646,123
800.417,159
802.188,0
803.958,134
805.729,19
807.5,53
809.271,45
811.042,37
812.812,2
814.583,85
816.354,23
818.125,82
819.896,47
821.667,66
823.438,71
825.208,0
826.979,6
828.75,40
830.521,122
832.292,168
834.062,37
835.833,51
837.604,0
839.375,123
841.146,13
842.917,119
844.688,0
846.458,14
848.229,14
