x,y
900.989,11555
904.913,12817
908.832,13600
914.051,15449
917.96,16206
921.865,18173
925.765,20418
929.661,23261
933.553,26267
937.44,29089
941.322,32975
945.2,36434
949.074,39293
954.232,42865
958.095,45234
961.954,47925
965.809,50032
969.659,51968
973.505,53784
977.346,54969
981.182,55547
985.015,56080
990.118,55931
993.94,55493
997.757,54946
1001.57,54734
1005.38,54571
1009.18,54527
1012.98,54110
1016.78,53918
1020.57,53982
1024.36,53670
1029.4,53581
1033.17,53566
1036.95,53688
1040.71,53885
1044.48,54783
1048.23,54725
1051.99,55005
1055.74,55670
1059.48,55564
1063.22,55331
1068.2,56172
1071.93,56917
1075.66,57191
1079.38,57438
1083.1,57809
1086.81,57302
1090.52,57389
1094.22,57316
1097.92,57165
1102.85,56955
1106.54,57243
1110.22,56756
1113.9,56822
1117.58,56831
1121.25,56002
1124.92,55287
1128.58,54696
1132.24,53599
1135.89,52602
1140.76,50177
1144.4,48022
1148.04,44937
1151.67,42061
1155.3,38505
1158.93,35898
1162.55,33494
1166.16,31658
1169.78,31248
1173.38,30531
1178.19,28060
1181.79,25277
1185.38,23124
1188.97,20292
1192.55,19057
1196.13,17098
1199.71,15360
1203.28,14356
1206.84,14218
1211.59,15202
1215.15,18089
1218.7,22708
1222.25,28613
1225.79,35476
1229.33,42312
1232.86,48060
1236.39,53135
1239.92,57240
1243.44,60482
1248.12,64856
1251.63,67238
1255.14,68518
1258.64,71444
1262.14,73267
1265.63,74642
1269.12,76283
1272.6,78195
1276.08,79105
1279.56,80254
1284.18,81256
1287.65,82090
1291.11,83085
1294.56,83264
1298.01,84456
1301.46,84796
1304.9,84525
1308.34,85425
1311.77,85458
1316.34,86154
1319.77,86110
1323.19,85826
1326.6,85762
1330.01,85320
1333.42,85031
1336.82,84383
1340.21,82882
1343.61,82094
1346.99,79585
1351.5,75921
1354.88,71859
1358.25,67562
1361.62,64195
1364.99,60733
1368.34,56098
1371.7,51197
1375.05,45728
1378.4,40267
1381.74,35001
1386.19,28486
1389.52,26389
1392.85,26924
1396.17,28026
1399.49,28677
1402.8,27813
1406.11,26614
1409.41,24545
1412.72,24389
1417.11,24935
1420.4,26175
1423.68,27024
1426.97,28458
1430.24,28917
1433.52,30029
1436.78,30807
1440.05,32706
1443.31,34713
1446.56,36495
1450.89,38941
1454.14,40651
1457.38,42240
1460.61,43323
1463.84,44392
1467.07,46041
1470.29,46575
1473.51,48186
1476.72,49045
1479.93,50162
1484.2,50983
1487.4,51388
1490.6,51795
1493.79,51797
1496.97,52302
1500.15,52092
1503.33,52098
1506.5,51958
1509.67,51261
1513.88,50912
1517.04,50478
1520.19,49944
1523.34,49636
1526.49,48776
1529.63,48560
1532.76,48130
1535.89,47933
1539.02,47617
1542.14,46746
1546.29,46994
1549.41,46846
1552.51,46530
1555.61,45976
1558.71,45437
1561.81,43896
1564.9,44522
1567.98,42770
1571.06,42639
1574.14,42026
1578.23,41202
1581.3,40872
1584.36,39607
1587.41,39213
1590.47,38183
1593.51,37714
1596.56,36342
1599.6,35656
1602.63,34895
1606.67,33334
1609.69,31532
1612.71,30954
1615.73,29955
1618.74,28951
1621.75,27974
1624.75,26714
1627.75,25551
1630.74,24781
1633.73,23402
1637.71,22027
1640.68,20676
1643.66,19465
1646.63,18018
1649.59,16536
1652.55,15512
1655.51,13540
1658.46,12001
1661.41,10689
1664.35,9012
1668.27,7552
1671.2,6341
1674.13,5277
1677.05,4458
1679.97,3512
1682.89,2458
1685.8,1675
1688.7,1097
1691.61,344
1694.5,-187
1698.36,46
1701.25,302
