x,y
340,0
341.771,117
343.542,0
345.312,209
347.083,177
348.854,66
350.625,96
352.396,78
354.167,171
355.938,206
357.708,153
359.479,86
361.25,142
363.021,67
364.792,165
366.562,107
368.333,166
370.104,125
371.875,87
373.646,189
375.417,130
377.188,171
378.958,139
380.729,107
382.5,88
384.271,272
386.042,242
387.812,177
389.583,348
391.354,173
393.125,259
394.896,120
396.667,266
398.438,454
400.208,734
401.979,1324
403.75,1550
405.521,1874
407.292,1972
409.062,2135
410.833,2027
412.604,2293
414.375,2362
416.146,2389
417.917,2596
419.688,2744
421.458,2868
423.229,2940
425,3271
426.771,3322
428.542,3510
430.312,3705
432.083,3998
433.854,4297
435.625,4703
437.396,4936
439.167,5352
440.938,5452
442.708,5942
444.479,6247
446.25,6928
448.021,7486
449.792,7802
451.562,8568
453.333,9122
455.104,9560
456.875,10042
458.646,10601
460.417,10962
462.188,11036
463.958,10943
465.729,10852
467.5,10556
469.271,10303
471.042,9771
472.812,9119
474.583,9036
476.354,8362
478.125,7682
479.896,7341
481.667,6895
483.438,6270
485.208,5991
486.979,5679
488.75,5715
490.521,5436
492.292,5501
494.062,5234
495.833,5157
497.604,5154
499.375,5119
501.146,5053
502.917,4801
504.688,4687
506.458,4655
508.229,4618
510,4557
511.771,4325
513.542,4265
515.312,4171
517.083,3866
518.854,3703
520.625,3777
522.396,3622
524.167,3241
525.938,3223
527.708,2966
529.479,2935
531.25,2718
533.021,2657
534.792,2457
536.562,2448
538.333,2340
540.104,2262
541.875,2202
543.646,2020
545.417,2075
547.188,1822
548.958,1819
550.729,1868
552.5,1682
554.271,1570
556.042,1492
557.812,1402
559.583,1326
561.354,1190
563.125,1323
564.896,1185
566.667,1099
568.438,1029
570.208,1077
571.979,945
573.75,933
575.521,935
577.292,842
579.062,959
580.833,869
582.604,783
584.375,851
586.146,773
587.917,836
589.688,831
591.458,806
593.229,838
595,852
596.771,922
598.542,930
600.312,993
602.083,1196
603.854,1161
605.625,1205
607.396,1355
609.167,1539
610.938,1529
612.708,1590
614.479,1594
616.25,1361
618.021,1393
619.792,1281
621.562,1201
623.333,1182
625.104,1122
626.875,1057
628.646,940
630.417,799
632.188,738
633.958,762
635.729,742
637.5,591
639.271,608
641.042,517
642.812,454
644.583,436
646.354,417
648.125,557
649.896,415
651.667,343
653.438,393
655.208,321
656.979,452
658.75,296
660.521,363
662.292,432
664.062,408
665.833,413
667.604,440
669.375,266
671.146,383
672.917,315
674.688,267
676.458,281
678.229,333
680,286
681.771,367
683.542,346
685.312,326
687.083,136
688.854,162
690.625,236
692.396,178
694.167,218
695.938,253
697.708,312
699.479,191
701.25,153
703.021,201
704.792,254
706.562,222
708.333,253
710.104,161
711.875,276
713.646,150
715.417,91
717.188,102
718.958,126
720.729,175
722.5,231
724.271,185
726.042,159
727.812,238
729.583,220
731.354,130
733.125,107
734.896,134
736.667,192
738.438,34
740.208,347
741.979,113
743.75,3
745.521,137
747.292,90
749.062,127
750.833,193
752.604,222
754.375,244
756.146,95
757.917,154
759.688,95
761.458,31
763.229,87
765,201
766.771,175
768.542,107
770.312,197
772.083,104
773.854,216
775.625,132
777.396,91
779.167,60
780.938,113
782.708,0
784.479,95
786.25,89
788.021,113
789.792,62
791.562,218
793.333,136
795.104,174
796.875,67
798.646,0
800.417,160
802.188,123
803.958,84
805.729,126
807.5,82
809.271,9
811.042,125
812.812,103
814.583,64
816.354,104
818.125,40
819.896,214
821.667,224
823.438,76
825.208,108
826.979,135
828.75,139
830.521,153
832.292,123
834.062,143
835.833,85
837.604,141
839.375,164
841.146,5
842.917,107
844.688,164
846.458,184
848.229,44
