x,y
340,0
341.771,51
343.542,12
345.312,202
347.083,71
348.854,164
350.625,55
352.396,27
354.167,102
355.938,13
357.708,0
359.479,124
361.25,47
363.021,36
364.792,8
366.562,42
368.333,39
370.104,138
371.875,35
373.646,38
375.417,76
377.188,53
378.958,106
380.729,196
382.5,28
384.271,26
386.042,33
387.812,30
389.583,46
391.354,108
393.125,67
394.896,153
396.667,24
398.438,20
400.208,60
401.979,79
403.75,0
405.521,39
407.292,12
409.062,76
410.833,130
412.604,98
414.375,33
416.146,42
417.917,101
419.688,85
421.458,32
423.229,122
425,101
426.771,85
428.542,293
430.312,263
432.083,325
433.854,538
435.625,790
437.396,1045
439.167,1495
440.938,2056
442.708,2536
444.479,3050
446.25,3013
448.021,2873
449.792,2817
451.562,2723
453.333,2975
455.104,3045
456.875,2865
458.646,2990
460.417,2887
462.188,3135
463.958,3096
465.729,3365
467.5,3430
469.271,3697
471.042,4022
472.812,4525
474.583,4890
476.354,5408
478.125,5970
479.896,6411
481.667,7049
483.438,7282
485.208,8091
486.979,8564
488.75,9078
490.521,9670
492.292,10444
494.062,11157
495.833,11530
497.604,12111
499.375,12637
501.146,13109
502.917,13449
504.688,13805
506.458,13995
508.229,14366
510,14728
511.771,14905
513.542,14932
515.312,15371
517.083,15529
518.854,15686
520.625,15851
522.396,15889
524.167,15727
525.938,15559
527.708,15703
529.479,15642
531.25,15773
533.021,16255
534.792,15906
536.562,15734
538.333,15935
540.104,15990
541.875,16306
543.646,16016
545.417,15893
547.188,16408
548.958,16002
550.729,15946
552.5,15874
554.271,15986
556.042,15768
557.812,15907
559.583,15651
561.354,15073
563.125,15739
564.896,15636
566.667,15376
568.438,15210
570.208,14977
571.979,14897
573.75,14710
575.521,14409
577.292,13997
579.062,13748
580.833,13755
582.604,13108
584.375,12898
586.146,12638
587.917,12332
589.688,12238
591.458,11701
593.229,11235
595,10678
596.771,10459
598.542,9936
600.312,9732
602.083,9593
603.854,9273
605.625,8810
607.396,8260
609.167,8023
610.938,7710
612.708,7520
614.479,7046
616.25,6622
618.021,6282
619.792,6170
621.562,5904
623.333,5682
625.104,5353
626.875,5322
628.646,4918
630.417,4781
632.188,4898
633.958,4499
635.729,4300
637.5,4054
639.271,3954
641.042,3783
642.812,3451
644.583,3322
646.354,3228
648.125,3115
649.896,2980
651.667,2797
653.438,2604
655.208,2497
656.979,2473
658.75,2255
660.521,2158
662.292,2150
664.062,1899
665.833,1754
667.604,1691
669.375,1571
671.146,1585
672.917,1540
674.688,1447
676.458,1259
678.229,1207
680,1269
681.771,1182
683.542,1184
685.312,977
687.083,932
688.854,900
690.625,832
692.396,767
694.167,745
695.938,777
697.708,731
699.479,692
701.25,540
703.021,667
704.792,687
706.562,537
708.333,565
710.104,558
711.875,598
713.646,552
715.417,355
717.188,278
718.958,401
720.729,425
722.5,295
724.271,321
726.042,313
727.812,173
729.583,157
731.354,345
733.125,238
734.896,340
736.667,150
738.438,271
740.208,151
741.979,152
743.75,147
745.521,162
747.292,285
749.062,144
750.833,164
752.604,297
754.375,82
756.146,177
757.917,63
759.688,105
761.458,76
763.229,115
765,99
766.771,195
768.542,141
770.312,8
772.083,114
773.854,113
775.625,102
777.396,71
779.167,182
780.938,26
782.708,115
784.479,28
786.25,65
788.021,27
789.792,77
791.562,61
793.333,113
795.104,135
796.875,105
798.646,120
800.417,72
802.188,139
803.958,84
805.729,201
807.5,50
809.271,58
811.042,95
812.812,48
814.583,203
816.354,111
818.125,0
819.896,0
821.667,0
823.438,22
825.208,85
826.979,117
828.75,17
830.521,0
832.292,47
834.062,91
835.833,67
837.604,152
839.375,44
841.146,89
842.917,135
844.688,166
846.458,0
848.229,42
