x,y
900.989,11379
904.913,12654
908.832,13620
914.051,15065
917.96,16740
921.865,18516
925.765,20157
929.661,23175
933.553,26312
937.44,29752
941.322,32565
945.2,36349
949.074,38869
954.232,43351
958.095,45513
961.954,47708
965.809,49898
969.659,51872
973.505,53401
977.346,54787
981.182,56262
985.015,56567
990.118,55855
993.94,55453
997.757,55339
1001.57,55278
1005.38,54572
1009.18,54392
1012.98,54303
1016.78,53836
1020.57,53604
1024.36,54127
1029.4,54084
1033.17,54022
1036.95,54220
1040.71,54321
1044.48,54674
1048.23,54983
1051.99,55299
1055.74,56011
1059.48,55761
1063.22,56282
1068.2,56697
1071.93,57315
1075.66,57066
1079.38,57715
1083.1,57700
1086.81,57389
1090.52,57420
1094.22,57415
1097.92,57472
1102.85,56973
1106.54,56803
1110.22,56802
1113.9,56405
1117.58,55958
1121.25,55694
1124.92,54315
1128.58,53860
1132.24,52781
1135.89,51621
1140.76,48778
1144.4,46201
1148.04,43388
1151.67,39983
1155.3,36042
1158.93,32462
1162.55,30392
1166.16,29788
1169.78,29345
1173.38,29467
1178.19,28008
1181.79,25731
1185.38,23230
1188.97,21089
1192.55,19772
1196.13,18167
1199.71,17167
1203.28,15947
1206.84,15551
1211.59,16874
1215.15,19632
1218.7,23988
1222.25,30142
1225.79,36533
1229.33,42896
1232.86,48671
1236.39,53429
1239.92,57612
1243.44,61065
1248.12,64746
1251.63,67277
1255.14,69622
1258.64,71497
1262.14,73431
1265.63,74997
1269.12,76222
1272.6,78188
1276.08,79190
1279.56,80501
1284.18,81456
1287.65,82490
1291.11,82952
1294.56,82819
1298.01,83848
1301.46,83873
1304.9,84353
1308.34,84749
1311.77,85153
1316.34,85310
1319.77,85298
1323.19,85091
1326.6,84693
1330.01,83904
1333.42,83520
1336.82,83362
1340.21,82477
1343.61,80760
1346.99,79310
1351.5,75045
1354.88,71684
1358.25,68031
1361.62,64535
1364.99,60520
1368.34,56142
1371.7,51656
1375.05,45988
1378.4,40996
1381.74,35371
1386.19,30403
1389.52,27706
1392.85,28203
1396.17,28862
1399.49,29124
1402.8,28810
1406.11,27220
1409.41,26144
1412.72,25606
1417.11,27004
1420.4,28173
1423.68,29406
1426.97,30302
1430.24,30903
1433.52,32131
1436.78,33511
1440.05,34628
1443.31,36688
1446.56,38475
1450.89,41196
1454.14,42598
1457.38,43947
1460.61,44743
1463.84,46285
1467.07,47031
1470.29,47511
1473.51,48844
1476.72,49800
1479.93,50930
1484.2,51200
1487.4,52286
1490.6,52254
1493.79,52269
1496.97,52844
1500.15,52956
1503.33,52153
1506.5,51454
1509.67,51571
1513.88,50917
1517.04,50531
1520.19,49953
1523.34,49426
1526.49,48664
1529.63,49040
1532.76,48112
1535.89,47810
1539.02,47528
1542.14,47204
1546.29,46817
1549.41,47037
1552.51,46328
1555.61,45895
1558.71,45233
1561.81,44013
1564.9,43554
1567.98,42154
1571.06,41670
1574.14,40959
1578.23,40864
1581.3,40129
1584.36,39703
1587.41,39031
1590.47,37588
1593.51,37123
1596.56,36257
1599.6,35407
1602.63,34131
1606.67,32455
1609.69,31041
1612.71,30348
1615.73,29381
1618.74,28709
1621.75,27371
1624.75,26104
1627.75,25225
1630.74,23854
1633.73,22728
1637.71,21363
1640.68,19734
1643.66,18334
1646.63,16606
1649.59,15519
1652.55,13556
1655.51,11762
1658.46,10266
1661.41,8377
1664.35,7763
1668.27,6523
1671.2,6090
1674.13,5078
1677.05,3751
1679.97,2919
1682.89,1683
1685.8,805
1688.7,767
1691.61,628
1694.5,146
1698.36,317
1701.25,53
