x,y
900.989,9414
904.913,10882
908.832,11260
914.051,12710
917.96,14257
921.865,15455
925.765,17064
929.661,19671
933.553,22221
937.44,24454
941.322,27330
945.2,30462
949.074,32904
954.232,35798
958.095,38057
961.954,39671
965.809,41255
969.659,42900
973.505,44517
977.346,45284
981.182,45767
985.015,46645
990.118,45921
993.94,45414
997.757,45689
1001.57,45132
1005.38,44483
1009.18,44589
1012.98,44364
1016.78,44091
1020.57,44175
1024.36,43796
1029.4,44031
1033.17,43448
1036.95,43616
1040.71,43617
1044.48,44018
1048.23,44245
1051.99,44390
1055.74,45370
1059.48,45226
1063.22,45346
1068.2,45470
1071.93,45731
1075.66,46464
1079.38,46030
1083.1,46446
1086.81,46223
1090.52,46228
1094.22,46605
1097.92,46243
1102.85,46750
1106.54,46300
1110.22,46248
1113.9,45917
1117.58,45976
1121.25,45526
1124.92,45389
1128.58,45203
1132.24,44320
1135.89,43380
1140.76,42054
1144.4,39719
1148.04,37337
1151.67,35190
1155.3,32475
1158.93,29849
1162.55,27516
1166.16,26811
1169.78,26329
1173.38,25172
1178.19,23629
1181.79,21236
1185.38,19206
1188.97,17383
1192.55,15475
1196.13,14444
1199.71,12990
1203.28,11942
1206.84,11339
1211.59,12074
1215.15,14304
1218.7,17745
1222.25,23055
1225.79,28257
1229.33,34167
1232.86,38866
1236.39,42829
1239.92,46759
1243.44,49841
1248.12,53270
1251.63,55290
1255.14,56749
1258.64,58849
1262.14,61060
1265.63,61790
1269.12,63318
1272.6,64068
1276.08,65347
1279.56,66313
1284.18,67018
1287.65,68082
1291.11,68374
1294.56,68871
1298.01,69678
1301.46,69833
1304.9,70046
1308.34,70415
1311.77,71293
1316.34,70937
1319.77,70975
1323.19,71252
1326.6,70828
1330.01,70994
1333.42,70202
1336.82,69767
1340.21,68939
1343.61,67738
1346.99,66869
1351.5,63510
1354.88,60293
1358.25,57559
1361.62,54356
1364.99,51172
1368.34,47632
1371.7,43313
1375.05,38720
1378.4,33631
1381.74,29835
1386.19,24739
1389.52,22272
1392.85,21673
1396.17,22855
1399.49,23600
1402.8,23050
1406.11,22271
1409.41,20613
1412.72,20236
1417.11,21263
1420.4,21602
1423.68,22942
1426.97,23741
1430.24,24341
1433.52,25233
1436.78,26270
1440.05,27687
1443.31,29248
1446.56,30429
1450.89,32814
1454.14,33957
1457.38,34865
1460.61,36377
1463.84,37429
1467.07,38079
1470.29,39078
1473.51,40149
1476.72,41139
1479.93,41794
1484.2,42243
1487.4,42687
1490.6,42783
1493.79,42929
1496.97,43482
1500.15,43500
1503.33,43745
1506.5,42964
1509.67,43100
1513.88,42250
1517.04,42332
1520.19,41943
1523.34,41310
1526.49,41248
1529.63,40491
1532.76,40376
1535.89,39557
1539.02,39639
1542.14,39838
1546.29,39605
1549.41,39548
1552.51,39483
1555.61,38593
1558.71,38132
1561.81,38094
1564.9,36976
1567.98,36603
1571.06,35817
1574.14,35954
1578.23,34722
1581.3,34668
1584.36,33999
1587.41,33300
1590.47,32131
1593.51,32058
1596.56,31442
1599.6,30251
1602.63,29434
1606.67,28164
1609.69,27337
1612.71,26433
1615.73,26137
1618.74,24990
1621.75,24213
1624.75,23136
1627.75,22205
1630.74,21140
1633.73,20411
1637.71,18939
1640.68,17723
1643.66,16923
1646.63,15508
1649.59,14471
1652.55,13450
1655.51,12095
1658.46,10559
1661.41,8261
1664.35,7485
1668.27,6465
1671.2,5159
1674.13,4325
1677.05,3066
1679.97,2251
1682.89,1900
1685.8,1027
1688.7,671
1691.61,549
1694.5,197
1698.36,291
1701.25,194
