x,y
340,0
341.771,31
343.542,0
345.312,7
347.083,132
348.854,0
350.625,145
352.396,0
354.167,0
355.938,77
357.708,69
359.479,78
361.25,65
363.021,7
364.792,26
366.562,28
368.333,50
370.104,56
371.875,59
373.646,21
375.417,26
377.188,73
378.958,17
380.729,27
382.5,89
384.271,136
386.042,0
387.812,0
389.583,75
391.354,175
393.125,63
394.896,27
396.667,26
398.438,51
400.208,3
401.979,78
403.75,0
405.521,93
407.292,119
409.062,91
410.833,28
412.604,80
414.375,89
416.146,74
417.917,39
419.688,62
421.458,28
423.229,202
425,58
426.771,128
428.542,120
430.312,219
432.083,184
433.854,183
435.625,353
437.396,598
439.167,777
440.938,997
442.708,1155
444.479,1279
446.25,1384
448.021,1314
449.792,1196
451.562,1144
453.333,890
455.104,997
456.875,871
458.646,916
460.417,689
462.188,721
463.958,603
465.729,699
467.5,703
469.271,749
471.042,758
472.812,746
474.583,926
476.354,1125
478.125,1367
479.896,1529
481.667,1867
483.438,2225
485.208,2674
486.979,3229
488.75,3903
490.521,4927
492.292,5778
494.062,6779
495.833,7822
497.604,8637
499.375,9253
501.146,9495
502.917,9764
504.688,9733
506.458,9772
508.229,9877
510,10574
511.771,11185
513.542,11836
515.312,12833
517.083,13387
518.854,13980
520.625,13974
522.396,14242
524.167,14071
525.938,14280
527.708,14224
529.479,14256
531.25,14515
533.021,14899
534.792,14841
536.562,14937
538.333,14856
540.104,14985
541.875,15388
543.646,15279
545.417,14969
547.188,14916
548.958,14946
550.729,14737
552.5,14395
554.271,14270
556.042,13804
557.812,13162
559.583,12748
561.354,12222
563.125,12041
564.896,11759
566.667,11639
568.438,10994
570.208,11303
571.979,11111
573.75,11193
575.521,11064
577.292,11044
579.062,10919
580.833,10927
582.604,10760
584.375,10690
586.146,10246
587.917,9963
589.688,9579
591.458,9044
593.229,8695
595,8298
596.771,7504
598.542,7001
600.312,6505
602.083,5905
603.854,4899
605.625,4372
607.396,3703
609.167,3214
610.938,2508
612.708,2212
614.479,1935
616.25,1745
618.021,1644
619.792,1682
621.562,1970
623.333,2200
625.104,2453
626.875,2746
628.646,3123
630.417,3434
632.188,3786
633.958,3749
635.729,3707
637.5,3883
639.271,3820
641.042,3510
642.812,3323
644.583,3337
646.354,3104
648.125,3089
649.896,2980
651.667,2892
653.438,2812
655.208,2862
656.979,2476
658.75,2369
660.521,2263
662.292,2137
664.062,2050
665.833,2159
667.604,1873
669.375,1884
671.146,1721
672.917,1786
674.688,1495
676.458,1478
678.229,1467
680,1192
681.771,1183
683.542,1130
685.312,976
687.083,961
688.854,954
690.625,914
692.396,868
694.167,835
695.938,766
697.708,664
699.479,716
701.25,749
703.021,578
704.792,615
706.562,546
708.333,541
710.104,471
711.875,416
713.646,400
715.417,492
717.188,406
718.958,411
720.729,337
722.5,313
724.271,280
726.042,333
727.812,321
729.583,280
731.354,291
733.125,275
734.896,152
736.667,194
738.438,223
740.208,207
741.979,192
743.75,175
745.521,190
747.292,154
749.062,177
750.833,217
752.604,227
754.375,122
756.146,219
757.917,182
759.688,95
761.458,85
763.229,165
765,127
766.771,149
768.542,109
770.312,100
772.083,86
773.854,130
775.625,17
777.396,0
779.167,0
780.938,190
782.708,80
784.479,21
786.25,136
788.021,29
789.792,50
791.562,78
793.333,120
795.104,123
796.875,0
798.646,78
800.417,71
802.188,67
803.958,168
805.729,71
807.5,0
809.271,67
811.042,39
812.812,12
814.583,0
816.354,65
818.125,0
819.896,97
821.667,6
823.438,125
825.208,177
826.979,92
828.75,113
830.521,88
832.292,29
834.062,50
835.833,3
837.604,157
839.375,20
841.146,40
842.917,22
844.688,90
846.458,61
848.229,15
