x,y
340,0
341.771,37
343.542,0
345.312,40
347.083,139
348.854,162
350.625,80
352.396,214
354.167,177
355.938,237
357.708,200
359.479,165
361.25,130
363.021,118
364.792,84
366.562,145
368.333,104
370.104,289
371.875,124
373.646,246
375.417,140
377.188,124
378.958,166
380.729,76
382.5,222
384.271,184
386.042,199
387.812,245
389.583,138
391.354,153
393.125,218
394.896,95
396.667,320
398.438,448
400.208,743
401.979,980
403.75,1371
405.521,1357
407.292,1526
409.062,1493
410.833,1544
412.604,1534
414.375,1539
416.146,1652
417.917,1677
419.688,1847
421.458,1875
423.229,1967
425,2082
426.771,2172
428.542,2285
430.312,2365
432.083,2681
433.854,2861
435.625,3076
437.396,3279
439.167,3602
440.938,3623
442.708,4002
444.479,4337
446.25,4676
448.021,4857
449.792,5400
451.562,6000
453.333,6429
455.104,7112
456.875,7623
458.646,7958
460.417,8694
462.188,8759
463.958,9154
465.729,8931
467.5,8906
469.271,8661
471.042,8677
472.812,8076
474.583,7972
476.354,7624
478.125,7319
479.896,7059
481.667,6536
483.438,6339
485.208,6228
486.979,6285
488.75,6063
490.521,6198
492.292,6242
494.062,6331
495.833,6216
497.604,6439
499.375,6258
501.146,6038
502.917,5960
504.688,5774
506.458,5761
508.229,5471
510,5214
511.771,5266
513.542,5212
515.312,5116
517.083,4959
518.854,4664
520.625,4551
522.396,4291
524.167,4001
525.938,3914
527.708,3663
529.479,3535
531.25,3288
533.021,3173
534.792,3097
536.562,3079
538.333,2841
540.104,2752
541.875,2695
543.646,2457
545.417,2330
547.188,2318
548.958,2169
550.729,2138
552.5,1912
554.271,1808
556.042,1612
557.812,1617
559.583,1615
561.354,1584
563.125,1386
564.896,1313
566.667,1255
568.438,1128
570.208,1131
571.979,958
573.75,1048
575.521,1077
577.292,1019
579.062,898
580.833,829
582.604,910
584.375,866
586.146,797
587.917,743
589.688,815
591.458,716
593.229,884
595,932
596.771,848
598.542,953
600.312,1109
602.083,1239
603.854,1371
605.625,1723
607.396,2092
609.167,2517
610.938,2948
612.708,3504
614.479,4363
616.25,4882
618.021,5841
619.792,6239
621.562,6557
623.333,6614
625.104,6348
626.875,5966
628.646,5362
630.417,4806
632.188,4076
633.958,3240
635.729,3019
637.5,2512
639.271,2260
641.042,1927
642.812,1770
644.583,1728
646.354,1544
648.125,1509
649.896,1496
651.667,1501
653.438,1524
655.208,1445
656.979,1463
658.75,1259
660.521,1457
662.292,1292
664.062,1512
665.833,1385
667.604,1311
669.375,1333
671.146,1234
672.917,1143
674.688,1269
676.458,1084
678.229,995
680,974
681.771,877
683.542,863
685.312,875
687.083,762
688.854,740
690.625,581
692.396,630
694.167,597
695.938,685
697.708,688
699.479,551
701.25,495
703.021,437
704.792,378
706.562,429
708.333,347
710.104,527
711.875,374
713.646,246
715.417,263
717.188,342
718.958,166
720.729,205
722.5,237
724.271,268
726.042,281
727.812,274
729.583,134
731.354,224
733.125,109
734.896,257
736.667,197
738.438,148
740.208,136
741.979,251
743.75,284
745.521,184
747.292,199
749.062,243
750.833,192
752.604,288
754.375,198
756.146,283
757.917,244
759.688,319
761.458,259
763.229,213
765,231
766.771,30
768.542,251
770.312,186
772.083,206
773.854,159
775.625,237
777.396,140
779.167,158
780.938,150
782.708,162
784.479,200
786.25,238
788.021,145
789.792,36
791.562,164
793.333,45
795.104,181
796.875,260
798.646,308
800.417,163
802.188,191
803.958,177
805.729,99
807.5,188
809.271,130
811.042,97
812.812,154
814.583,127
816.354,125
818.125,208
819.896,130
821.667,22
823.438,144
825.208,70
826.979,201
828.75,136
830.521,83
832.292,157
834.062,175
835.833,91
837.604,238
839.375,110
841.146,68
842.917,209
844.688,189
846.458,229
848.229,73
