x,y
340,0
341.771,0
343.542,0
345.312,88
347.083,153
348.854,6
350.625,202
352.396,100
354.167,39
355.938,164
357.708,0
359.479,0
361.25,29
363.021,0
364.792,206
366.562,107
368.333,64
370.104,0
371.875,32
373.646,61
375.417,72
377.188,0
378.958,0
380.729,86
382.5,35
384.271,104
386.042,103
387.812,69
389.583,24
391.354,60
393.125,42
394.896,71
396.667,42
398.438,111
400.208,156
401.979,119
403.75,161
405.521,269
407.292,258
409.062,328
410.833,302
412.604,314
414.375,493
416.146,390
417.917,600
419.688,838
421.458,808
423.229,834
425,1013
426.771,1003
428.542,933
430.312,1132
432.083,1028
433.854,1285
435.625,1454
437.396,1513
439.167,1564
440.938,1501
442.708,1380
444.479,1455
446.25,1364
448.021,1369
449.792,1394
451.562,1359
453.333,1315
455.104,1456
456.875,1511
458.646,1402
460.417,1466
462.188,1363
463.958,1103
465.729,1217
467.5,1127
469.271,1160
471.042,1220
472.812,1236
474.583,1232
476.354,1175
478.125,1228
479.896,1175
481.667,1131
483.438,1214
485.208,1259
486.979,1366
488.75,1254
490.521,1576
492.292,1626
494.062,1655
495.833,1763
497.604,1971
499.375,1898
501.146,1866
502.917,1879
504.688,1757
506.458,1828
508.229,1606
510,1783
511.771,1737
513.542,1718
515.312,1573
517.083,1733
518.854,1707
520.625,1672
522.396,1617
524.167,1419
525.938,1422
527.708,1437
529.479,1326
531.25,1325
533.021,1323
534.792,1209
536.562,1115
538.333,1024
540.104,1057
541.875,1138
543.646,1048
545.417,935
547.188,736
548.958,746
550.729,729
552.5,802
554.271,799
556.042,613
557.812,639
559.583,487
561.354,605
563.125,416
564.896,457
566.667,530
568.438,530
570.208,346
571.979,501
573.75,425
575.521,603
577.292,449
579.062,522
580.833,582
582.604,616
584.375,514
586.146,566
587.917,678
589.688,706
591.458,793
593.229,990
595,1068
596.771,1352
598.542,1726
600.312,2359
602.083,2888
603.854,3705
605.625,4932
607.396,6279
609.167,8204
610.938,10371
612.708,12619
614.479,15865
616.25,18940
618.021,22476
619.792,25586
621.562,28416
623.333,31035
625.104,32340
626.875,32606
628.646,31166
630.417,29126
632.188,26076
633.958,22642
635.729,19426
637.5,16853
639.271,14798
641.042,12835
642.812,11615
644.583,10548
646.354,9915
648.125,9566
649.896,9448
651.667,9242
653.438,9066
655.208,9055
656.979,8804
658.75,8796
660.521,9276
662.292,8898
664.062,9014
665.833,9064
667.604,9035
669.375,9050
671.146,8387
672.917,8420
674.688,8011
676.458,7282
678.229,7015
680,6405
681.771,5909
683.542,5291
685.312,4986
687.083,4497
688.854,4129
690.625,3678
692.396,3357
694.167,3204
695.938,3130
697.708,2754
699.479,2610
701.25,2319
703.021,2297
704.792,2057
706.562,1797
708.333,1660
710.104,1483
711.875,1296
713.646,1266
715.417,956
717.188,1003
718.958,962
720.729,774
722.5,745
724.271,739
726.042,659
727.812,666
729.583,495
731.354,424
733.125,530
734.896,489
736.667,469
738.438,510
740.208,362
741.979,442
743.75,490
745.521,316
747.292,248
749.062,378
750.833,295
752.604,316
754.375,228
756.146,306
757.917,371
759.688,175
761.458,208
763.229,235
765,127
766.771,113
768.542,156
770.312,210
772.083,237
773.854,268
775.625,126
777.396,78
779.167,133
780.938,84
782.708,131
784.479,181
786.25,116
788.021,65
789.792,101
791.562,75
793.333,136
795.104,100
796.875,141
798.646,123
800.417,110
802.188,110
803.958,205
805.729,130
807.5,75
809.271,22
811.042,35
812.812,98
814.583,143
816.354,46
818.125,22
819.896,40
821.667,104
823.438,94
825.208,37
826.979,165
828.75,46
830.521,98
832.292,8
834.062,0
835.833,35
837.604,15
839.375,76
841.146,37
842.917,83
844.688,91
846.458,186
848.229,21
