x,y
340,0
341.771,0
343.542,0
345.312,164
347.083,0
348.854,94
350.625,96
352.396,92
354.167,0
355.938,7
357.708,67
359.479,58
361.25,11
363.021,7
364.792,50
366.562,98
368.333,0
370.104,0
371.875,0
373.646,80
375.417,35
377.188,33
378.958,0
380.729,64
382.5,136
384.271,104
386.042,75
387.812,0
389.583,18
391.354,48
393.125,0
394.896,71
396.667,75
398.438,100
400.208,23
401.979,0
403.75,79
405.521,30
407.292,0
409.062,5
410.833,109
412.604,0
414.375,0
416.146,25
417.917,125
419.688,75
421.458,48
423.229,67
425,44
426.771,74
428.542,0
430.312,111
432.083,147
433.854,379
435.625,440
437.396,502
439.167,658
440.938,1044
442.708,1169
444.479,1466
446.25,1344
448.021,1336
449.792,1103
451.562,1056
453.333,1015
455.104,920
456.875,890
458.646,836
460.417,730
462.188,683
463.958,683
465.729,510
467.5,646
469.271,673
471.042,551
472.812,731
474.583,871
476.354,919
478.125,1284
479.896,1477
481.667,1693
483.438,2139
485.208,2502
486.979,3161
488.75,3732
490.521,4648
492.292,5567
494.062,6545
495.833,7435
497.604,8382
499.375,8938
501.146,9315
502.917,9432
504.688,9293
506.458,9335
508.229,9748
510,10303
511.771,11028
513.542,11989
515.312,12925
517.083,13845
518.854,14033
520.625,14344
522.396,14539
524.167,14752
525.938,14667
527.708,14135
529.479,14232
531.25,14956
533.021,14789
534.792,15103
536.562,14988
538.333,15406
540.104,15487
541.875,15466
543.646,15841
545.417,15538
547.188,15192
548.958,15001
550.729,14640
552.5,14519
554.271,14290
556.042,13722
557.812,13240
559.583,12618
561.354,11827
563.125,11768
564.896,11277
566.667,11099
568.438,10947
570.208,10927
571.979,10894
573.75,11036
575.521,11200
577.292,11007
579.062,11209
580.833,10903
582.604,11160
584.375,10893
586.146,10343
587.917,10074
589.688,9818
591.458,9376
593.229,8776
595,8687
596.771,8029
598.542,7396
600.312,6567
602.083,5873
603.854,5161
605.625,4311
607.396,3648
609.167,3279
610.938,2453
612.708,2142
614.479,1789
616.25,1781
618.021,1648
619.792,1550
621.562,1864
623.333,2025
625.104,2494
626.875,2893
628.646,3459
630.417,3558
632.188,3915
633.958,4024
635.729,4090
637.5,4148
639.271,4037
641.042,3909
642.812,3880
644.583,3851
646.354,3593
648.125,3441
649.896,3281
651.667,3198
653.438,3134
655.208,2889
656.979,2715
658.75,2606
660.521,2707
662.292,2396
664.062,2261
665.833,2354
667.604,2000
669.375,2122
671.146,1888
672.917,1839
674.688,1772
676.458,1611
678.229,1527
680,1441
681.771,1344
683.542,1306
685.312,1237
687.083,1086
688.854,1200
690.625,977
692.396,926
694.167,923
695.938,944
697.708,839
699.479,843
701.25,681
703.021,772
704.792,649
706.562,713
708.333,658
710.104,614
711.875,554
713.646,552
715.417,585
717.188,472
718.958,343
720.729,385
722.5,334
724.271,284
726.042,381
727.812,268
729.583,262
731.354,313
733.125,264
734.896,287
736.667,258
738.438,248
740.208,125
741.979,95
743.75,212
745.521,225
747.292,228
749.062,146
750.833,262
752.604,160
754.375,276
756.146,126
757.917,99
759.688,254
761.458,143
763.229,23
765,33
766.771,48
768.542,37
770.312,26
772.083,112
773.854,73
775.625,110
777.396,59
779.167,65
780.938,61
782.708,37
784.479,83
786.25,37
788.021,170
789.792,123
791.562,94
793.333,77
795.104,110
796.875,91
798.646,122
800.417,46
802.188,60
803.958,25
805.729,44
807.5,111
809.271,36
811.042,207
812.812,93
814.583,42
816.354,141
818.125,0
819.896,29
821.667,87
823.438,74
825.208,0
826.979,61
828.75,80
830.521,14
832.292,0
834.062,0
835.833,51
837.604,126
839.375,69
841.146,126
842.917,0
844.688,0
846.458,35
848.229,108
