x,y
340,0
341.771,17
343.542,0
345.312,0
347.083,0
348.854,27
350.625,44
352.396,78
354.167,56
355.938,100
357.708,146
359.479,15
361.25,0
363.021,84
364.792,0
366.562,48
368.333,0
370.104,84
371.875,45
373.646,36
375.417,46
377.188,0
378.958,42
380.729,100
382.5,0
384.271,0
386.042,64
387.812,58
389.583,63
391.354,113
393.125,82
394.896,106
396.667,0
398.438,122
400.208,0
401.979,55
403.75,28
405.521,132
407.292,143
409.062,0
410.833,0
412.604,127
414.375,50
416.146,63
417.917,157
419.688,0
421.458,153
423.229,76
425,41
426.771,144
428.542,204
430.312,208
432.083,173
433.854,326
435.625,384
437.396,438
439.167,743
440.938,833
442.708,1044
444.479,1334
446.25,1290
448.021,1291
449.792,1193
451.562,981
453.333,897
455.104,889
456.875,857
458.646,749
460.417,777
462.188,767
463.958,720
465.729,653
467.5,635
469.271,795
471.042,787
472.812,832
474.583,1006
476.354,983
478.125,1288
479.896,1442
481.667,1754
483.438,2120
485.208,2735
486.979,3085
488.75,3945
490.521,4719
492.292,5723
494.062,6817
495.833,7778
497.604,8653
499.375,9237
501.146,9451
502.917,9761
504.688,9704
506.458,9579
508.229,9922
510,10465
511.771,11051
513.542,11841
515.312,12517
517.083,13504
518.854,13615
520.625,14003
522.396,13950
524.167,14167
525.938,14193
527.708,14331
529.479,14333
531.25,14293
533.021,14720
534.792,14752
536.562,14562
538.333,14966
540.104,15081
541.875,15181
543.646,15325
545.417,14951
547.188,14979
548.958,14895
550.729,14656
552.5,14621
554.271,14132
556.042,13729
557.812,13511
559.583,13094
561.354,12042
563.125,12041
564.896,11652
566.667,11407
568.438,11018
570.208,11003
571.979,11037
573.75,11185
575.521,11023
577.292,11091
579.062,11099
580.833,10902
582.604,10726
584.375,10782
586.146,10255
587.917,9999
589.688,9586
591.458,9069
593.229,8721
595,8139
596.771,7955
598.542,7055
600.312,6385
602.083,5803
603.854,5104
605.625,4434
607.396,3810
609.167,3223
610.938,2614
612.708,2276
614.479,1906
616.25,1639
618.021,1666
619.792,1649
621.562,1898
623.333,2044
625.104,2297
626.875,2832
628.646,3189
630.417,3328
632.188,3552
633.958,3727
635.729,3741
637.5,3801
639.271,3520
641.042,3620
642.812,3563
644.583,3483
646.354,3272
648.125,3047
649.896,2856
651.667,2907
653.438,2668
655.208,2549
656.979,2499
658.75,2422
660.521,2353
662.292,2216
664.062,2170
665.833,1994
667.604,1846
669.375,1853
671.146,1656
672.917,1577
674.688,1587
676.458,1384
678.229,1389
680,1310
681.771,1204
683.542,1164
685.312,1026
687.083,1173
688.854,790
690.625,958
692.396,866
694.167,776
695.938,907
697.708,747
699.479,736
701.25,747
703.021,577
704.792,572
706.562,602
708.333,583
710.104,453
711.875,424
713.646,483
715.417,361
717.188,338
718.958,361
720.729,310
722.5,228
724.271,309
726.042,231
727.812,131
729.583,293
731.354,230
733.125,209
734.896,216
736.667,256
738.438,265
740.208,237
741.979,234
743.75,145
745.521,164
747.292,232
749.062,210
750.833,206
752.604,154
754.375,137
756.146,138
757.917,219
759.688,133
761.458,76
763.229,56
765,63
766.771,48
768.542,59
770.312,55
772.083,32
773.854,78
775.625,64
777.396,117
779.167,116
780.938,75
782.708,27
784.479,102
786.25,93
788.021,124
789.792,0
791.562,90
793.333,78
795.104,108
796.875,82
798.646,181
800.417,33
802.188,154
803.958,80
805.729,90
807.5,168
809.271,53
811.042,0
812.812,19
814.583,121
816.354,30
818.125,82
819.896,167
821.667,65
823.438,62
825.208,63
826.979,67
828.75,81
830.521,25
832.292,0
834.062,0
835.833,22
837.604,21
839.375,3
841.146,144
842.917,84
844.688,12
846.458,101
848.229,78
