x,y
340,0
341.771,40
343.542,0
345.312,21
347.083,26
348.854,139
350.625,59
352.396,54
354.167,77
355.938,0
357.708,0
359.479,7
361.25,11
363.021,0
364.792,0
366.562,0
368.333,0
370.104,40
371.875,83
373.646,0
375.417,48
377.188,0
378.958,68
380.729,30
382.5,0
384.271,0
386.042,0
387.812,17
389.583,0
391.354,0
393.125,46
394.896,26
396.667,0
398.438,87
400.208,167
401.979,329
403.75,473
405.521,617
407.292,707
409.062,493
410.833,580
412.604,729
414.375,588
416.146,797
417.917,866
419.688,874
421.458,1019
423.229,1180
425,1173
426.771,1257
428.542,1293
430.312,1459
432.083,1660
433.854,1675
435.625,1694
437.396,1980
439.167,1879
440.938,2000
442.708,2154
444.479,2021
446.25,2139
448.021,2151
449.792,2234
451.562,2372
453.333,2353
455.104,2575
456.875,2688
458.646,2644
460.417,2711
462.188,2934
463.958,2910
465.729,2750
467.5,2827
469.271,2731
471.042,2805
472.812,2728
474.583,2667
476.354,2532
478.125,2520
479.896,2645
481.667,2703
483.438,2515
485.208,2449
486.979,2641
488.75,2615
490.521,2697
492.292,3103
494.062,3015
495.833,3276
497.604,3269
499.375,3227
501.146,3233
502.917,3158
504.688,3085
506.458,3059
508.229,3003
510,3086
511.771,3017
513.542,2873
515.312,2963
517.083,2884
518.854,2820
520.625,2660
522.396,2596
524.167,2484
525.938,2203
527.708,2103
529.479,2234
531.25,2041
533.021,2057
534.792,1865
536.562,1824
538.333,1755
540.104,1632
541.875,1513
543.646,1498
545.417,1519
547.188,1356
548.958,1324
550.729,1086
552.5,1167
554.271,1029
556.042,908
557.812,875
559.583,805
561.354,746
563.125,816
564.896,745
566.667,777
568.438,619
570.208,614
571.979,616
573.75,710
575.521,638
577.292,603
579.062,525
580.833,503
582.604,637
584.375,617
586.146,681
587.917,731
589.688,600
591.458,752
593.229,853
595,1009
596.771,1201
598.542,1475
600.312,1736
602.083,2070
603.854,2729
605.625,3659
607.396,4597
609.167,6005
610.938,7740
612.708,9655
614.479,11952
616.25,14377
618.021,17318
619.792,19440
621.562,21644
623.333,23075
625.104,23840
626.875,23533
628.646,22456
630.417,20725
632.188,18317
633.958,15726
635.729,13693
637.5,11665
639.271,10027
641.042,8585
642.812,7942
644.583,7227
646.354,6766
648.125,6434
649.896,6188
651.667,6210
653.438,6181
655.208,6088
656.979,6012
658.75,6169
660.521,5946
662.292,6060
664.062,6030
665.833,6119
667.604,6295
669.375,6051
671.146,5869
672.917,5695
674.688,5384
676.458,4872
678.229,4703
680,4372
681.771,3926
683.542,3496
685.312,3274
687.083,3001
688.854,2794
690.625,2664
692.396,2401
694.167,2267
695.938,2169
697.708,1934
699.479,1807
701.25,1636
703.021,1535
704.792,1371
706.562,1222
708.333,1202
710.104,996
711.875,1033
713.646,792
715.417,659
717.188,526
718.958,666
720.729,629
722.5,466
724.271,448
726.042,469
727.812,473
729.583,348
731.354,314
733.125,342
734.896,341
736.667,360
738.438,211
740.208,301
741.979,273
743.75,223
745.521,107
747.292,271
749.062,277
750.833,225
752.604,161
754.375,126
756.146,306
757.917,206
759.688,210
761.458,158
763.229,136
765,121
766.771,220
768.542,99
770.312,183
772.083,136
773.854,58
775.625,2
777.396,155
779.167,109
780.938,134
782.708,109
784.479,132
786.25,57
788.021,73
789.792,113
791.562,122
793.333,44
795.104,85
796.875,0
798.646,42
800.417,34
802.188,23
803.958,57
805.729,64
807.5,98
809.271,81
811.042,0
812.812,0
814.583,49
816.354,18
818.125,10
819.896,0
821.667,0
823.438,33
825.208,119
826.979,21
828.75,101
830.521,92
832.292,82
834.062,79
835.833,60
837.604,55
839.375,64
841.146,59
842.917,141
844.688,119
846.458,0
848.229,64
