x,y
900.989,10330
904.913,11172
908.832,12289
914.051,12854
917.96,14132
921.865,16225
925.765,17660
929.661,20231
933.553,22722
937.44,25840
941.322,28386
945.2,31139
949.074,33834
954.232,37166
958.095,39220
961.954,41332
965.809,42775
969.659,44762
973.505,45353
977.346,47113
981.182,47637
985.015,47998
990.118,47688
993.94,47192
997.757,46945
1001.57,46843
1005.38,46307
1009.18,46067
1012.98,45788
1016.78,45632
1020.57,45683
1024.36,45161
1029.4,45288
1033.17,45199
1036.95,45229
1040.71,45016
1044.48,45573
1048.23,46184
1051.99,46590
1055.74,46505
1059.48,46862
1063.22,47181
1068.2,47572
1071.93,47521
1075.66,47788
1079.38,48122
1083.1,48347
1086.81,48233
1090.52,48334
1094.22,47999
1097.92,47800
1102.85,48426
1106.54,48435
1110.22,48101
1113.9,47518
1117.58,47913
1121.25,47199
1124.92,47003
1128.58,46455
1132.24,45396
1135.89,44867
1140.76,42416
1144.4,41087
1148.04,38310
1151.67,36075
1155.3,33112
1158.93,30837
1162.55,28838
1166.16,27696
1169.78,26573
1173.38,26020
1178.19,23832
1181.79,21739
1185.38,19559
1188.97,17674
1192.55,16001
1196.13,14661
1199.71,13553
1203.28,12571
1206.84,11770
1211.59,12980
1215.15,15340
1218.7,19548
1222.25,25113
1225.79,30952
1229.33,36562
1232.86,41401
1236.39,45445
1239.92,49048
1243.44,52308
1248.12,55798
1251.63,57699
1255.14,59640
1258.64,61298
1262.14,63448
1265.63,64393
1269.12,66250
1272.6,67174
1276.08,68248
1279.56,68986
1284.18,70308
1287.65,70328
1291.11,71007
1294.56,71564
1298.01,71919
1301.46,72262
1304.9,72735
1308.34,73291
1311.77,73460
1316.34,73894
1319.77,73740
1323.19,73577
1326.6,73279
1330.01,72806
1333.42,72829
1336.82,72122
1340.21,71290
1343.61,70307
1346.99,68546
1351.5,64711
1354.88,61596
1358.25,58433
1361.62,54925
1364.99,51910
1368.34,47915
1371.7,43776
1375.05,38743
1378.4,34397
1381.74,29238
1386.19,25026
1389.52,22722
1392.85,23279
1396.17,23943
1399.49,24863
1402.8,24112
1406.11,22273
1409.41,20711
1412.72,20470
1417.11,21062
1420.4,22297
1423.68,23295
1426.97,24067
1430.24,24517
1433.52,25680
1436.78,26823
1440.05,28032
1443.31,29865
1446.56,31102
1450.89,33589
1454.14,34412
1457.38,36118
1460.61,37726
1463.84,38078
1467.07,40036
1470.29,40174
1473.51,41081
1476.72,41730
1479.93,42889
1484.2,43427
1487.4,43793
1490.6,44228
1493.79,44599
1496.97,44206
1500.15,44402
1503.33,44396
1506.5,44072
1509.67,44038
1513.88,44127
1517.04,42966
1520.19,43049
1523.34,42270
1526.49,41971
1529.63,41516
1532.76,41253
1535.89,41204
1539.02,41006
1542.14,40809
1546.29,40718
1549.41,40626
1552.51,40194
1555.61,39954
1558.71,39266
1561.81,38475
1564.9,37787
1567.98,37218
1571.06,36467
1574.14,36421
1578.23,35665
1581.3,35302
1584.36,34747
1587.41,33954
1590.47,32972
1593.51,32320
1596.56,31199
1599.6,30968
1602.63,29884
1606.67,29127
1609.69,27467
1612.71,27336
1615.73,25721
1618.74,24919
1621.75,24345
1624.75,23513
1627.75,22726
1630.74,21449
1633.73,20092
1637.71,19005
1640.68,17663
1643.66,16776
1646.63,15393
1649.59,14256
1652.55,13409
1655.51,12267
1658.46,10702
1661.41,8650
1664.35,7742
1668.27,6587
1671.2,5601
1674.13,5165
1677.05,4641
1679.97,2861
1682.89,2342
1685.8,1361
1688.7,524
1691.61,444
1694.5,205
1698.36,-296
1701.25,-303
