x,y
340,0
341.771,47
343.542,0
345.312,0
347.083,18
348.854,0
350.625,0
352.396,84
354.167,43
355.938,0
357.708,75
359.479,0
361.25,0
363.021,0
364.792,103
366.562,10
368.333,0
370.104,73
371.875,0
373.646,0
375.417,0
377.188,78
378.958,116
380.729,69
382.5,63
384.271,135
386.042,307
387.812,440
389.583,478
391.354,549
393.125,286
394.896,172
396.667,64
398.438,42
400.208,234
401.979,179
403.75,295
405.521,372
407.292,257
409.062,402
410.833,485
412.604,831
414.375,1147
416.146,1512
417.917,1962
419.688,2359
421.458,2900
423.229,3114
425,3553
426.771,3702
428.542,4009
430.312,4142
432.083,4512
433.854,4889
435.625,5122
437.396,5406
439.167,5673
440.938,5515
442.708,5348
444.479,5320
446.25,5235
448.021,4874
449.792,4850
451.562,4646
453.333,4429
455.104,4297
456.875,4065
458.646,3746
460.417,3405
462.188,3070
463.958,2702
465.729,2405
467.5,2223
469.271,1976
471.042,1820
472.812,1696
474.583,1653
476.354,1448
478.125,1400
479.896,1228
481.667,1164
483.438,1118
485.208,898
486.979,842
488.75,827
490.521,736
492.292,847
494.062,672
495.833,563
497.604,665
499.375,514
501.146,594
502.917,462
504.688,531
506.458,442
508.229,408
510,356
511.771,384
513.542,286
515.312,358
517.083,317
518.854,254
520.625,225
522.396,250
524.167,274
525.938,184
527.708,232
529.479,236
531.25,164
533.021,104
534.792,183
536.562,209
538.333,145
540.104,169
541.875,199
543.646,83
545.417,143
547.188,146
548.958,183
550.729,36
552.5,42
554.271,135
556.042,100
557.812,55
559.583,82
561.354,148
563.125,91
564.896,89
566.667,181
568.438,107
570.208,82
571.979,52
573.75,127
575.521,133
577.292,80
579.062,54
580.833,56
582.604,94
584.375,7
586.146,149
587.917,23
589.688,36
591.458,55
593.229,17
595,135
596.771,0
598.542,0
600.312,0
602.083,0
603.854,66
605.625,100
607.396,0
609.167,86
610.938,60
612.708,125
614.479,0
616.25,88
618.021,23
619.792,66
621.562,51
623.333,0
625.104,0
626.875,168
628.646,0
630.417,59
632.188,53
633.958,114
635.729,71
637.5,115
639.271,167
641.042,131
642.812,74
644.583,62
646.354,0
648.125,30
649.896,175
651.667,0
653.438,0
655.208,79
656.979,10
658.75,80
660.521,39
662.292,95
664.062,0
665.833,0
667.604,0
669.375,11
671.146,23
672.917,0
674.688,48
676.458,0
678.229,63
680,37
681.771,88
683.542,36
685.312,95
687.083,9
688.854,0
690.625,0
692.396,72
694.167,9
695.938,16
697.708,61
699.479,57
701.25,19
703.021,108
704.792,0
706.562,100
708.333,15
710.104,8
711.875,45
713.646,0
715.417,23
717.188,13
718.958,98
720.729,0
722.5,4
724.271,13
726.042,120
727.812,0
729.583,16
731.354,13
733.125,0
734.896,0
736.667,0
738.438,0
740.208,0
741.979,0
743.75,82
745.521,0
747.292,28
749.062,28
750.833,76
752.604,0
754.375,0
756.146,0
757.917,0
759.688,7
761.458,39
763.229,20
765,0
766.771,0
768.542,40
770.312,50
772.083,0
773.854,0
775.625,0
777.396,0
779.167,92
780.938,0
782.708,52
784.479,56
786.25,3
788.021,0
789.792,0
791.562,58
793.333,6
795.104,10
796.875,0
798.646,0
800.417,0
802.188,0
803.958,30
805.729,0
807.5,27
809.271,106
811.042,0
812.812,25
814.583,0
816.354,0
818.125,0
819.896,28
821.667,0
823.438,37
825.208,0
826.979,55
828.75,0
830.521,99
832.292,45
834.062,159
835.833,4
837.604,17
839.375,43
841.146,18
842.917,72
844.688,0
846.458,69
848.229,0
