x,y
900.989,23072
904.913,25897
908.832,27688
914.051,31708
917.96,34289
921.865,38266
925.765,42605
929.661,47836
933.553,52930
937.44,58398
941.322,63377
945.2,67840
949.074,72369
954.232,78353
958.095,82132
961.954,85928
965.809,88969
969.659,91912
973.505,95087
977.346,97732
981.182,99487
985.015,99749
990.118,99293
993.94,98911
997.757,98386
1001.57,98005
1005.38,97584
1009.18,97351
1012.98,97258
1016.78,97589
1020.57,97343
1024.36,97575
1029.4,98489
1033.17,98224
1036.95,98063
1040.71,99076
1044.48,98995
1048.23,99597
1051.99,100047
1055.74,100190
1059.48,100645
1063.22,100873
1068.2,101052
1071.93,100974
1075.66,101541
1079.38,101741
1083.1,101789
1086.81,102104
1090.52,101991
1094.22,102039
1097.92,102180
1102.85,102353
1106.54,102003
1110.22,102430
1113.9,102474
1117.58,102132
1121.25,103005
1124.92,103739
1128.58,103980
1132.24,104618
1135.89,105027
1140.76,105661
1144.4,106354
1148.04,107097
1151.67,107947
1155.3,109422
1158.93,110360
1162.55,111476
1166.16,112423
1169.78,113640
1173.38,115648
1178.19,117936
1181.79,119031
1185.38,120877
1188.97,122441
1192.55,124620
1196.13,126698
1199.71,128644
1203.28,130104
1206.84,132150
1211.59,134509
1215.15,136220
1218.7,137744
1222.25,139586
1225.79,141333
1229.33,143216
1232.86,144369
1236.39,146208
1239.92,146930
1243.44,148213
1248.12,149968
1251.63,150152
1255.14,150901
1258.64,152201
1262.14,153408
1265.63,155255
1269.12,156455
1272.6,157748
1276.08,158894
1279.56,159175
1284.18,160589
1287.65,161643
1291.11,162083
1294.56,162686
1298.01,162773
1301.46,162895
1304.9,163411
1308.34,163654
1311.77,163542
1316.34,163647
1319.77,163604
1323.19,163394
1326.6,162784
1330.01,162921
1333.42,162657
1336.82,161683
1340.21,161408
1343.61,160839
1346.99,159927
1351.5,158497
1354.88,157005
1358.25,155823
1361.62,154713
1364.99,153955
1368.34,153420
1371.7,152557
1375.05,151041
1378.4,148621
1381.74,145805
1386.19,142441
1389.52,140068
1392.85,138198
1396.17,137927
1399.49,136800
1402.8,136086
1406.11,135332
1409.41,135985
1412.72,135953
1417.11,136111
1420.4,135858
1423.68,136529
1426.97,136612
1430.24,136666
1433.52,136998
1436.78,137076
1440.05,136572
1443.31,136749
1446.56,136769
1450.89,136105
1454.14,136020
1457.38,135033
1460.61,134958
1463.84,133602
1467.07,133194
1470.29,132215
1473.51,131489
1476.72,130591
1479.93,129351
1484.2,128280
1487.4,126784
1490.6,125839
1493.79,124936
1496.97,124019
1500.15,122854
1503.33,121116
1506.5,120074
1509.67,119386
1513.88,117668
1517.04,115860
1520.19,114781
1523.34,113603
1526.49,111948
1529.63,111014
1532.76,109897
1535.89,108854
1539.02,107267
1542.14,106093
1546.29,104154
1549.41,102497
1552.51,101448
1555.61,99867
1558.71,97961
1561.81,96356
1564.9,94212
1567.98,93002
1571.06,91153
1574.14,90070
1578.23,87456
1581.3,86181
1584.36,84560
1587.41,82827
1590.47,81572
1593.51,79829
1596.56,77913
1599.6,76733
1602.63,75122
1606.67,72454
1609.69,70890
1612.71,69574
1615.73,67706
1618.74,65995
1621.75,64432
1624.75,62567
1627.75,61361
1630.74,59465
1633.73,57383
1637.71,55437
1640.68,53928
1643.66,52201
1646.63,50205
1649.59,48570
1652.55,47314
1655.51,45519
1658.46,43995
1661.41,41990
1664.35,40758
1668.27,37901
1671.2,35680
1674.13,32935
1677.05,29653
1679.97,27682
1682.89,24239
1685.8,21062
1688.7,18036
1691.61,15127
1694.5,13014
1698.36,10695
1701.25,8470
