x,y
340,0
341.771,0
343.542,33
345.312,30
347.083,20
348.854,235
350.625,64
352.396,43
354.167,127
355.938,128
357.708,34
359.479,0
361.25,76
363.021,2
364.792,42
366.562,0
368.333,3
370.104,0
371.875,9
373.646,23
375.417,0
377.188,84
378.958,74
380.729,75
382.5,81
384.271,0
386.042,39
387.812,14
389.583,82
391.354,0
393.125,145
394.896,15
396.667,43
398.438,10
400.208,49
401.979,84
403.75,12
405.521,60
407.292,0
409.062,120
410.833,111
412.604,0
414.375,30
416.146,72
417.917,0
419.688,186
421.458,88
423.229,123
425,237
426.771,159
428.542,290
430.312,468
432.083,532
433.854,784
435.625,1272
437.396,1809
439.167,2875
440.938,3923
442.708,5029
444.479,5689
446.25,6300
448.021,5967
449.792,5452
451.562,5365
453.333,5384
455.104,5532
456.875,5552
458.646,5313
460.417,5310
462.188,5403
463.958,5734
465.729,6034
467.5,6369
469.271,6600
471.042,6947
472.812,7229
474.583,7501
476.354,7575
478.125,7825
479.896,8044
481.667,7846
483.438,7775
485.208,7769
486.979,7893
488.75,7953
490.521,8173
492.292,8484
494.062,8576
495.833,8768
497.604,9294
499.375,9687
501.146,9720
502.917,9816
504.688,10176
506.458,9948
508.229,10204
510,10578
511.771,10777
513.542,10750
515.312,10827
517.083,10896
518.854,10697
520.625,10697
522.396,10820
524.167,10494
525.938,10486
527.708,10322
529.479,10239
531.25,10075
533.021,10229
534.792,10131
536.562,10086
538.333,9917
540.104,10065
541.875,9701
543.646,9797
545.417,9667
547.188,9781
548.958,9823
550.729,9582
552.5,9409
554.271,9436
556.042,9367
557.812,9356
559.583,9390
561.354,9427
563.125,9473
564.896,9452
566.667,9522
568.438,9120
570.208,9251
571.979,9267
573.75,9094
575.521,8733
577.292,8925
579.062,8521
580.833,8586
582.604,8117
584.375,8356
586.146,7885
587.917,7935
589.688,7780
591.458,7392
593.229,7539
595,7217
596.771,6889
598.542,6651
600.312,6463
602.083,6473
603.854,6339
605.625,6123
607.396,5628
609.167,5635
610.938,5457
612.708,5172
614.479,5025
616.25,4824
618.021,4543
619.792,4390
621.562,4178
623.333,4126
625.104,3879
626.875,3806
628.646,3726
630.417,3542
632.188,3440
633.958,3154
635.729,3042
637.5,2893
639.271,2819
641.042,2654
642.812,2734
644.583,2403
646.354,2443
648.125,2235
649.896,2071
651.667,1946
653.438,1877
655.208,1838
656.979,1734
658.75,1688
660.521,1712
662.292,1446
664.062,1487
665.833,1313
667.604,1331
669.375,1234
671.146,1090
672.917,1010
674.688,1061
676.458,976
678.229,910
680,840
681.771,897
683.542,799
685.312,735
687.083,634
688.854,661
690.625,619
692.396,575
694.167,587
695.938,565
697.708,506
699.479,514
701.25,483
703.021,483
704.792,403
706.562,282
708.333,345
710.104,439
711.875,354
713.646,429
715.417,342
717.188,264
718.958,242
720.729,200
722.5,284
724.271,273
726.042,136
727.812,107
729.583,114
731.354,119
733.125,180
734.896,157
736.667,110
738.438,101
740.208,154
741.979,89
743.75,53
745.521,154
747.292,114
749.062,138
750.833,89
752.604,123
754.375,84
756.146,201
757.917,50
759.688,12
761.458,105
763.229,0
765,0
766.771,6
768.542,67
770.312,100
772.083,121
773.854,166
775.625,178
777.396,67
779.167,148
780.938,47
782.708,20
784.479,2
786.25,78
788.021,55
789.792,94
791.562,93
793.333,36
795.104,79
796.875,91
798.646,181
800.417,54
802.188,66
803.958,0
805.729,0
807.5,60
809.271,20
811.042,73
812.812,6
814.583,0
816.354,5
818.125,0
819.896,75
821.667,197
823.438,0
825.208,116
826.979,77
828.75,0
830.521,0
832.292,0
834.062,39
835.833,89
837.604,0
839.375,0
841.146,168
842.917,0
844.688,65
846.458,127
848.229,9
