x,y
340,0
341.771,10
343.542,8
345.312,66
347.083,187
348.854,23
350.625,64
352.396,75
354.167,36
355.938,0
357.708,5
359.479,6
361.25,64
363.021,84
364.792,56
366.562,35
368.333,17
370.104,28
371.875,11
373.646,61
375.417,36
377.188,9
378.958,9
380.729,4
382.5,0
384.271,53
386.042,86
387.812,204
389.583,33
391.354,99
393.125,0
394.896,126
396.667,104
398.438,153
400.208,181
401.979,181
403.75,196
405.521,260
407.292,260
409.062,243
410.833,332
412.604,334
414.375,395
416.146,633
417.917,776
419.688,728
421.458,867
423.229,908
425,1106
426.771,1059
428.542,1194
430.312,1227
432.083,1259
433.854,1509
435.625,1521
437.396,1606
439.167,1439
440.938,1583
442.708,1645
444.479,1636
446.25,1581
448.021,1621
449.792,1590
451.562,1612
453.333,1694
455.104,1645
456.875,1673
458.646,1633
460.417,1580
462.188,1644
463.958,1524
465.729,1602
467.5,1697
469.271,1603
471.042,1524
472.812,1496
474.583,1539
476.354,1526
478.125,1639
479.896,1549
481.667,1549
483.438,1508
485.208,1555
486.979,1628
488.75,1589
490.521,1781
492.292,1908
494.062,1914
495.833,2079
497.604,1876
499.375,1950
501.146,1929
502.917,1884
504.688,1916
506.458,1917
508.229,2006
510,1807
511.771,1762
513.542,1731
515.312,1795
517.083,1654
518.854,1512
520.625,1718
522.396,1596
524.167,1525
525.938,1404
527.708,1383
529.479,1251
531.25,1287
533.021,1217
534.792,1142
536.562,1129
538.333,1138
540.104,1057
541.875,1069
543.646,978
545.417,1040
547.188,852
548.958,723
550.729,991
552.5,801
554.271,836
556.042,761
557.812,668
559.583,560
561.354,603
563.125,612
564.896,589
566.667,446
568.438,617
570.208,414
571.979,398
573.75,455
575.521,402
577.292,625
579.062,554
580.833,508
582.604,511
584.375,535
586.146,584
587.917,654
589.688,784
591.458,727
593.229,851
595,1022
596.771,1231
598.542,1529
600.312,1941
602.083,2590
603.854,3451
605.625,4478
607.396,5910
609.167,7814
610.938,10108
612.708,12668
614.479,15815
616.25,18928
618.021,22437
619.792,25295
621.562,27874
623.333,28967
625.104,29174
626.875,28255
628.646,26039
630.417,23220
632.188,20038
633.958,16948
635.729,14343
637.5,12006
639.271,10477
641.042,9044
642.812,7971
644.583,7410
646.354,6805
648.125,6812
649.896,6455
651.667,6399
653.438,6280
655.208,6076
656.979,6170
658.75,6153
660.521,6295
662.292,6220
664.062,6216
665.833,6123
667.604,6070
669.375,6196
671.146,5998
672.917,5643
674.688,5320
676.458,5059
678.229,4821
680,4361
681.771,3962
683.542,3512
685.312,3330
687.083,3152
688.854,2764
690.625,2416
692.396,2271
694.167,2297
695.938,2178
697.708,2060
699.479,1721
701.25,1683
703.021,1559
704.792,1446
706.562,1311
708.333,1086
710.104,1071
711.875,841
713.646,772
715.417,711
717.188,674
718.958,638
720.729,653
722.5,627
724.271,463
726.042,509
727.812,434
729.583,413
731.354,430
733.125,342
734.896,299
736.667,306
738.438,332
740.208,378
741.979,336
743.75,300
745.521,397
747.292,122
749.062,142
750.833,146
752.604,96
754.375,333
756.146,66
757.917,116
759.688,215
761.458,191
763.229,97
765,166
766.771,92
768.542,111
770.312,146
772.083,155
773.854,84
775.625,156
777.396,130
779.167,153
780.938,145
782.708,47
784.479,95
786.25,176
788.021,141
789.792,58
791.562,95
793.333,138
795.104,20
796.875,54
798.646,80
800.417,144
802.188,57
803.958,0
805.729,180
807.5,109
809.271,114
811.042,120
812.812,0
814.583,87
816.354,8
818.125,94
819.896,25
821.667,17
823.438,111
825.208,149
826.979,109
828.75,37
830.521,124
832.292,61
834.062,108
835.833,143
837.604,22
839.375,31
841.146,65
842.917,32
844.688,171
846.458,47
848.229,1
