x,y
340,0
341.771,27
343.542,0
345.312,0
347.083,45
348.854,98
350.625,34
352.396,105
354.167,26
355.938,123
357.708,189
359.479,115
361.25,156
363.021,51
364.792,70
366.562,52
368.333,101
370.104,17
371.875,0
373.646,0
375.417,133
377.188,19
378.958,0
380.729,57
382.5,63
384.271,108
386.042,132
387.812,11
389.583,70
391.354,112
393.125,6
394.896,68
396.667,77
398.438,52
400.208,86
401.979,222
403.75,166
405.521,220
407.292,257
409.062,225
410.833,272
412.604,362
414.375,447
416.146,476
417.917,676
419.688,638
421.458,718
423.229,991
425,913
426.771,990
428.542,1086
430.312,1010
432.083,1257
433.854,1298
435.625,1320
437.396,1415
439.167,1404
440.938,1380
442.708,1402
444.479,1346
446.25,1417
448.021,1358
449.792,1335
451.562,1355
453.333,1447
455.104,1503
456.875,1406
458.646,1312
460.417,1397
462.188,1248
463.958,1209
465.729,1233
467.5,1157
469.271,1108
471.042,1183
472.812,1233
474.583,1318
476.354,1231
478.125,1285
479.896,1276
481.667,1253
483.438,1249
485.208,1291
486.979,1218
488.75,1327
490.521,1467
492.292,1693
494.062,1701
495.833,1802
497.604,1879
499.375,1871
501.146,1728
502.917,1793
504.688,1736
506.458,1556
508.229,1497
510,1710
511.771,1814
513.542,1644
515.312,1737
517.083,1732
518.854,1731
520.625,1809
522.396,1478
524.167,1456
525.938,1383
527.708,1419
529.479,1312
531.25,1169
533.021,1191
534.792,1139
536.562,1165
538.333,1044
540.104,1032
541.875,970
543.646,1080
545.417,911
547.188,984
548.958,792
550.729,762
552.5,777
554.271,771
556.042,733
557.812,644
559.583,670
561.354,578
563.125,476
564.896,443
566.667,436
568.438,414
570.208,469
571.979,406
573.75,412
575.521,445
577.292,474
579.062,468
580.833,538
582.604,435
584.375,574
586.146,646
587.917,658
589.688,769
591.458,688
593.229,876
595,1076
596.771,1403
598.542,1679
600.312,2276
602.083,2826
603.854,3767
605.625,4883
607.396,6298
609.167,8010
610.938,10350
612.708,12794
614.479,15600
616.25,18752
618.021,22030
619.792,25664
621.562,28523
623.333,31069
625.104,32183
626.875,32399
628.646,31416
630.417,29383
632.188,26037
633.958,22878
635.729,19360
637.5,16897
639.271,14569
641.042,12858
642.812,11588
644.583,10344
646.354,10092
648.125,9612
649.896,9216
651.667,9076
653.438,9166
655.208,9077
656.979,8918
658.75,8989
660.521,9092
662.292,8973
664.062,9163
665.833,8849
667.604,8920
669.375,8942
671.146,8649
672.917,8192
674.688,7758
676.458,7547
678.229,6840
680,6387
681.771,5887
683.542,5285
685.312,4856
687.083,4546
688.854,4147
690.625,3688
692.396,3534
694.167,3338
695.938,3116
697.708,2936
699.479,2591
701.25,2541
703.021,2297
704.792,2063
706.562,1887
708.333,1735
710.104,1552
711.875,1399
713.646,1237
715.417,1100
717.188,1024
718.958,892
720.729,873
722.5,811
724.271,784
726.042,673
727.812,712
729.583,575
731.354,473
733.125,602
734.896,578
736.667,399
738.438,420
740.208,460
741.979,402
743.75,306
745.521,400
747.292,377
749.062,296
750.833,303
752.604,388
754.375,246
756.146,323
757.917,216
759.688,388
761.458,320
763.229,232
765,227
766.771,154
768.542,230
770.312,63
772.083,275
773.854,120
775.625,254
777.396,191
779.167,197
780.938,195
782.708,240
784.479,173
786.25,53
788.021,230
789.792,94
791.562,133
793.333,149
795.104,32
796.875,163
798.646,100
800.417,96
802.188,16
803.958,39
805.729,71
807.5,141
809.271,89
811.042,97
812.812,82
814.583,48
816.354,135
818.125,35
819.896,12
821.667,37
823.438,84
825.208,88
826.979,125
828.75,144
830.521,111
832.292,29
834.062,43
835.833,22
837.604,115
839.375,114
841.146,75
842.917,0
844.688,33
846.458,62
848.229,55
