x,y
900.989,11565
904.913,12825
908.832,13878
914.051,15027
917.96,17579
921.865,18462
925.765,20363
929.661,23261
933.553,26777
937.44,30114
941.322,33129
945.2,36593
949.074,40083
954.232,43756
958.095,46318
961.954,48727
965.809,51115
969.659,52900
973.505,54977
977.346,56268
981.182,57434
985.015,57564
990.118,56729
993.94,56655
997.757,56432
1001.57,56244
1005.38,56031
1009.18,55588
1012.98,55307
1016.78,55427
1020.57,54691
1024.36,54691
1029.4,55206
1033.17,54894
1036.95,54822
1040.71,54957
1044.48,55156
1048.23,55814
1051.99,56378
1055.74,56580
1059.48,56755
1063.22,57551
1068.2,57360
1071.93,57816
1075.66,58232
1079.38,58153
1083.1,58404
1086.81,58156
1090.52,58485
1094.22,57799
1097.92,58425
1102.85,58167
1106.54,58198
1110.22,57851
1113.9,57578
1117.58,57188
1121.25,56897
1124.92,56379
1128.58,55895
1132.24,55134
1135.89,53475
1140.76,51184
1144.4,48877
1148.04,45568
1151.67,43131
1155.3,40367
1158.93,36943
1162.55,33844
1166.16,32463
1169.78,31580
1173.38,30415
1178.19,28992
1181.79,26518
1185.38,23467
1188.97,21115
1192.55,19241
1196.13,17004
1199.71,16308
1203.28,14481
1206.84,13810
1211.59,14903
1215.15,17609
1218.7,21953
1222.25,28719
1225.79,35592
1229.33,41786
1232.86,48035
1236.39,53735
1239.92,57827
1243.44,61312
1248.12,65543
1251.63,67996
1255.14,70168
1258.64,72368
1262.14,74292
1265.63,76363
1269.12,77902
1272.6,79440
1276.08,80582
1279.56,81857
1284.18,82761
1287.65,83603
1291.11,84395
1294.56,84848
1298.01,85419
1301.46,85797
1304.9,86299
1308.34,87009
1311.77,87326
1316.34,87193
1319.77,87386
1323.19,87375
1326.6,87029
1330.01,86851
1333.42,85941
1336.82,85261
1340.21,84352
1343.61,83386
1346.99,81333
1351.5,77678
1354.88,73512
1358.25,69648
1361.62,65980
1364.99,62692
1368.34,57806
1371.7,52792
1375.05,46683
1378.4,41305
1381.74,36160
1386.19,29534
1389.52,27013
1392.85,26703
1396.17,28183
1399.49,28716
1402.8,28030
1406.11,26865
1409.41,25115
1412.72,24842
1417.11,25902
1420.4,27436
1423.68,28128
1426.97,29310
1430.24,30371
1433.52,31229
1436.78,32619
1440.05,34276
1443.31,35952
1446.56,38199
1450.89,39910
1454.14,42457
1457.38,43885
1460.61,45101
1463.84,46416
1467.07,47025
1470.29,48845
1473.51,49369
1476.72,50441
1479.93,50997
1484.2,52356
1487.4,52434
1490.6,53058
1493.79,53965
1496.97,53808
1500.15,53362
1503.33,53600
1506.5,53222
1509.67,53003
1513.88,52096
1517.04,52046
1520.19,51577
1523.34,51034
1526.49,50043
1529.63,49448
1532.76,49542
1535.89,49221
1539.02,48799
1542.14,48574
1546.29,49088
1549.41,48812
1552.51,47985
1555.61,47351
1558.71,46744
1561.81,46044
1564.9,45106
1567.98,44570
1571.06,43644
1574.14,43450
1578.23,42235
1581.3,42073
1584.36,40819
1587.41,40380
1590.47,39851
1593.51,38788
1596.56,37728
1599.6,36518
1602.63,35645
1606.67,34217
1609.69,32918
1612.71,31900
1615.73,30999
1618.74,30291
1621.75,28958
1624.75,27851
1627.75,26800
1630.74,25702
1633.73,24356
1637.71,22697
1640.68,21620
1643.66,20195
1646.63,18735
1649.59,17360
1652.55,15918
1655.51,14577
1658.46,13111
1661.41,10663
1664.35,9438
1668.27,8249
1671.2,7304
1674.13,5881
1677.05,4766
1679.97,3798
1682.89,2420
1685.8,1346
1688.7,1200
1691.61,691
1694.5,915
1698.36,954
1701.25,393
